vecadd	MM	sobel
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
900	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
800	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
600	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
400	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	30	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	20	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	1
100	10	2
100	10	2
100	10	2
100	10	2
100	10	2
100	10	2
100	10	2
100	10	2
100	10	2
100	10	2
100	10	3
100	10	3
100	10	3
100	10	3
100	10	3
100	10	3
100	10	3
100	10	3
100	10	3
100	10	3
100	10	4
100	10	4
100	10	4
100	10	4
100	10	4
100	10	4
100	10	4
100	10	4
100	10	4
100	10	4
