TaskQLat.      PRRQLat.       TaksQlen       
4e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
5.4e-05        1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
2e-06          1e-06          1              
2e-06          0              1              
7.5e-05        0              1              
2e-06          0              1              
1.1e-05        0              1              
1.2e-05        0              1              
4e-06          0              1              
5.8e-05        0              1              
9e-06          0              1              
4e-06          0              1              
7e-06          0              1              
1.1e-05        0              1              
5.1e-05        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5e-05          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5e-05          1e-06          1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5.3e-05        0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5.7e-05        0              1              
4.9e-05        0              1              
5.6e-05        0              1              
2e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5e-05          1e-06          1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5.5e-05        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
4.9e-05        0              1              
2e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
4.8e-05        1e-06          1              
2e-06          1e-06          1              
2e-06          0              1              
2e-06          1e-06          1              
2e-06          0              1              
5e-05          0              1              
2e-06          0              1              
5.3e-05        0              1              
2e-06          0              1              
0.011988       0              2              
9.9e-05        0              2              
0.016042       0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
1e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
0.015849       0              3              
4.9e-05        0              1              
2e-06          0              1              
0.008123       0              4              
0.004101       0              5              
0.011964       0              2              
0.015949       0              1              
2e-06          0              1              
5.3e-05        0              1              
2e-06          0              1              
0.023955       0              1              
0.015972       0              2              
0.011998       0              1              
6.7e-05        0              1              
0.023981       0              1              
0.011974       0              2              
1.2e-05        0              1              
0.003509       0              1              
0.007974       0              1              
0.007987       0              2              
0.011953       0              1              
0.003952       0              1              
3e-06          0              1              
0.007967       0              1              
1e-06          0              1              
4e-06          0              1              
0.007949       0              1              
0.015951       0              1              
0.003965       0              1              
0.000119       0              2              
0.019987       0              1              
0.011976       0              2              
0.019965       0              1              
0.007983       0              1              
0.00797        0              2              
2e-06          0              1              
0.019959       0              1              
3e-06          0              1              
0.007945       0              1              
2e-06          0              1              
3e-06          1e-06          1              
0.007959       0              1              
0.008097       0              3              
3e-06          0              1              
2e-06          0              1              
0.007966       0              1              
0.01197        0              1              
0.003981       0              2              
3e-06          0              1              
0.012716       0              1              
0.010539       0              1              
0.003965       0              1              
1e-06          0              1              
0.00799        0              2              
0.016099       0              1              
7.6e-05        0              1              
5.2e-05        1e-06          1              
0.00013        0              3              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5.9e-05        0              1              
2e-06          0              1              
2e-06          1e-06          1              
2e-06          0              1              
3e-06          0              1              
4.8e-05        0              1              
2e-06          0              1              
2e-06          0              1              
1e-06          0              1              
2e-06          0              1              
4.9e-05        0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
4.9e-05        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
3e-06          0              1              
5.4e-05        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
4.9e-05        0              1              
2e-06          0              1              
2e-06          0              1              
1e-06          0              1              
2e-06          1e-06          1              
5.4e-05        0              1              
2e-06          0              1              
1e-06          1e-06          1              
3e-06          0              1              
2e-06          0              1              
4.8e-05        0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
4.8e-05        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5.7e-05        0              1              
3e-06          0              1              
1e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5.5e-05        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
4.9e-05        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5.8e-05        0              1              
