TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000309       0.000266       3.6e-05        0              0              
1.1e-05        0              0              8e-06          1              
5.2e-05        0              4e-05          0              0              
8e-06          0              0              6e-06          1              
5.2e-05        0              4.3e-05        0              0              
9e-06          0              0              7e-06          1              
4.3e-05        0              3.4e-05        0              0              
4e-06          0              0              2e-06          1              
2.7e-05        0              2.5e-05        0              0              
6.8e-05        6.6e-05        0              1e-06          1              
8.3e-05        5.3e-05        2.7e-05        0              0              
4e-06          0              0              2e-06          1              
2.9e-05        0              2.7e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.5e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
5.3e-05        5e-05          0              0              1              
7.7e-05        4.9e-05        2.5e-05        0              0              
3e-06          0              0              1e-06          1              
2.7e-05        0              2.6e-05        0              0              
3e-06          1e-06          0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.5e-05        0              0              
3e-06          0              0              1e-06          1              
2.7e-05        0              2.5e-05        0              0              
5.3e-05        5e-05          0              1e-06          1              
0.000103       7.2e-05        2.7e-05        0              0              
4e-06          0              0              1e-06          1              
3e-05          0              2.8e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.5e-05        0              0              
3e-06          0              0              1e-06          1              
2.7e-05        0              2.5e-05        0              0              
2.8e-05        0              2.6e-05        0              0              
5.8e-05        5.4e-05        0              1e-06          1              
7.6e-05        4.8e-05        2.6e-05        0              0              
2.8e-05        0              2.6e-05        0              0              
5e-06          0              0              3e-06          1              
2e-06          0              0              0              1              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.5e-05        0              0              
3e-06          0              0              1e-06          1              
2.7e-05        0              2.5e-05        0              0              
3e-06          0              0              1e-06          1              
2.9e-05        0              2.7e-05        0              0              
5.3e-05        5.1e-05        0              1e-06          1              
7.8e-05        5e-05          2.5e-05        0              0              
2.7e-05        0              2.4e-05        0              0              
3e-06          0              0              1e-06          1              
3e-06          1e-06          0              1e-06          1              
2.9e-05        0              2.7e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
3e-06          0              0              1e-06          1              
3e-05          0              2.7e-05        0              0              
5.4e-05        5.1e-05        0              1e-06          1              
7.4e-05        4.7e-05        2.4e-05        0              0              
2.8e-05        0              2.5e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.8e-05        0              2.5e-05        0              0              
3e-06          1e-06          0              1e-06          1              
2.8e-05        0              2.5e-05        0              0              
7.8e-05        5.2e-05        2.4e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.7e-05        0              2.4e-05        0              0              
2.8e-05        0              2.7e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
7.6e-05        5e-05          2.4e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.9e-05        0              2.6e-05        0              0              
7.7e-05        5.1e-05        2.4e-05        0              0              
2.8e-05        0              2.6e-05        0              0              
3e-06          1e-06          0              1e-06          1              
2.7e-05        0              2.5e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
7.7e-05        5.1e-05        2.4e-05        0              0              
4e-06          0              0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
7.7e-05        5.1e-05        2.4e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.7e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.7e-05        0              2.6e-05        0              0              
7.9e-05        5.2e-05        2.5e-05        0              0              
2.9e-05        0              2.6e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
7.6e-05        5e-05          2.4e-05        0              0              
2e-06          0              0              1e-06          1              
2.6e-05        0              2.4e-05        0              0              
2.9e-05        0              2.6e-05        0              0              
2.8e-05        0              2.6e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
7.8e-05        5.3e-05        2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
3e-06          0              0              1e-06          1              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
5.2e-05        0              5e-05          0              0              
7.7e-05        5.1e-05        2.4e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2e-06          0              0              1e-06          1              
2.6e-05        0              2.3e-05        0              0              
0.022875       1e-06          0.022873       0              0              
7.8e-05        5.1e-05        2.6e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
7.4e-05        4.9e-05        2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
7.4e-05        4.9e-05        2.4e-05        0              0              
2.8e-05        0              2.5e-05        0              0              
