TaskQLat.      PRRQLat.       TaskQLen       
0.000336       -1.54395e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
1.1e-05        -1.54398e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
7e-06          -1.54398e+09   1              
8e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
4.8e-05        -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
5.1e-05        -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
7.3e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
4e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
4.8e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
1.3e-05        -1.54398e+09   1              
2e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
4.5e-05        -1.54398e+09   2              
0.007042       -1.54398e+09   4              
5.7e-05        -1.54398e+09   1              
0.00808        -1.54398e+09   3              
2e-06          -1.54398e+09   1              
0.004121       -1.54398e+09   3              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
4.3e-05        -1.54398e+09   2              
9.9e-05        -1.54398e+09   2              
5.4e-05        -1.54398e+09   1              
0.037724       -1.54398e+09   5              
3e-06          -1.54398e+09   1              
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
0.028222       -1.54398e+09   6              
0.00749        -1.54398e+09   1              
0.044203       -1.54398e+09   4              
0.007589       -1.54398e+09   2              
0.020259       -1.54398e+09   7              
0.007626       -1.54398e+09   3              
0.003704       -1.54398e+09   5              
0.016299       -1.54398e+09   8              
0.003738       -1.54398e+09   6              
5.5e-05        -1.54398e+09   1              
0.008401       -1.54398e+09   9              
3e-06          -1.54398e+09   1              
8.1e-05        -1.54398e+09   2              
4e-06          -1.54398e+09   1              
0.004          -1.54398e+09   1              
0.040138       -1.54398e+09   4              
9.5e-05        -1.54398e+09   1              
0.000259       -1.54398e+09   1              
0.008042       -1.54398e+09   2              
0.001545       -1.54398e+09   4              
0.05199        -1.54398e+09   1              
0.000256       -1.54398e+09   5              
0.032054       -1.54398e+09   2              
2e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
0.008147       -1.54398e+09   3              
3e-06          -1.54398e+09   1              
0.020113       -1.54398e+09   5              
0.055999       -1.54398e+09   1              
0.008084       -1.54398e+09   1              
0.044063       -1.54398e+09   3              
0.008121       -1.54398e+09   2              
0.01216        -1.54398e+09   6              
0.008158       -1.54398e+09   3              
0.00025        -1.54398e+09   6              
0.008186       -1.54398e+09   4              
0.008132       -1.54398e+09   5              
0.000289       -1.54398e+09   7              
0.004412       -1.54398e+09   7              
0.027998       -1.54398e+09   1              
0.00405        -1.54398e+09   2              
0.004445       -1.54398e+09   8              
0.008019       -1.54398e+09   2              
0.000491       -1.54398e+09   9              
0.048182       -1.54398e+09   4              
0.000529       -1.54398e+09   10             
0.004116       -1.54398e+09   3              
0.000567       -1.54398e+09   11             
0.004152       -1.54398e+09   4              
0.000651       -1.54398e+09   12             
3e-06          -1.54398e+09   1              
2e-06          -1.54398e+09   1              
0.004037       -1.54398e+09   2              
0.067994       -1.54398e+09   1              
0.00406        -1.54398e+09   2              
0.040226       -1.54398e+09   5              
0.060056       -1.54398e+09   2              
0.000131       -1.54398e+09   4              
0.000215       -1.54398e+09   5              
0.048148       -1.54398e+09   3              
0.000251       -1.54398e+09   6              
0.000288       -1.54398e+09   7              
2e-06          -1.54398e+09   1              
0.036265       -1.54398e+09   6              
4.3e-05        -1.54398e+09   2              
0.000174       -1.54398e+09   1              
0.028317       -1.54398e+09   8              
3e-06          -1.54398e+09   1              
0.028403       -1.54398e+09   9              
3e-06          -1.54398e+09   1              
0.024441       -1.54398e+09   10             
4.3e-05        -1.54398e+09   2              
0.012693       -1.54398e+09   15             
0.024476       -1.54398e+09   11             
0.043998       -1.54398e+09   1              
0.02052        -1.54398e+09   12             
0.044163       -1.54398e+09   3              
0.016556       -1.54398e+09   13             
0.040362       -1.54398e+09   5              
0.012654       -1.54398e+09   14             
