TaskQLat.      PRRQLat.       TaksQlen       
4e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
2.6e-05        1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
2.6e-05        1e-06          1              
1.2e-05        0              1              
2e-05          0              1              
5e-06          0              1              
1e-05          1e-06          1              
1.3e-05        0              1              
4e-06          0              1              
6.3e-05        0              1              
1.1e-05        0              1              
6e-06          0              1              
1e-05          0              1              
1.4e-05        0              1              
5e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
6.9e-05        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
9e-05          0              2              
0.000182       0              2              
0.000235       0              5              
3e-06          0              1              
0.000709       0              16             
2e-06          1e-06          1              
0.020199       0              5              
0.008096       0              4              
0.016373       0              2              
0.031936       0              1              
0.033611       0              2              
0.020048       0              2              
0.023951       0              1              
0.027991       0              2              
0.024024       0              3              
0.027971       0              1              
0.031996       0              2              
0.024051       0              4              
0.008055       0              5              
0.027965       0              1              
0.027971       0              2              
0.031976       0              1              
0.004039       0              2              
0.032023       0              2              
0.008042       0              3              
0.019961       0              1              
1e-06          0              1              
0.004024       0              2              
0.011951       0              1              
0.019964       0              1              
0.015993       1e-06          2              
0.011966       0              1              
0.003986       0              2              
0.027965       0              1              
7.1e-05        0              3              
0.020032       0              2              
5.4e-05        0              2              
0.010242       0              1              
0.01997        1e-06          1              
0.027973       0              1              
0.012022       1e-06          3              
0.005178       0              1              
0.012133       0              5              
0.012106       0              2              
0.027968       0              1              
0.02803        0              2              
0.016049       0              3              
0.024007       0              2              
0.004021       0              2              
0.01636        0              2              
0.003971       0              1              
0.035958       0              1              
0.016106       0              3              
0.028058       0              2              
0.004071       0              3              
0.035971       0              1              
0.024049       0              3              
0.024684       0              3              
2e-06          0              1              
0.011968       0              1              
0.000168       0              1              
0.000464       0              1              
0.019975       0              1              
0.008007       0              2              
1.9e-05        0              1              
0.011036       0              1              
0.011976       0              1              
0.015964       0              1              
0.012          0              2              
0.015971       0              1              
0.019982       0              1              
0.011994       0              2              
0.027975       0              1              
0.024002       0              2              
0.027964       0              1              
2e-06          0              1              
0.019967       0              1              
0.004031       0              2              
0.00404        0              3              
0.035956       1e-06          1              
0.027997       0              2              
0.023986       0              3              
0.019963       0              1              
0.023967       0              1              
0.027998       0              1              
0.035966       1e-06          1              
2e-06          0              1              
0.011957       0              1              
0.028012       0              2              
0.007965       0              1              
0.015953       0              1              
0.011984       0              2              
0.003964       0              1              
0.031971       0              1              
0.027989       0              2              
0.023998       0              3              
0.003973       0              1              
0.019971       0              1              
0.023954       0              1              
0.02396        0              1              
0.011989       0              2              
0.027967       0              1              
0.027967       0              1              
0.02798        0              2              
0.031951       0              1              
0.023973       0              1              
0.015966       0              1              
0.007982       0              2              
0.015975       0              1              
0.015991       0              2              
0.012002       0              3              
0.011713       0              1              
0.019971       0              1              
0.003988       0              2              
0.011971       0              1              
0.011994       0              1              
0.003986       0              2              
0.007968       0              1              
0.019968       0              1              
0.007983       0              2              
0.015969       0              1              
0.003994       0              1              
0.011966       0              1              
0.007966       0              1              
0.007976       0              1              
0.00797        0              1              
0.003985       0              2              
0.011957       0              1              
0.007989       0              2              
0.011967       0              1              
0.019964       1e-06          1              
0.037193       0              1              
0.016947       0              1              
0.007957       0              1              
0.019955       0              1              
0.00804        0              3              
0.019939       0              1              
1.9e-05        0              1              
0.019959       0              1              
0.027954       0              1              
0.011966       0              2              
3e-06          0              1              
0.011962       0              1              
0.015953       0              1              
0.01997        0              1              
0.027975       0              1              
0.015991       0              2              
0.019963       0              1              
0.023965       0              1              
0.023953       0              1              
0.023945       0              1              
2e-06          0              1              
0.023945       0              1              
0.019953       0              1              
0.008088       0              2              
0.031408       0              1              
0.031955       0              1              
0.007968       0              1              
0.015996       0              1              
0.027952       0              1              
2.5e-05        0              1              
0.023953       0              1              
4e-06          0              1              
0.003991       0              2              
0.011973       1e-06          1              
0.02794        0              1              
5e-06          0              1              
0.019956       0              1              
0.011959       0              1              
0.031944       0              1              
0.01599        0              2              
0.003955       0              1              
0.031969       0              1              
0.023971       0              1              
0.020028       0              3              
4e-06          1e-06          1              
4e-06          0              1              
0.015955       0              1              
2e-06          0              1              
0.031967       0              1              
7.6e-05        0              1              
0.010888       0              1              
0.011956       0              1              
0.019968       0              1              
0.003965       0              1              
0.023963       0              1              
3e-06          0              1              
0.01596        0              1              
0.023965       0              1              
