TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.00031        0.000262       3.8e-05        0              0              
1.2e-05        0              0              8e-06          1              
5.5e-05        0              4.4e-05        0              0              
8e-06          0              0              6e-06          1              
4.9e-05        0              4.2e-05        0              0              
1e-05          1e-06          0              8e-06          1              
4.1e-05        0              3.2e-05        0              0              
3e-06          0              0              2e-06          1              
2.8e-05        0              2.6e-05        0              0              
2e-06          0              0              1e-06          1              
2.9e-05        0              2.7e-05        0              0              
3e-06          0              0              1e-06          1              
2.9e-05        0              2.7e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
2e-06          0              0              1e-06          1              
2.8e-05        0              2.5e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.5e-05        0              0              
5.7e-05        5.5e-05        0              1e-06          1              
7.6e-05        4.9e-05        2.5e-05        0              0              
2e-06          0              0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
2e-06          0              0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
3e-06          0              0              1e-06          1              
4.6e-05        0              4.2e-05        0              0              
3e-06          0              0              1e-06          1              
3e-05          0              2.7e-05        0              0              
3e-06          0              0              1e-06          1              
2.9e-05        0              2.6e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.5e-05        0              0              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.5e-05        0              0              
6.9e-05        6.7e-05        0              0              1              
7.6e-05        4.8e-05        2.5e-05        0              0              
2e-06          0              0              0              1              
2.8e-05        0              2.6e-05        0              0              
3e-06          0              0              1e-06          1              
2.7e-05        0              2.5e-05        0              0              
3e-06          0              0              1e-06          1              
2.7e-05        0              2.5e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.6e-05        1e-06          2.4e-05        0              0              
3e-06          0              0              1e-06          1              
2.7e-05        0              2.5e-05        0              0              
2.9e-05        0              2.6e-05        0              0              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
8.3e-05        5.6e-05        2.6e-05        0              0              
2.6e-05        0              2.3e-05        0              0              
2.6e-05        0              2.3e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.3e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
5.1e-05        4.8e-05        0              1e-06          1              
8.8e-05        8.5e-05        0              1e-06          1              
7.6e-05        4.8e-05        2.5e-05        0              0              
2.8e-05        0              2.5e-05        0              0              
2.6e-05        0              2.3e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
3e-05          0              2.6e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
7.5e-05        5e-05          2.4e-05        0              0              
2e-06          0              0              1e-06          1              
3e-06          1e-06          0              1e-06          1              
2.8e-05        0              2.6e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
7.6e-05        7.4e-05        0              1e-06          1              
7.3e-05        4.7e-05        2.5e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.4e-05        0              2.3e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
7.3e-05        4.7e-05        2.4e-05        0              0              
2e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
2.6e-05        0              2.5e-05        0              0              
3e-05          0              2.8e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.8e-05        0              2.6e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2e-06          0              0              1e-06          1              
2.6e-05        0              2.4e-05        0              0              
7.6e-05        5.1e-05        2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
3.1e-05        0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
2.7e-05        0              2.6e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
7.8e-05        5.2e-05        2.5e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
7.3e-05        4.8e-05        2.4e-05        0              0              
2.6e-05        1e-06          2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
3e-06          1e-06          0              1e-06          1              
2.7e-05        0              2.6e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
7.4e-05        4.8e-05        2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.3e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
7.2e-05        4.7e-05        2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.7e-05        0              2.6e-05        0              0              
3e-06          0              0              1e-06          1              
2.6e-05        0              2.4e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
9.8e-05        7.1e-05        2.5e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
3.1e-05        0              2.7e-05        0              0              
2.9e-05        0              2.7e-05        0              0              
2.9e-05        0              2.7e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.8e-05        0              2.5e-05        0              0              
0.004022       0              0.004021       0              0              
5.5e-05        5.3e-05        0              1e-06          1              
7.2e-05        4.6e-05        2.4e-05        0              0              
3e-06          1e-06          0              1e-06          1              
0.012023       0              0.012022       0              0              
3e-06          0              0              1e-06          1              
2.7e-05        0              2.5e-05        0              0              
2.9e-05        0              2.6e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2e-06          0              0              1e-06          1              
2.6e-05        0              2.5e-05        0              0              
2e-06          0              0              1e-06          1              
2.5e-05        0              2.4e-05        0              0              
0.020023       0              0.020021       0              0              
2.6e-05        0              2.4e-05        0              0              
