TaskQLat.      PRRQLat.       TaskQLen       
0.000293       -1.54409e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
3e-06          -1.54412e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
2e-06          -1.54412e+09   1              
4e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
1e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
5e-05          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
1e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
5e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
3e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
5.7e-05        -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
3.1e-05        -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
0.00016        -1.54412e+09   2              
9.1e-05        -1.54412e+09   2              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
4.8e-05        -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
3e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
3e-06          -1.54412e+09   1              
3e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
3e-06          -1.54412e+09   1              
5.3e-05        -1.54412e+09   1              
3e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
2e-06          -1.54412e+09   1              
0.000581       -1.54412e+09   14             
0.004487       -1.54412e+09   13             
8e-06          -1.54412e+09   1              
0.004532       -1.54412e+09   14             
9.4e-05        -1.54412e+09   2              
3e-06          -1.54412e+09   1              
0.015213       -1.54412e+09   4              
4.2e-05        -1.54412e+09   1              
2e-06          -1.54412e+09   1              
5.5e-05        -1.54412e+09   1              
3e-06          -1.54412e+09   1              
0.015993       -1.54412e+09   1              
0.016037       -1.54412e+09   2              
0.00417        -1.54412e+09   5              
0.016072       -1.54412e+09   3              
0.015952       -1.54412e+09   12             
0.013249       -1.54412e+09   4              
0.012154       -1.54412e+09   5              
0.040054       -1.54412e+09   1              
0.005613       -1.54412e+09   2              
0.008209       -1.54412e+09   7              
0.001667       -1.54412e+09   4              
0.008245       -1.54412e+09   8              
0.008275       -1.54412e+09   9              
0.004324       -1.54412e+09   10             
0.035999       -1.54412e+09   1              
0.004409       -1.54412e+09   11             
0.004447       -1.54412e+09   12             
0.036096       -1.54412e+09   2              
6.7e-05        -1.54412e+09   2              
8e-05          -1.54412e+09   3              
0.032137       -1.54412e+09   3              
3e-06          -1.54412e+09   1              
0.016177       -1.54412e+09   4              
4.5e-05        -1.54412e+09   2              
8.1e-05        -1.54412e+09   3              
0.000119       -1.54412e+09   3              
0.016212       -1.54412e+09   5              
5.1e-05        -1.54412e+09   1              
7e-06          -1.54412e+09   1              
4.2e-05        -1.54412e+09   1              
0.023998       -1.54412e+09   1              
8.1e-05        -1.54412e+09   2              
0.004169       -1.54412e+09   4              
0.024045       -1.54412e+09   2              
0.000119       -1.54412e+09   3              
3e-06          -1.54412e+09   1              
0.008087       -1.54412e+09   3              
4.2e-05        -1.54412e+09   2              
0.008124       -1.54412e+09   4              
7.8e-05        -1.54412e+09   2              
0.00816        -1.54412e+09   5              
0.00011        -1.54412e+09   3              
0.000202       -1.54412e+09   5              
0.023999       -1.54412e+09   1              
0.016105       -1.54412e+09   3              
0.028037       -1.54412e+09   2              
0.020094       -1.54412e+09   2              
0.014378       -1.54412e+09   5              
0.040792       -1.54412e+09   1              
0.00823        -1.54412e+09   6              
0.007852       -1.54412e+09   7              
0.02484        -1.54412e+09   2              
0.004302       -1.54412e+09   8              
0.000372       -1.54412e+09   10             
0.035993       -1.54412e+09   1              
0.00041        -1.54412e+09   11             
0.020056       -1.54412e+09   3              
2e-06          -1.54412e+09   1              
9.4e-05        -1.54412e+09   2              
0.004028       -1.54412e+09   3              
0.017841       -1.54412e+09   1              
0.016093       -1.54412e+09   4              
0.003996       -1.54412e+09   1              
0.016047       -1.54412e+09   2              
0.039995       -1.54412e+09   1              
0.012083       -1.54412e+09   3              
0.040089       -1.54412e+09   2              
0.006318       -1.54412e+09   4              
1e-06          -1.54412e+09   1              
0.012132       -1.54412e+09   3              
2e-06          -1.54412e+09   1              
1e-06          -1.54412e+09   1              
0.031466       -1.54412e+09   1              
0.02753        -1.54412e+09   2              
0.035997       -1.54412e+09   1              
0.027623       -1.54412e+09   3              
0.023668       -1.54412e+09   4              
0.023706       -1.54412e+09   5              
0.024078       -1.54412e+09   3              
0.019759       -1.54412e+09   7              
0.023996       -1.54412e+09   1              
0.023867       -1.54412e+09   4              
0.019797       -1.54412e+09   8              
0.019835       -1.54412e+09   9              
0.004158       -1.54412e+09   5              
0.019873       -1.54412e+09   10             
0.017024       -1.54412e+09   11             
0.039993       -1.54412e+09   1              
0.028048       -1.54412e+09   1              
0.011991       -1.54412e+09   13             
0.020144       -1.54412e+09   4              
0.016093       -1.54412e+09   2              
0.008091       -1.54412e+09   14             
0.019992       -1.54412e+09   1              
0.008128       -1.54412e+09   15             
0.008166       -1.54412e+09   16             
0.012053       -1.54412e+09   3              
0.000204       -1.54412e+09   4              
0.000241       -1.54412e+09   5              
0.004093       -1.54412e+09   4              
0.00028        -1.54412e+09   6              
0.048168       -1.54412e+09   5              
0.023996       -1.54412e+09   1              
0.005563       -1.54412e+09   1              
0.004043       -1.54412e+09   2              
0.023997       -1.54412e+09   1              
0.020044       -1.54412e+09   2              
3e-06          -1.54412e+09   1              
0.008084       -1.54412e+09   3              
0.008173       -1.54412e+09   4              
0.023994       -1.54412e+09   1              
0.008011       -1.54412e+09   2              
0.019997       -1.54412e+09   1              
0.012044       -1.54412e+09   2              
0.012082       -1.54412e+09   3              
0.012019       -1.54412e+09   2              
0.015997       -1.54412e+09   1              
0.01204        -1.54412e+09   2              
0.008078       -1.54412e+09   3              
0.019999       -1.54412e+09   1              
0.024057       -1.54412e+09   3              
0.008045       -1.54412e+09   2              
0.008133       -1.54412e+09   3              
0.000174       -1.54412e+09   3              
0.015994       -1.54412e+09   1              
0.000211       -1.54412e+09   4              
0.019996       -1.54412e+09   1              
0.016035       -1.54412e+09   2              
3e-06          -1.54412e+09   1              
0.023997       -1.54412e+09   1              
0.024039       -1.54412e+09   2              
0.016081       -1.54412e+09   3              
0.016051       -1.54412e+09   1              
0.004174       -1.54412e+09   4              
0.01599        -1.54412e+09   1              
0.007991       -1.54412e+09   1              
0.027999       -1.54412e+09   1              
0.012057       -1.54412e+09   3              
1.5e-05        -1.54412e+09   1              
0.004093       -1.54412e+09   4              
0.027998       -1.54412e+09   1              
0.008055       -1.54412e+09   3              
0.004091       -1.54412e+09   4              
0.016014       -1.54412e+09   2              
0.020089       -1.54412e+09   3              
0.027995       -1.54412e+09   1              
0.003996       -1.54412e+09   1              
3.9e-05        -1.54412e+09   1              
0.027999       -1.54412e+09   1              
