TaskQLat.      PRRQLat.       TaskQLen       
0.00046        -1.544e+09     1              
TaskQLat.      PRRQLat.       TaskQLen       
5e-06          -1.54403e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
1e-06          -1.54403e+09   1              
0.000155       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000156       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.000941       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.00022        -1.54403e+09   1              
7.4e-05        -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3.5e-05        -1.54403e+09   1              
3e-05          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
1e-06          -1.54403e+09   1              
0.000341       -1.54403e+09   2              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000138       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.000137       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
1e-06          -1.54403e+09   1              
4.3e-05        -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.000145       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000142       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3.9e-05        -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.004366       -1.54403e+09   7              
0.000292       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000103       -1.54403e+09   3              
0.000171       -1.54403e+09   1              
3e-06          -1.54403e+09   0              
0.016296       -1.54403e+09   4              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.022581       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.010462       -1.54403e+09   2              
0.016002       -1.54403e+09   1              
5.5e-05        -1.54403e+09   2              
0.034989       -1.54403e+09   4              
0.016007       -1.54403e+09   1              
0.004156       -1.54403e+09   2              
0.016062       -1.54403e+09   2              
0.004052       -1.54403e+09   2              
0.016105       -1.54403e+09   3              
0.008097       -1.54403e+09   2              
0.022636       -1.54403e+09   1              
0.016281       -1.54403e+09   4              
0.00811        -1.54403e+09   4              
0.016318       -1.54403e+09   5              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.019397       -1.54403e+09   7              
0.012368       -1.54403e+09   6              
5e-06          -1.54403e+09   1              
0.002723       -1.54403e+09   2              
0.024128       -1.54403e+09   1              
0.012409       -1.54403e+09   7              
0.003251       -1.54403e+09   6              
0.004159       -1.54403e+09   2              
0.000172       -1.54403e+09   2              
0.008121       -1.54403e+09   2              
0.022864       -1.54403e+09   4              
0.008457       -1.54403e+09   8              
0.023995       -1.54403e+09   1              
0.016002       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.007999       -1.54403e+09   1              
0.008491       -1.54403e+09   9              
0.008014       -1.54403e+09   2              
0.004544       -1.54403e+09   10             
0.022322       -1.54403e+09   1              
0.002854       -1.54403e+09   4              
0.02246        -1.54403e+09   1              
0.016317       -1.54403e+09   3              
0.004578       -1.54403e+09   11             
0.014872       -1.54403e+09   4              
0.00699        -1.54403e+09   1              
0.042566       -1.54403e+09   1              
0.000626       -1.54403e+09   12             
0.034852       -1.54403e+09   3              
0.000664       -1.54403e+09   13             
0.000144       -1.54403e+09   1              
0.023266       -1.54403e+09   6              
3e-06          -1.54403e+09   1              
0.003675       -1.54403e+09   9              
0.015997       -1.54403e+09   1              
4.5e-05        -1.54403e+09   1              
0.026734       -1.54403e+09   3              
0.000144       -1.54403e+09   1              
8.6e-05        -1.54403e+09   2              
0.003144       -1.54403e+09   5              
0.032261       -1.54403e+09   2              
0.00012        -1.54403e+09   3              
0.012331       -1.54403e+09   3              
0.022138       -1.54403e+09   1              
0.023997       -1.54403e+09   1              
0.01217        -1.54403e+09   1              
0.024046       -1.54403e+09   2              
0.004535       -1.54403e+09   4              
0.023999       -1.54403e+09   1              
0.016178       -1.54403e+09   3              
0.01231        -1.54403e+09   3              
0.020101       -1.54403e+09   4              
0.015997       -1.54403e+09   1              
0.020157       -1.54403e+09   2              
0.012143       -1.54403e+09   5              
0.004016       -1.54403e+09   2              
0.014735       -1.54403e+09   3              
0.012181       -1.54403e+09   6              
0.000101       -1.54403e+09   1              
0.039997       -1.54403e+09   1              
0.008038       -1.54403e+09   2              
0.004096       -1.54403e+09   1              
0.003114       -1.54403e+09   8              
0.008313       -1.54403e+09   3              
0.000455       -1.54403e+09   8              
6.6e-05        -1.54403e+09   1              
0.016158       -1.54403e+09   2              
0.003995       -1.54403e+09   1              
0.005895       -1.54403e+09   2              
0.012115       -1.54403e+09   2              
0.027986       -1.54403e+09   1              
0.004          -1.54403e+09   1              
0.011995       -1.54403e+09   1              
0.000481       -1.54403e+09   9              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.012          -1.54403e+09   1              
0.023999       -1.54403e+09   1              
0.01605        -1.54403e+09   2              
0.012092       -1.54403e+09   3              
0.008134       -1.54403e+09   4              
0.006226       -1.54403e+09   6              
0.007996       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2.8e-05        -1.54403e+09   1              
0.01207        -1.54403e+09   3              
0.028001       -1.54403e+09   1              
0.008147       -1.54403e+09   5              
0.020049       -1.54403e+09   2              
0.020191       -1.54403e+09   1              
0.016254       -1.54403e+09   3              
2e-06          -1.54403e+09   1              
0.010232       -1.54403e+09   5              
0.004874       -1.54403e+09   6              
0.036126       -1.54403e+09   1              
0.000427       -1.54403e+09   7              
0.005071       -1.54403e+09   2              
0.023999       -1.54403e+09   1              
0.020048       -1.54403e+09   2              
0.016094       -1.54403e+09   3              
0.002496       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.016067       -1.54403e+09   1              
0.007965       -1.54403e+09   1              
0.028399       -1.54403e+09   3              
0.008273       -1.54403e+09   3              
4e-06          -1.54403e+09   1              
0.028295       -1.54403e+09   1              
0.014806       -1.54403e+09   1              
0.010718       -1.54403e+09   3              
0.015993       -1.54403e+09   1              
0.024577       -1.54403e+09   1              
0.012116       -1.54403e+09   1              
0.008046       -1.54403e+09   2              
0.004017       -1.54403e+09   2              
0.000253       -1.54403e+09   2              
3e-06          -1.54403e+09   1              
0.0003         -1.54403e+09   2              
2e-06          -1.54403e+09   1              
0.007999       -1.54403e+09   1              
0.042702       -1.54403e+09   2              
2e-06          -1.54403e+09   1              
0.00801        -1.54403e+09   1              
0.031128       -1.54403e+09   5              
0.015134       -1.54403e+09   3              
0.008065       -1.54403e+09   2              
0.011536       -1.54403e+09   8              
0.011402       -1.54403e+09   5              
2e-06          -1.54403e+09   1              
0.035994       -1.54403e+09   1              
5e-06          -1.54403e+09   1              
0.031343       -1.54403e+09   2              
0.023656       -1.54403e+09   2              
0.019004       -1.54403e+09   5              
0.02292        -1.54403e+09   3              
0.012436       -1.54403e+09   3              
0.016177       -1.54403e+09   2              
3e-06          -1.54403e+09   1              
0.022902       -1.54403e+09   4              
0.004321       -1.54403e+09   2              
0.019023       -1.54403e+09   3              
0.020152       -1.54403e+09   2              
0.023999       -1.54403e+09   1              
0.007207       -1.54403e+09   4              
0.007342       -1.54403e+09   5              
0.002405       -1.54403e+09   6              
0.022593       -1.54403e+09   2              
0.003867       -1.54403e+09   1              
0.008001       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
1e-06          -1.54403e+09   1              
0.019989       -1.54403e+09   1              
0.000169       -1.54403e+09   2              
5e-06          -1.54403e+09   1              
0.01776        -1.54403e+09   1              
0.036001       -1.54403e+09   1              
0.004128       -1.54403e+09   4              
0.008294       -1.54403e+09   3              
0.02416        -1.54403e+09   2              
0.00014        -1.54403e+09   1              
0.004589       -1.54403e+09   6              
0.002744       -1.54403e+09   1              
0.016468       -1.54403e+09   1              
0.016028       -1.54403e+09   3              
0.022994       -1.54403e+09   2              
0.02           -1.54403e+09   1              
0.011821       -1.54403e+09   4              
0.000208       -1.54403e+09   5              
5e-06          -1.54403e+09   1              
0.032223       -1.54403e+09   1              
0.004113       -1.54403e+09   1              
0.004164       -1.54403e+09   5              
0.008197       -1.54403e+09   2              
0.003803       -1.54403e+09   1              
0.008084       -1.54403e+09   3              
0.010682       -1.54403e+09   1              
0.012547       -1.54403e+09   5              
3e-06          -1.54403e+09   1              
1e-06          -1.54403e+09   1              
0.01609        -1.54403e+09   3              
0.033432       -1.54403e+09   1              
0.020327       -1.54403e+09   4              
0.032177       -1.54403e+09   3              
0.007716       -1.54403e+09   2              
0.01203        -1.54403e+09   2              
0.012023       -1.54403e+09   5              
0.015131       -1.54403e+09   4              
0.025665       -1.54403e+09   3              
0.031882       -1.54403e+09   2              
0.00034        -1.54403e+09   2              
0.012278       -1.54403e+09   5              
0.006996       -1.54403e+09   4              
0.015773       -1.54403e+09   4              
0.016054       -1.54403e+09   2              
0.008231       -1.54403e+09   2              
0.016047       -1.54403e+09   2              
0.024177       -1.54403e+09   1              
0.004297       -1.54403e+09   5              
0.004315       -1.54403e+09   4              
0.004273       -1.54403e+09   3              
0.028068       -1.54403e+09   2              
0.000428       -1.54403e+09   7              
2e-06          -1.54403e+09   1              
0.012113       -1.54403e+09   3              
0.021914       -1.54403e+09   4              
3e-06          -1.54403e+09   1              
0.02975        -1.54403e+09   3              
0.04037        -1.54403e+09   1              
0.010197       -1.54403e+09   6              
0.020064       -1.54403e+09   1              
0.036066       -1.54403e+09   2              
0.039996       -1.54403e+09   1              
0.057676       -1.54403e+09   1              
0.00634        -1.54403e+09   7              
0.01076        -1.54403e+09   4              
0.020169       -1.54403e+09   2              
3e-06          -1.54403e+09   1              
0.008061       -1.54403e+09   3              
0.050487       -1.54403e+09   2              
0.012108       -1.54403e+09   3              
0.015993       -1.54403e+09   1              
0.029596       -1.54403e+09   2              
0.006917       -1.54403e+09   6              
0.012283       -1.54403e+09   3              
0.023995       -1.54403e+09   1              
0.03619        -1.54403e+09   1              
1e-06          -1.54403e+09   1              
0.008325       -1.54403e+09   4              
0.035994       -1.54403e+09   1              
0.044104       -1.54403e+09   3              
0.00845        -1.54403e+09   5              
0.019219       -1.54403e+09   1              
0.012011       -1.54403e+09   2              
0.004064       -1.54403e+09   3              
0.008292       -1.54403e+09   3              
0.031995       -1.54403e+09   1              
0.008098       -1.54403e+09   3              
0.032149       -1.54403e+09   4              
0.010059       -1.54403e+09   5              
2e-06          -1.54403e+09   1              
0.007992       -1.54403e+09   1              
0.002514       -1.54403e+09   9              
0.008491       -1.54403e+09   6              
0.014857       -1.54403e+09   3              
0.084163       -1.54403e+09   1              
0.011357       -1.54403e+09   3              
0.004102       -1.54403e+09   4              
0.024773       -1.54403e+09   5              
0.028          -1.54403e+09   1              
0.030623       -1.54403e+09   3              
0.040001       -1.54403e+09   1              
0.003053       -1.54403e+09   7              
0.020008       -1.54403e+09   1              
0.016065       -1.54403e+09   2              
0.000141       -1.54403e+09   4              
0.016004       -1.54403e+09   1              
0.084325       -1.54403e+09   2              
0.007999       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.03224        -1.54403e+09   2              
0.060474       -1.54403e+09   3              
0.000383       -1.54403e+09   6              
4e-06          -1.54403e+09   1              
8.5e-05        -1.54403e+09   1              
0.044054       -1.54403e+09   2              
0.000326       -1.54403e+09   4              
0.020005       -1.54403e+09   1              
0.023995       -1.54403e+09   1              
0.018696       -1.54403e+09   1              
0.024406       -1.54403e+09   5              
4e-05          -1.54403e+09   2              
0.020066       -1.54403e+09   1              
0.004524       -1.54403e+09   7              
0.035992       -1.54403e+09   1              
0.031996       -1.54403e+09   1              
0.007997       -1.54403e+09   1              
0.023994       -1.54403e+09   1              
0.007994       -1.54403e+09   1              
0.019998       -1.54403e+09   1              
0.016258       -1.54403e+09   2              
0.024417       -1.54403e+09   2              
0.016059       -1.54403e+09   2              
0.008          -1.54403e+09   1              
0.007991       -1.54403e+09   1              
0.019995       -1.54403e+09   1              
0.028002       -1.54403e+09   1              
0.019993       -1.54403e+09   1              
0.024017       -1.54403e+09   2              
0.048081       -1.54403e+09   2              
0.019997       -1.54403e+09   1              
0.040632       -1.54403e+09   4              
0.004038       -1.54403e+09   2              
0.022818       -1.54403e+09   1              
0.036361       -1.54403e+09   1              
0.012135       -1.54403e+09   3              
0.006565       -1.54403e+09   1              
0.028261       -1.54403e+09   2              
0.027996       -1.54403e+09   1              
0.007996       -1.54403e+09   1              
1.2e-05        -1.54403e+09   1              
0.040548       -1.54403e+09   3              
0.01599        -1.54403e+09   1              
0.015995       -1.54403e+09   1              
0.044141       -1.54403e+09   2              
0.002355       -1.54403e+09   1              
0.027997       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.005056       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.023995       -1.54403e+09   1              
0.007992       -1.54403e+09   1              
0.004013       -1.54403e+09   2              
0.023965       -1.54403e+09   1              
5e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
0.000171       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
0.01214        -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
0.003998       -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
0.000147       -1.54403e+09   1              
5e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
6e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
6e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
0.000143       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000134       -1.54403e+09   1              
5e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
1e-05          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
0.000141       -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.000144       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000134       -1.54403e+09   1              
9e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
0.000148       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
0.000141       -1.54403e+09   1              
4e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
0.002221       -1.54403e+09   1              
5e-06          -1.54403e+09   1              
0.015993       -1.54403e+09   1              
0.003992       -1.54403e+09   1              
0.011992       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
0.016103       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000151       -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
0.000175       -1.54403e+09   1              
6e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.015987       -1.54403e+09   1              
5e-06          -1.54403e+09   1              
0.003995       -1.54403e+09   1              
0.000202       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.011994       -1.54403e+09   1              
0.011998       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
