TaskQLat.      PRRQLat.       TaksQlen       
4e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
2e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
2e-06          1e-06          1              
1e-06          0              1              
1e-06          0              1              
1e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.000147       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
1e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
2e-06          0              1              
0.000157       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
2e-06          0              1              
1e-06          0              1              
0.002093       0              1              
4e-06          0              1              
0.00029        1e-06          2              
3.9e-05        0              1              
4.6e-05        0              1              
4.6e-05        0              1              
0.000104       0              1              
3e-06          0              1              
1.6e-05        0              1              
4e-06          0              1              
2e-06          0              1              
0.000146       0              1              
0.000156       0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.00014        0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
1e-06          0              1              
2e-06          0              1              
3e-06          0              1              
0.000135       0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
0.000142       1e-06          1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.00014        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.000144       0              1              
4e-06          0              1              
3e-06          0              1              
9.5e-05        0              3              
0.024051       0              3              
0.008125       0              5              
0.004037       0              3              
6e-06          0              1              
0.020169       0              2              
0.00807        0              4              
0.002793       0              3              
0.016083       0              2              
0.019957       0              1              
0.008412       0              4              
0.004193       0              2              
0.000229       0              3              
4.7e-05        0              1              
0.000402       0              3              
0.007952       0              1              
0.015999       0.019943       2              
0.023966       0              1              
0.035916       0              1              
0.016011       0              2              
0.004018       0              3              
0.02401        0              2              
0.015941       0              1              
0.008206       0              1              
0.015884       0              2              
0.023982       0              1              
0.020143       0              1              
0.004421       0              2              
0.000332       1e-06          3              
0.00683        0              2              
0.015955       0              2              
0.019916       0              1              
0.01994        0              1              
0.004005       0              3              
0.02398        0              2              
0.02002        0              3              
2e-06          0              1              
0.007918       0              1              
0.023756       0              1              
0.026077       0              4              
0.026024       0              5              
5.3e-05        0              1              
0.03782        0              3              
7.5e-05        0              1              
0.004029       0              1              
0.007946       0              1              
3.5e-05        0              1              
0.015984       0              1              
0.015753       0              1              
0.015368       0              1              
0.015394       0              3              
0.01539        0              2              
0.015945       0              1              
0.007853       0              1              
2e-06          0              1              
0.019938       0              1              
0.003953       0              1              
0.023946       0              1              
4e-06          0              1              
0.019929       0              2              
0.023875       0              1              
0.015963       0              1              
0.03501        0              1              
0.01782        0              1              
0.012383       0              2              
0.034013       0              1              
0.004317       0              2              
0.007947       0              1              
0.003685       0              1              
0.01158        0              1              
0.027947       0              1              
0.00398        0              2              
0.024104       0              2              
0.016099       0              4              
9.7e-05        0              1              
0.015763       0              1              
0.027908       0              1              
0.011959       0              1              
0.007738       0              1              
0.027992       0              2              
0.031958       0              1              
0.031932       0              2              
0.02747        0.004685       1              
0.031962       0              1              
0.015978       0              2              
0.004023       0              3              
0.02791        0              1              
0.011841       0              2              
2e-06          0              1              
0.02778        0              1              
0.023949       0              1              
0.004009       0              2              
0.011976       0              2              
0.011939       0              1              
0.023843       0              1              
0.039988       0              1              
3e-06          0              1              
0.007922       0              1              
0.023855       0              2              
0.008          0              3              
3e-06          0              1              
0.015958       0              1              
1e-06          0              1              
0.015907       0              1              
3e-06          1e-06          1              
0.015939       1e-06          1              
4e-06          0              1              
0.019947       0              1              
0.007959       0              1              
0.011927       0              1              
3e-06          0              1              
0.011965       0              1              
0.007957       0              1              
0.011957       0              1              
0.007651       0              1              
0.007565       0              2              
0.007774       0              1              
0.035944       0              1              
0.007984       0              2              
0.011955       0              1              
3e-06          0              1              
0.023946       0              1              
0.007965       1e-06          1              
0.007953       0              1              
0.016242       0              1              
0.002284       0              1              
0.008021       0              1              
