Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        
-nan           1              -nan           1              -nan           1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0.000532299    1              0              1              0              1              
0.000532299    1              0              1              0              1              
0.00133356     1              0              1              0              1              
0.00133356     1              0              1              0              1              
0.00133356     1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0.000172165    1              0              1              0              1              
0.000172165    1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0.000675178    1              0              1              0              1              
0.000675178    1              0              1              0              1              
0.0102287      1              0              1              0              1              
0.351594       1              0              1              0              1              
0.558414       1              0              1              0              1              
1.82966        2              0              1              0              1              
0.248453       1              0              1              0              1              
1.19199        2              0              1              0              1              
0.863773       3              0.018544       1              0              1              
-1.37181e+18   2              0.043126       1              0              1              
1.1876         3              0.194067       1              0.051027       1              
-6.40177e+18   2              0.345008       1              0              1              
1.45445        3              0.452823       1              0              1              
-1.37181e+19   2              0.539075       1              0              1              
1.61551        3              0.690016       1              0.0127566      1              
-1.82908e+19   2              3.94104        2              0              1              
3.85374        3              1.97052        3              0              1              
-1.82908e+19   2              1.31368        3              0              1              
3.85374        3              1.31368        3              0              1              
-1.82908e+19   2              1.31368        3              0              1              
3.85374        3              1.31368        3              0              1              
0.588718       2              0.446357       2              0              1              
0.831218       3              0.669536       1              0              1              
0.588718       2              1.33907        2              0              1              
0.831218       3              0.669536       1              0              1              
0.588718       2              1.33907        2              0              1              
0.206736       1              0.215747       1              0              1              
0.368282       1              0.151055       1              0              1              
0.368282       1              0.151055       1              0              1              
0.368282       1              0.151055       1              0              1              
1.1442         2              0.238515       1              0.744797       1              
0.613892       1              0.921943       2              1.48959        2              
1.02444        2              0.893313       3              0.75018        1              
0.512222       1              0.59913        2              1.48959        2              
1.02444        2              0.893313       3              0.75018        1              
0.255608       1              0.671734       2              0.600727       1              
0.511216       1              0.986672       3              0.600727       1              
1.03479        2              0.605422       2              0.800969       2              
0.382284       1              1.11808        3              0.732876       1              
0.764568       1              0.788987       2              1.33495        2              
1.19498        2              1.65197        3              0.745957       1              
-0.136776      1              1.3177         3              1.66868        1              
0.531647       1              1.34975        3              4.42301        1              
0.531647       1              1.34975        3              4.42301        1              
0.364645       1              2.03246        3              4.25389        1              
0.110095       1              7.58759        3              4.25389        1              
0.07281        1              1.82967        3              4.72655        1              
0.0954266      1              2.67696        3              4.72655        1              
0.0954266      1              2.67696        3              4.72655        1              
0.0954266      1              2.67696        3              4.72655        1              
0              1              4.84126        3              5.29374        1              
0              1              20.274         3              9.05321        1              
0              1              20.9727        3              8.39907        1              
0              1              23.2508        3              6.49262        1              
0              1              0.469658       2              3.29601        2              
0              1              0.201263       1              2.15123        3              
0              1              0.166572       1              1.5128         3              
0              1              0.166572       1              1.5128         3              
0              1              0.166572       1              1.5128         3              
0              1              0.166572       1              1.5128         3              
0              1              0.166572       1              1.5128         3              
0              1              0.166572       1              1.5128         3              
0              1              0.166572       1              1.5128         3              
0              1              0.166572       1              1.5128         3              
0              1              0.166572       1              1.5128         3              
0              1              0              1              0              2              
0              1              0              1              0              1              
0              1              0              1              0.25034        1              
0              1              0              1              0.25034        1              
0              1              0              1              0.20086        1              
0              1              0              1              0.20086        1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0.233331       1              
0              1              0              1              0.233331       1              
0              1              0              1              0.724078       1              
0              1              0              1              0.724078       1              
0              1              0              1              0.129907       1              
0              1              0              1              0.129907       1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0.380461       1              
