TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000508       0.000451       4.9e-05        0              0              
1.9e-05        0              0              1.6e-05        1              
4.3e-05        0              3.9e-05        0              0              
1.2e-05        0              0              9e-06          1              
4.2e-05        0              3.7e-05        0              0              
1.3e-05        0              0              1.1e-05        1              
3.6e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.8e-05        0              3.6e-05        0              0              
3e-06          0              0              0              1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.1e-05        0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.1e-05        0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.1e-05        0              2.9e-05        0              0              
0.000148       0.000145       0              1e-06          1              
0.000184       0.000153       3e-05          0              0              
3e-06          0              0              1e-06          1              
3e-05          0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.1e-05        1e-06          2.9e-05        0              0              
2e-06          0              0              1e-06          1              
3e-05          0              2.9e-05        0              0              
2e-06          0              0              1e-06          1              
4.9e-05        0              4.5e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
0.000158       0.000156       0              1e-06          1              
0.000186       0.000154       3e-05          0              0              
3e-06          1e-06          0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              3.1e-05        0              0              
2e-06          0              0              1e-06          1              
3.3e-05        1e-06          3.1e-05        0              0              
3.2e-05        0              3e-05          0              0              
3.5e-05        0              3.3e-05        0              0              
0.000153       0              0.000151       0              0              
0.002055       0.002046       0              1e-06          1              
0.001015       0.000937       7.4e-05        0              0              
5e-06          0              0              1e-06          1              
0.000165       0              0.000162       0              0              
0.000123       0              0.00012        0              0              
5e-06          0              0              2e-06          1              
0.000121       0              0.000116       0              0              
5e-06          0              0              1e-06          1              
0.000158       0              0.000156       0              0              
9e-06          0              0              1e-06          1              
8e-06          0              0              1e-06          1              
6.8e-05        0              6.3e-05        0              0              
0.000103       0              0.000101       0              0              
4e-06          0              0              1e-06          1              
0.0001         0              9.8e-05        0              0              
5e-06          0              0              2e-06          1              
3.7e-05        0              3.4e-05        0              0              
3e-06          1e-06          0              1e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
4.6e-05        0              4.5e-05        0              0              
0.000146       0.000144       0              1e-06          1              
0.000156       0.000152       0              1e-06          1              
0.000289       0.000258       2.9e-05        0              0              
4e-06          0              0              1e-06          1              
3e-06          1e-06          0              1e-06          1              
3.2e-05        0              3.1e-05        0              0              
4e-06          0              0              1e-06          1              
3.1e-05        0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.1e-05        0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        1e-06          3e-05          0              0              
2e-06          0              0              1e-06          1              
3.2e-05        0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.1e-05        0              2.9e-05        0              0              
3e-06          1e-06          0              1e-06          1              
