TaskQLat.      PRRQLat.       TaskQLen       
0.000416       -1.544e+09     1              
TaskQLat.      PRRQLat.       TaskQLen       
1.1e-05        -1.54403e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
8e-06          -1.54403e+09   1              
1e-05          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.000131       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
0.000143       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.00015        -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000147       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000143       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.000144       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000138       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000135       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000129       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4.1e-05        -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000251       -1.54403e+09   2              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000149       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.000155       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000125       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000138       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000144       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000144       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
