TaskQLat.      PRRQLat.       TaksQlen       
4e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
2e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
3e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.000156       0              1              
2e-06          0              1              
2e-06          1e-06          1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
0.000151       0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.00015        0              1              
0.000136       1e-06          1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
0.000144       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.000143       0              1              
3e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          1e-06          1              
0.000134       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
0.000131       0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
0.000134       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          1e-06          1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
5.3e-05        0              1              
1e-06          0              1              
1e-06          0              1              
3e-06          0              1              
4.5e-05        0              1              
0.000303       0              1              
0.000205       0              1              
0.000144       1e-06          1              
0.000147       0              1              
4e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
2e-06          0              1              
0.000135       0              1              
3e-06          0              1              
2e-06          1e-06          1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
0.000147       0              1              
2e-06          0              1              
3e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
2e-06          0              1              
3e-06          0              1              
2e-06          1e-06          1              
0.000142       0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
0.000142       0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
0.000138       0              1              
3e-06          1e-06          1              
1e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
0.000146       0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
0.000133       0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
4e-05          0              1              
9.3e-05        0              1              
3.8e-05        0              1              
4e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
0.000143       0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
0.000128       0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.000147       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
