TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000463       0.000407       4.8e-05        0              0              
2e-05          1e-06          0              1.6e-05        1              
5.4e-05        0              4.4e-05        0              0              
1.4e-05        0              0              1.2e-05        1              
5.1e-05        0              4.3e-05        0              0              
1.3e-05        0              0              1.1e-05        1              
4.7e-05        0              3.8e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
4e-06          0              0              1e-06          1              
3.2e-05        0              3e-05          0              0              
2e-06          0              0              1e-06          1              
3.1e-05        0              2.9e-05        0              0              
4e-06          0              0              1e-06          1              
3.2e-05        0              3e-05          0              0              
0.000157       0.000154       0              1e-06          1              
0.00016        0.000129       3e-05          0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              2e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
2e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
4.3e-05        0              3.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.6e-05        0              3.4e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.6e-05        0              3.3e-05        0              0              
4e-06          0              0              1e-06          1              
3.3e-05        0              3e-05          0              0              
0.000152       0.00015        0              0              1              
0.000172       0.000139       2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.2e-05        1e-06          3e-05          0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              3.1e-05        0              0              
3.2e-05        0              3e-05          0              0              
3.1e-05        0              2.9e-05        0              0              
3e-06          0              0              0              1              
3.4e-05        0              3.1e-05        0              0              
0.00015        0.000146       0              1e-06          1              
0.000137       0.000133       0              1e-06          1              
0.00018        0.000148       3e-05          0              0              
3.2e-05        0              3e-05          0              0              
3.2e-05        0              3e-05          0              0              
2e-06          0              0              1e-06          1              
3.4e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
0.000145       0.000142       0              1e-06          1              
0.000176       0.000143       3e-05          0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.4e-05        1e-06          3.2e-05        0              0              
0.000143       0.000141       0              1e-06          1              
0.000172       0.000139       3e-05          0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
4e-06          0              0              1e-06          1              
3.4e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.1e-05        0              0              
3e-06          1e-06          0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          1e-06          0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
0.000135       0.000133       0              1e-06          1              
0.000172       0.000141       2.8e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
4e-06          0              0              1e-06          1              
3.4e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
0.000132       0.000128       0              1e-06          1              
0.000165       0.000134       2.8e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.9e-05        0              3.6e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
0.000134       0.000131       0              1e-06          1              
0.000165       0.000132       3e-05          0              0              
4e-06          0              0              1e-06          1              
3.5e-05        1e-06          3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        1e-06          3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
2e-06          0              0              0              1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              2.8e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              3e-05          0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
0.000159       0.000127       3e-05          0              0              
3.4e-05        1e-06          3.2e-05        0              0              
3e-05          0              2.8e-05        0              0              
6.7e-05        1e-06          6.5e-05        0              0              
3e-06          1e-06          0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          1e-06          0              1e-06          1              
4.7e-05        0              4.5e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
2e-06          0              0              0              1              
2e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3.2e-05        0              3.1e-05        0              0              
3.6e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
0.000103       0              0.000101       0              0              
0.000191       0.000186       0              1e-06          1              
0.000205       0.000201       0              1e-06          1              
0.000145       0.000141       0              1e-06          1              
0.000147       0.000144       0              1e-06          1              
0.000233       0.000201       2.9e-05        0              0              
4e-06          0              0              1e-06          1              
3.3e-05        0              3e-05          0              0              
3e-06          0              0              0              1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              0              1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3e-05          0              0              
2e-06          0              0              0              1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
4e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
0.000135       0.000133       0              0              1              
0.000179       0.000146       3e-05          0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.1e-05        0              0              
4e-06          0              0              2e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          1e-06          0              1e-06          1              
3.5e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              3e-05          0              0              
0.000147       0.000145       0              1e-06          1              
0.000185       0.000152       2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        1e-06          3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
2e-06          0              0              0              1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              0              1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
0.000143       0.000141       0              1e-06          1              
0.000154       0.000123       2.9e-05        0              0              
4e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        1e-06          3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              2.9e-05        0              0              
3e-06          0              0              1e-06          1              
3.6e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.6e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
0.000144       0.00014        0              1e-06          1              
0.000168       0.000135       3e-05          0              0              
3e-06          0              0              1e-06          1              
3.3e-05        1e-06          3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
3e-06          1e-06          0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
4e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.1e-05        0              0              
0.000139       0.000136       0              1e-06          1              
0.000175       0.000142       3e-05          0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        1e-06          3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
3e-06          1e-06          0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
4.1e-05        0              3.6e-05        0              0              
3e-06          0              0              0              1              
3.5e-05        0              3.2e-05        0              0              
4e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
0.000147       0.000143       0              1e-06          1              
0.000174       0.000141       3e-05          0              0              
