TaskQLat.      PRRQLat.       TaskQLen       
0.000468       -1.544e+09     1              
TaskQLat.      PRRQLat.       TaskQLen       
8e-06          -1.54403e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
7e-06          -1.54403e+09   1              
4e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.00017        -1.54403e+09   1              
1e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
1e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
5e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000147       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000166       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.00016        -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
0.000149       -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.000147       -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
3e-06          -1.54403e+09   1              
2e-06          -1.54403e+09   1              
0.000159       -1.54403e+09   1              
