TaskQLat.      PRRQLat.       TaksQlen       
4e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
1e-05          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
3e-06          2e-06          1              
2e-06          0              1              
1e-06          0              1              
2e-06          0              1              
2e-06          0              1              
1e-06          0              1              
2e-06          0              1              
0.000168       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
1e-06          0              1              
1e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.000157       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
3e-06          0              1              
0.000324       0              1              
0.000171       0              1              
0.00017        0              1              
3e-06          1e-06          1              
3e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.000151       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
0.000147       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.00015        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
2e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.000156       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.000149       0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.000186       0              1              
2e-06          0              1              
2e-06          0              1              
0.000152       0              1              
0.008117       0              5              
0.000157       0              1              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
0.004079       0              3              
0.007935       0              1              
2e-06          0              1              
0.011931       0              2              
5.1e-05        0              2              
3e-06          0              1              
0.011967       0              1              
2e-06          0              1              
0.000259       0              3              
0.019911       1e-06          1              
0.012014       0              3              
0.007862       0              2              
0.007985       0              2              
3e-06          0              1              
0.015915       0              1              
0.012122       0              3              
0.000456       0              3              
2e-06          0              1              
3e-06          0              1              
2e-06          0              1              
0.023957       0              2              
2e-06          0              1              
0.008001       0              2              
2e-06          0              1              
2e-06          0.005113       1              
2e-06          0              1              
0.008207       0              2              
0.031947       0              1              
0.023939       0              1              
0.023953       0              1              
0.027931       1e-06          1              
0.007714       0              5              
0.007993       0              4              
0.008135       0              1              
2e-06          0              1              
0.031949       0              1              
0.00777        0              3              
0.01978        0              2              
0.024148       0              2              
0.003963       0              1              
0.008302       0              3              
0.016211       0              2              
0.008246       0              3              
2e-06          0              1              
3e-06          0              1              
0.004027       0              2              
0.000192       0              2              
0.011655       0              1              
0.019962       0              1              
0.010723       0              1              
0.000197       0              2              
3.6e-05        0              1              
6.3e-05        0              1              
7.4e-05        0              2              
0.015923       0              3              
0.02399        0              2              
0.016005       0              2              
0.019962       0              1              
0.000686       0              9              
0.000346       0              2              
0.019768       0              1              
3e-06          0              1              
0.006858       0              1              
0.004345       0              9              
0.000693       0              5              
0.019113       0              10             
0.031959       0              1              
0.025313       0              7              
0.020025       0              3              
0.071001       0              3              
0.052344       0              9              
0.013441       1e-06          6              
0.036668       0              9              
0.031941       0              1              
0.012269       0              3              
0.047765       0              1              
0.039799       0              1              
0.008112       0              2              
0.003995       0              1              
7.1e-05        0              1              
0.031966       0              1              
0.004053       0              1              
0.039959       0              1              
0.056774       0              1              
0.036579       0              2              
0.027902       0              1              
0.007809       0              1              
0.007946       0              1              
0.015758       0              1              
0.027745       0              1              
0.043935       0              1              
0.047931       0              1              
0.024017       0              3              
0.03975        0              1              
0.039666       0              1              
0.027974       0              2              
0.039769       0              1              
0.027753       0              1              
0.019754       0              1              
0.015586       0              1              
0.007975       0              2              
0.116018       0              2              
0.05177        0              1              
0.04769        0              2              
0.039748       0              1              
0.044019       0              2              
0.008029       0              3              
0.011945       0              1              
0.003837       0              2              
0.007947       0              1              
0.007629       0              1              
0.039805       0              2              
0.047781       0              1              
0.039922       0              1              
0.035834       1e-06          2              
0.019382       0              1              
4.7e-05        0              1              
0.027819       0              1              
0.027771       0              1              
