Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        
-nan           1              -nan           1              -nan           1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0.000575035    1              0              1              0              1              
0.000575035    1              0              1              0              1              
0.000575035    1              0              1              0              1              
0.000575035    1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0.0305377      1              0              1              0              1              
0.0305377      1              0              1              0              1              
0.00842396     1              0              1              0              1              
0.00842396     1              0              1              0              1              
-0.000754434   1              0.002441       1              0              1              
0.127024       1              0              1              0              1              
0.760664       1              0              1              0              1              
0.897295       6              0              1              0              1              
0.149549       5              0              1              0              1              
-2.74361e+17   4              0.0569736      1              0              1              
-1.71476e+18   3              0.0108356      1              0              1              
-7.31631e+18   2              0              1              0              1              
1.42627        6              0              1              0              1              
-5.71586e+18   5              0.0287156      1              0              1              
-6.85904e+18   4              0.0287156      1              0              1              
-1.16604e+19   3              0              1              0              1              
-1.55472e+19   2              0              1              0              1              
0.291238       1              0              1              0              1              
1.53342        6              0.0406932      1              0              1              
-8.00221e+18   5              0.544072       1              0              1              
-9.60265e+18   4              1.22416        3              0              1              
-1.20033e+19   3              0.537591       2              0              1              
-1.60044e+19   2              1.1289         3              0              1              
0.688943       1              0.859309       3              0              1              
1.67286        4              0.954788       3              0              1              
-1.20033e+19   3              1.03903        3              0              1              
-1.60044e+19   2              2.43318        3              0              1              
1.42059        4              2.62035        3              0.502725       1              
-1.20033e+19   6              2.80752        1              1.00545        1              
-8.00221e+18   6              9.9199         1              1.50818        1              
-8.00221e+18   6              11.7916        1              1.50818        1              
-8.00221e+18   6              13.6633        1              1.50818        1              
-8.00221e+18   6              15.3478        1              2.0109         1              
-8.00221e+18   6              17.0697        1              2.41308        1              
-8.00221e+18   6              18.7917        1              2.81526        1              
-8.00221e+18   6              20.4762        1              3.31799        1              
-8.00221e+18   6              29.6379        1              3.51908        1              
-8.00221e+18   6              31.3961        1              5.02725        1              
-8.00221e+18   6              34.9317        1              10.0545        1              
-8.00221e+18   6              34.9317        1              10.0545        1              
-8.00221e+18   6              34.9317        1              10.0545        1              
-8.00221e+18   6              29.9212        1              43.5951        1              
-8.00221e+18   6              29.9212        1              43.5951        1              
0.0337033      1              22.9394        3              42.9896        1              
0              1              7.64647        3              42.9896        1              
0              1              7.64647        3              42.9896        1              
0              1              7.64647        3              42.9896        1              
0              1              5.3266         3              45.8068        1              
0              1              5.6673         3              55.428         1              
0              1              5.50044        3              70.0984        1              
0              1              5.50044        3              81.9795        1              
0              1              6.15191        3              93.8606        1              
0              1              5.79826        3              105.742        1              
0              1              4.75061        3              117.623        1              
0              1              14.0884        3              131.785        1              
0              1              14.0884        3              131.785        1              
0              1              3.86553        3              130.775        1              
0              1              2.75657        3              138.019        1              
0              1              2.75657        3              138.019        1              
0              1              0.950861       3              112.893        1              
0              1              0              2              91.1871        2              
0              1              0              1              45.5936        3              
0              1              0              1              53.5918        3              
0              1              0              1              53.5918        3              
0              1              0              1              53.5918        3              
0              1              0              1              29.0249        3              
