TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000514       0.000459       4.6e-05        0              0              
2e-05          1e-06          0              1.6e-05        1              
5.3e-05        0              4.4e-05        0              0              
1.2e-05        0              0              1.1e-05        1              
5.4e-05        0              4.8e-05        0              0              
1.2e-05        0              0              1e-05          1              
3.1e-05        0              2.8e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
2e-06          0              0              1e-06          1              
3.3e-05        0              3.2e-05        0              0              
2e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
2e-06          0              0              1e-06          1              
3.1e-05        0              3e-05          0              0              
3e-06          1e-06          0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
0.000169       0.000167       0              1e-06          1              
0.000201       0.000167       3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.2e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
2e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              2e-06          1              
5.8e-05        0              5.3e-05        0              0              
4e-06          0              0              1e-06          1              
3.7e-05        0              3.4e-05        0              0              
3e-06          0              0              1e-06          1              
3.6e-05        0              3.4e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
0.000158       0.000155       0              1e-06          1              
0.000177       0.000144       3e-05          0              0              
4e-06          0              0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
2e-06          0              0              0              1              
3.6e-05        0              3.4e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.6e-05        0              3.4e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3.3e-05        0              3.1e-05        0              0              
4e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3.6e-05        0              3.2e-05        0              0              
0.000325       0.000322       0              1e-06          1              
0.000172       0.000169       0              1e-06          1              
0.000171       0.000168       0              1e-06          1              
0.000197       0.000164       3.1e-05        0              0              
4e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
4e-06          0              0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        1e-06          3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.5e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
2e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
2e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
0.000152       0.000149       0              1e-06          1              
0.000191       0.000157       3.1e-05        0              0              
3e-06          0              0              0              1              
3.5e-05        0              3.3e-05        0              0              
2e-06          0              0              0              1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              0              1              
3.4e-05        0              3.2e-05        0              0              
2e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        1e-06          3.1e-05        0              0              
0.000147       0.000144       0              0              1              
0.000179       0.000146       3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          1e-06          0              1e-06          1              
3.5e-05        0              3.3e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              0              1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.4e-05        0              3.2e-05        0              0              
2e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
3.3e-05        0              3.1e-05        0              0              
3e-06          0              0              1e-06          1              
