getDevice      getProgram     runProgram     
0.000523       0.625407       0.011961       
0.000156       0.000252       0.010978       
0.011262       0.000275       0.016425       
0.01105        0.000752       0.092586       
0.011351       0.000544       0.095726       
0.042651       5.5e-05        0.103445       
0.02905        2.6e-05        0.148385       
0.041195       0.016218       0.162959       
0.039524       0.00876        0.166341       
0.046047       0.000781       0.169572       
0.041002       0.015868       0.173831       
0.044003       0.029534       0.165158       
0.039457       0.037065       0.797491       
0.080078       3.6e-05        0.766703       
0.028264       0.004785       0.821859       
0.072851       4.2e-05        0.766217       
0.048127       0.000501       0.780974       
0.028836       0.04199        0.781013       
0.006073       0.025944       0.819205       
0.06006        0.042057       0.781079       
0.037764       0.000328       0.78127        
0.027069       0.038191       0.781223       
0.012951       0.002676       0.843005       
0.077036       2.8e-05        0.766542       
0.032792       0.00198        0.825566       
0.059351       3.4e-05        0.781499       
0.064463       3.3e-05        0.76735        
0.059428       0.001938       0.781865       
