getDevice      getProgram     runProgram     
4.7e-05        0.873467       0.105148       
0.028036       0.000122       1.20516        
0.039605       2.9e-05        1.20852        
0.013541       0.00086        1.23563        
0.014052       0.834658       0.307742       
1.15547        5.4e-05        0.857627       
1.16628        0.000216       0.857871       
1.16552        3.3e-05        0.857954       
1.14955        3.1e-05        0.857949       
1.1587         4.2e-05        0.858187       
1.14151        0.000187       0.858148       
1.23302        0.000177       0.858228       
1.23272        0.00016        0.858282       
1.23144        4.6e-05        0.858362       
