getDevice      getProgram     runProgram     
6e-05          0.904662       0.000179       
0.00016        0.000137       0.000322       
0.000102       0.011064       0.000294       
0.000524       0.011331       0.002507       
0.00065        0.011317       0.002647       
0.000532       0.011337       0.005162       
0.008187       0.001605       0.077326       
0.002876       0.011949       0.083699       
0.014271       0.014063       0.068043       
0.002638       0.009801       0.087087       
0.014266       0.000308       0.071694       
0.01381        0.014074       0.071862       
0.016837       0.025833       0.088164       
0.014266       0.014046       0.099981       
0.016254       0.0141         0.100057       
0.016716       0.021751       0.092569       
0.037559       2.8e-05        0.088135       
0.041058       3e-05          0.102416       
0.041331       0.000176       0.102543       
0.04376        0.008766       0.097422       
0.041865       0.017659       0.120233       
0.009261       0.007318       0.64887        
0.007663       0.005051       0.64613        
0.00588        0.005332       0.646606       
0.069093       0.005626       0.651233       
0.077105       0.001913       0.649327       
0.016034       0.000839       0.64132        
0.083308       0.006898       0.650152       
0.085128       0.00226        0.649547       
0.006272       0.002307       0.64979        
0.006092       0.010774       0.641642       
0.020361       0.002333       0.649972       
0.065201       0.005601       0.651947       
0.032955       0.0033         0.63477        
0.041575       0.000504       0.614479       
0.036818       0.034185       0.614587       
0.076958       0.00533        0.717216       
0.017147       0.005436       0.718628       
0.077057       0.005238       0.720023       
0.044071       0.000159       0.719383       
0.07556        3.5e-05        0.705415       
0.076815       3.6e-05        0.705214       
0.051058       2.9e-05        0.719856       
0.03208        0.04098        0.719589       
0.078346       3.4e-05        0.706071       
0.057508       2.9e-05        0.720112       
0.052071       0.000175       0.720129       
0.057493       0.000141       0.720661       
0.060731       7.5e-05        0.706466       
0.044071       4.9e-05        0.720761       
0.03209        0.049914       0.71144        
0.036732       0.039933       0.721503       
0.064396       4.7e-05        0.707467       
0.024137       0.04595        0.721854       
0.032088       0.02995        0.722215       
0.044658       5.1e-05        0.707829       
0.028071       0.049849       0.712652       
0.07288        7.8e-05        0.707936       
0.069033       7e-05          0.707871       
0.036073       0.038523       0.722517       
0.03207        0.029946       0.723227       
