TaskQLat.      PRRQLat.       TaskQLen       
0.000358       1.40726e+14    1              
TaskQLat.      PRRQLat.       TaskQLen       
5e-06          -1.54084e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
3e-06          -1.54084e+09   1              
4e-06          -1.54084e+09   1              
2e-06          -1.54084e+09   1              
2e-06          -1.54084e+09   1              
0.000216       -1.54084e+09   3              
0.00024        -1.54084e+09   2              
0.000162       -1.54084e+09   4              
4.3e-05        -1.54084e+09   2              
0.011193       -1.54084e+09   2              
0.011217       -1.54084e+09   3              
0.005284       -1.54084e+09   7              
0.00071        -1.54084e+09   4              
0.000225       -1.54084e+09   2              
0.001458       -1.54084e+09   1              
0.011671       -1.54084e+09   7              
0.000261       -1.54084e+09   3              
9.8e-05        -1.54084e+09   3              
0.000309       -1.54084e+09   4              
0.000357       -1.54084e+09   5              
0.000384       -1.54084e+09   4              
0.000604       -1.54084e+09   2              
0.000673       -1.54084e+09   12             
0.000139       -1.54084e+09   4              
0.01162        -1.54084e+09   8              
0.009654       -1.54084e+09   6              
0.001706       -1.54084e+09   6              
0.0007         -1.54084e+09   3              
0.00152        -1.54084e+09   5              
0.000758       -1.54084e+09   9              
0.010351       -1.54084e+09   7              
0.01032        -1.54084e+09   6              
0.00158        -1.54084e+09   6              
0.001551       -1.54084e+09   6              
0.001506       -1.54084e+09   5              
0.000214       -1.54084e+09   4              
3.5e-05        -1.54084e+09   1              
0.002067       -1.54084e+09   1              
0.00059        -1.54084e+09   10             
0.008207       -1.54084e+09   6              
3e-06          -1.54084e+09   1              
0.000822       -1.54084e+09   10             
0.000643       -1.54084e+09   11             
0.008492       -1.54084e+09   8              
0.006648       -1.54084e+09   9              
0.004246       -1.54084e+09   7              
0.007626       -1.54084e+09   8              
0.006816       -1.54084e+09   9              
0.005813       -1.54084e+09   5              
0.000119       -1.54084e+09   2              
0.005986       -1.54084e+09   6              
0.00602        -1.54084e+09   8              
0.006026       -1.54084e+09   9              
0.00326        -1.54084e+09   10             
3e-06          -1.54084e+09   1              
0.007063       -1.54084e+09   4              
0.007005       -1.54084e+09   3              
0.006049       -1.54084e+09   10             
0.003786       -1.54084e+09   8              
4e-06          -1.54084e+09   1              
0.00711        -1.54084e+09   5              
0.004772       -1.54084e+09   7              
0.007341       -1.54084e+09   6              
0.004364       -1.54084e+09   2              
0.003859       -1.54084e+09   9              
0.003934       -1.54084e+09   10             
0.005999       -1.54084e+09   7              
0.005092       -1.54084e+09   11             
0.005131       -1.54084e+09   12             
0.004927       -1.54084e+09   16             
0.001474       -1.54084e+09   1              
0.000647       -1.54084e+09   4              
4e-06          -1.54084e+09   1              
0.000493       -1.54084e+09   2              
0.001555       -1.54084e+09   1              
0.001437       -1.54084e+09   6              
0.001488       -1.54084e+09   4              
0.001222       -1.54084e+09   1              
0.001203       -1.54084e+09   2              
0.041432       -1.54084e+09   4              
0.037702       -1.54084e+09   9              
0.003072       -1.54084e+09   17             
0.002581       -1.54084e+09   17             
0.001488       -1.54084e+09   5              
2e-06          -1.54084e+09   1              
0.001692       -1.54084e+09   2              
0.029882       -1.54084e+09   12             
0.000371       -1.54084e+09   2              
0.001193       -1.54084e+09   3              
0.001868       -1.54084e+09   11             
0.001203       -1.54084e+09   4              
0.000295       -1.54084e+09   2              
0.001991       -1.54084e+09   12             
0.000584       -1.54084e+09   9              
2e-06          -1.54084e+09   1              
0.000473       -1.54084e+09   3              
0.00014        -1.54084e+09   1              
0.00742        -1.54084e+09   7              
0.00268        -1.54084e+09   1              
0.004926       -1.54084e+09   16             
0.006919       -1.54084e+09   11             
0.000734       -1.54084e+09   10             
