TaskQLat.      PRRQLat.       TaksQlen       
4e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
1.1e-05        1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
2e-06          1e-06          1              
0.0001         0              1              
0.000217       0              3              
0.011014       0              1              
0.01127        0              4              
0.011288       0              5              
0.011267       0              6              
0.000725       0              8              
0.000231       0              6              
0.000443       1e-06          5              
0.001561       0              6              
0.009763       0              7              
0.011643       1e-06          9              
0.000821       0              10             
0.013871       1e-06          1              
0.00028        0              8              
0.000279       0              9              
0.013888       0              5              
0.013888       0              4              
0.013884       0              3              
0.013881       0              2              
2e-06          1e-06          1              
9e-06          0              1              
2e-06          0              1              
6e-06          0              1              
1e-06          0              1              
2e-06          0              1              
3e-06          0              1              
0.015804       0              3              
0.013779       0              1              
0.01618        0              5              
0.008727       0              6              
0.008731       0              7              
0.00076        0              6              
0.015896       0              2              
0.016183       0              4              
0.005208       0              11             
0.0053         0              11             
0.005329       0              11             
0.005469       0              13             
0.005539       0              14             
0.005396       0              12             
0.002575       0              16             
0.005593       0              15             
0.002276       0              14             
0.002287       0              15             
0.001887       0              13             
0.002131       0              15             
0.002269       0              13             
0.002177       0              15             
0.000803       0              5              
4.7e-05        0              1              
0.001945       0              3              
0.003267       0              4              
0.004739       0              5              
0.002526       0              15             
0.029915       0              13             
0.029915       0              15             
0.001914       0              15             
0.039555       0              7              
0.000477       0              14             
0.000463       0              15             
0.000301       0              11             
0.041404       0              5              
0.033859       0              11             
0.041478       0              6              
0.029831       1e-06          16             
0.035834       0              6              
2e-06          0              1              
1e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
3e-06          0              1              
0.029926       0              14             
0.039977       0              6              
0.03947        0              8              
0.037677       0              10             
7e-06          0              1              
4e-06          0              1              
5e-06          0              1              
1.9e-05        0              1              
1.3e-05        0              1              
9e-06          0              1              
3e-06          0              1              
1.9e-05        0              1              
6e-06          0              1              
4.8e-05        0              1              
3e-06          0              1              
4e-05          0              1              
0.035586       0.008487       5              
5e-06          0              1              
8e-06          0              1              
5e-06          0              1              
8e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
1.3e-05        0              1              
