TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000391       0.000344       3.5e-05        0              0              
1.9e-05        1e-06          0              1.5e-05        1              
3.6e-05        1e-06          3.1e-05        0              0              
1.3e-05        0              0              1.1e-05        1              
2.9e-05        0              2.6e-05        0              0              
1e-05          0              0              9e-06          1              
3.6e-05        1e-06          3.1e-05        0              0              
2.3e-05        0              2.1e-05        0              0              
0.000101       9.7e-05        0              1e-06          1              
0.000169       0.000133       3.4e-05        0              0              
3e-06          0              0              1e-06          1              
2e-05          0              1.9e-05        0              0              
1.8e-05        0              1.7e-05        0              0              
2.3e-05        0              2.2e-05        0              0              
2e-05          0              1.7e-05        0              0              
0.011016       0.011011       0              2e-06          1              
0.000206       0.000171       3.1e-05        0              0              
3.7e-05        0              3.3e-05        0              0              
4e-06          1e-06          0              2e-06          1              
4e-06          0              0              2e-06          1              
3e-06          0              0              1e-06          1              
6.1e-05        0              5.8e-05        0              0              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3.1e-05        0              2.9e-05        0              0              
6.6e-05        0              6.3e-05        0              0              
0.00023        0.000226       0              1e-06          1              
0.000302       0.000262       3.7e-05        0              0              
3.9e-05        1e-06          3.6e-05        0              0              
4.1e-05        0              3.8e-05        0              0              
3.1e-05        0              2.7e-05        0              0              
2.8e-05        0              2.5e-05        0              0              
0.001489       0.001456       3e-05          0              0              
3.1e-05        0              2.7e-05        0              0              
3e-05          0              2.7e-05        0              0              
3e-05          0              2.7e-05        0              0              
3.7e-05        0              3.4e-05        0              0              
0.000304       0.000274       2.7e-05        0              0              
2.9e-05        0              2.6e-05        0              0              
2.9e-05        0              2.6e-05        0              0              
5e-06          0              0              2e-06          1              
2.9e-05        0              2.5e-05        0              0              
0.000438       0              0.000436       0              0              
0.009717       0.009691       2.2e-05        0              0              
2.8e-05        0              2.6e-05        0              0              
3e-06          0              0              2e-06          1              
2e-05          0              1.9e-05        0              0              
2.1e-05        0              1.9e-05        0              0              
2e-05          0              1.9e-05        0              0              
