getDevice      getProgram     runProgram     
0.000557       0.9144         0.010353       
5.7e-05        2e-05          0.010332       
3.5e-05        2.2e-05        0.010335       
3.4e-05        6.9e-05        0.010328       
3.4e-05        2.1e-05        0.010341       
8.1e-05        6.4e-05        0.047862       
0.10406        2.6e-05        0.058977       
0.192046       0.035971       0.847861       
1.14405        0.035966       0.047985       
1.23607        0.034378       0.083525       
1.36666        0.025338       0.06732        
1.47885        0.033144       0.035034       
1.53602        0.027994       0.06399        
1.68804        0.027978       0.068581       
1.85205        0.05196        0.053085       
1.96403        0.03597        0.047984       
2.08002        0.006491       0.068544       
2.14077        0.002612       0.068824       
