getDevice      getProgram     runProgram     
5.5e-05        1.30108        0.065767       
8.9e-05        1.5e-05        0.063387       
3.2e-05        1.5e-05        0.063401       
3.2e-05        1.5e-05        0.063419       
3.2e-05        6.3e-05        0.063403       
0.000336       2.9e-05        1.16456        
0.006113       1.12191        0.364947       
1.17827        0.02873        0.343382       
1.49753        0.047973       0.40644        
1.56188        0.055959       0.389542       
1.97203        0.005555       0.33841        
2.05381        0.027973       0.305673       
2.36882        0.024281       0.194022       
2.4054         0.049065       0.237811       
2.612          8.9e-05        0.233871       
2.71722        0.004027       0.243492       
2.87439        0.038396       0.179584       
2.97718        0.0001         0.178415       
3.10219        0.035971       0.20801        
3.17658        0.027969       0.197748       
3.34004        0.031975       0.420199       
3.44042        0.011971       0.399504       
3.87109        0.028201       0.206389       
3.86637        0.046396       0.185431       
4.11826        0.062073       0.161185       
4.07211        0.035905       0.191756       
4.3636         0.027936       0.207127       
4.35209        0.035899       0.199142       
4.59581        0.007275       0.200595       
4.61204        0.005242       0.246098       
4.80403        0.019955       0.15343        
4.89604        0.035966       0.166119       
5.00001        0.007263       0.190254       
5.11584        0.004884       0.201949       
5.16274        0.037285       0.194938       
5.36115        0.023786       0.18401        
5.42006        0.035959       0.263179       
5.59306        0.030999       0.158479       
5.71127        0.02875        0.328998       
5.82003        0.004043       0.321241       
6.14801        0.004064       0.238686       
6.0898         0.004167       0.228847       
6.32964        0.006539       0.218107       
6.38404        0.012065       0.225564       
6.62714        8.4e-05        0.176141       
6.55037        0.005717       0.187301       
6.82339        0.004652       0.133872       
6.94805        0.012032       0.117879       
7.12378        0.007282       0.063537       
7.21205        9e-05          0.188778       
7.41211        0.012087       0.064777       
7.50804        0.012032       0.138857       
7.65899        9.3e-05        0.104148       
7.74011        0.000225       0.104049       
7.8521         0.000149       0.104113       
7.96087        0.002495       0.105963       
8.11336        0.000206       0.063561       
8.12924        0.00011        0.103294       
8.23271        9e-05          0.103343       
8.38418        8.3e-05        0.0638         
8.39616        9.3e-05        0.063663       
8.45599        9.4e-05        0.103394       
8.54755        8.6e-05        0.103477       
8.64717        8.7e-05        0.103478       
8.71882        9.1e-05        0.063839       
