getDevice      getProgram     runProgram     
6.5e-05        1.34453        0.000126       
4.3e-05        8.3e-05        0.000123       
4e-05          1.6e-05        0.000121       
8.6e-05        1.6e-05        0.000121       
3.8e-05        1.8e-05        0.00012        
0.000267       3e-05          0.00018        
0.000154       2.9e-05        0.000166       
0.001137       9.7e-05        0.000236       
0.024123       0.080779       0.031675       
0.160037       8.5e-05        0.016448       
0.210051       0.040157       0.822489       
1.12402        0.039963       0.000134       
1.15603        0.039984       0.042965       
1.28791        0.031971       0.048659       
1.37667        7.6e-05        0.00013        
1.35204        0.056018       0.036074       
1.48058        0.004148       0.000123       
1.55419        0.039984       0.000127       
1.63204        0.039968       0.03091        
1.70803        8.6e-05        0.044666       
1.78805        9e-05          0.000161       
1.86405        0.040153       0.035071       
1.97607        0.040696       0.027784       
2.08001        0.031985       0.043124       
2.17284        0.06152        0.000134       
2.19211        0.039905       0.018968       
2.26005        0.048863       0.023107       
2.34803        0.000164       0.00319        
2.44121        0.006866       0.000134       
2.40556        0.010075       0.000162       
2.42004        0.039975       0.008115       
2.46405        0.039965       0.000161       
