TaskQLat.      PRRQLat.       TaskQLen       
0.000367       1.40732e+14    1              
TaskQLat.      PRRQLat.       TaskQLen       
5e-06          -1.54101e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
3e-06          -1.54101e+09   1              
3e-06          -1.54101e+09   1              
2e-06          -1.54101e+09   1              
5.7e-05        -1.54101e+09   1              
2e-06          -1.54101e+09   1              
2e-06          -1.54101e+09   1              
2e-06          -1.54101e+09   1              
2e-06          -1.54101e+09   1              
5e-05          -1.54101e+09   1              
2e-06          -1.54101e+09   1              
2e-06          -1.54101e+09   1              
2e-06          -1.54101e+09   1              
1e-06          -1.54101e+09   1              
0.000103       -1.54101e+09   1              
4e-05          -1.54101e+09   2              
5.7e-05        -1.54101e+09   1              
2e-06          -1.54101e+09   1              
2e-06          -1.54101e+09   1              
3e-06          -1.54101e+09   1              
0.006619       -1.54101e+09   3              
0.006441       -1.54101e+09   1              
0.003386       -1.54101e+09   11             
0.006533       -1.54101e+09   2              
8.1e-05        -1.54101e+09   1              
0.056226       -1.54101e+09   6              
0.006853       -1.54101e+09   5              
2e-06          -1.54101e+09   1              
0.052298       -1.54101e+09   9              
0.006993       -1.54101e+09   7              
0.048433       -1.54101e+09   12             
0.000101       -1.54101e+09   1              
0.044956       -1.54101e+09   14             
0.044577       -1.54101e+09   15             
0.056173       -1.54101e+09   4              
0.061481       -1.54101e+09   1              
0.04463        -1.54101e+09   17             
2e-06          -1.54101e+09   1              
0.04154        -1.54101e+09   24             
0.044604       -1.54101e+09   16             
0.041617       -1.54101e+09   25             
0.045418       -1.54101e+09   21             
0.041641       -1.54101e+09   26             
0.041667       -1.54101e+09   27             
0.040904       -1.54101e+09   31             
0.040882       -1.54101e+09   30             
0.03787        -1.54101e+09   32             
0.034955       -1.54101e+09   35             
0.060048       -1.54101e+09   3              
2e-06          -1.54101e+09   1              
0.034808       -1.54101e+09   37             
0.034833       -1.54101e+09   38             
0.030981       -1.54101e+09   41             
0.026656       -1.54101e+09   52             
0.031061       -1.54101e+09   44             
0.031142       -1.54101e+09   45             
0.048384       -1.54101e+09   10             
2e-06          -1.54101e+09   1              
0.027383       -1.54101e+09   50             
0.040098       -1.54101e+09   55             
0.028325       -1.54101e+09   61             
0.01255        -1.54101e+09   13             
0.003993       -1.54101e+09   1              
0.045395       -1.54101e+09   20             
2e-06          -1.54101e+09   1              
0.045438       -1.54101e+09   22             
0.000672       -1.54101e+09   1              
0.040788       -1.54101e+09   28             
0.000152       -1.54101e+09   2              
0.037921       -1.54101e+09   34             
1.2e-05        -1.54101e+09   1              
3e-06          -1.54101e+09   1              
0.03478        -1.54101e+09   36             
3e-06          -1.54101e+09   1              
0.034949       -1.54101e+09   40             
0.031006       -1.54101e+09   42             
0.000146       -1.54101e+09   1              
0.031166       -1.54101e+09   46             
0.00669        -1.54101e+09   4              
0.027235       -1.54101e+09   48             
0.006923       -1.54101e+09   6              
0.023502       -1.54101e+09   54             
0.007059       -1.54101e+09   8              
0.040125       -1.54101e+09   56             
0.004061       -1.54101e+09   9              
0.040182       -1.54101e+09   58             
0.003314       -1.54101e+09   10             
0.032295       -1.54101e+09   60             
0.003456       -1.54101e+09   12             
0.000166       -1.54101e+09   2              
0.028353       -1.54101e+09   62             
0.060049       -1.54101e+09   2              
0.020408       -1.54101e+09   63             
0.016523       -1.54101e+09   12             
0.0562         -1.54101e+09   5              
0.056247       -1.54101e+09   7              
0.04841        -1.54101e+09   11             
0.048455       -1.54101e+09   13             
0.044651       -1.54101e+09   18             
0.04467        -1.54101e+09   19             
0.04546        -1.54101e+09   23             
0.040808       -1.54101e+09   29             
0.037895       -1.54101e+09   33             
0.034859       -1.54101e+09   39             
0.031034       -1.54101e+09   43             
0.027208       -1.54101e+09   47             
0.027262       -1.54101e+09   49             
0.027408       -1.54101e+09   51             
0.023476       -1.54101e+09   53             
0.040154       -1.54101e+09   57             
0.036212       -1.54101e+09   59             
0.024378       -1.54101e+09   63             
0.020489       -1.54101e+09   64             
3.4e-05        -1.54101e+09   1              
