TaskQLat.      PRRQLat.       TaksQlen       
4e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
6e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
2e-06          1e-06          1              
1e-06          0              1              
6.7e-05        0              1              
2e-06          0              1              
4e-06          0              1              
2e-06          0              1              
2e-06          0              1              
5.2e-05        0              1              
2e-06          0              1              
2e-06          0              1              
5e-06          0              1              
1e-06          0              1              
4.9e-05        0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
1.3e-05        0              1              
3.7e-05        0              1              
2e-06          0              1              
0.056154       0              8              
6.4e-05        0              1              
0.016006       0              1              
0.037976       1e-06          1              
0.000184       2e-06          2              
0.00801        0              1              
0.032002       0              1              
0.007878       0              2              
0.032028       0              1              
0.011997       1e-06          1              
0.008019       0              1              
5.8e-05        0              1              
0.009381       1e-06          1              
0.040066       0              1              
0.017181       0              1              
0.004124       0              2              
0.024016       0              1              
0.012199       1e-06          3              
0.024108       0              2              
0.032015       0              1              
0.028008       1e-06          1              
0.012014       0              1              
6.5e-05        0              1              
6.5e-05        0              1              
0.008122       0              2              
0.015177       0              1              
0.001532       0              2              
0.019978       0              1              
0.008117       0              2              
0.016035       1e-06          1              
0.006471       0              1              
0.006648       0              2              
0.00259        0              2              
0.019205       0              1              
0.023945       1e-06          1              
0.020008       0              1              
0.01919        0              1              
0.000142       0              2              
0.032009       0              1              
0.00684        0              1              
0.004056       0              1              
0.012016       0              1              
0.012006       0              1              
6.4e-05        0              1              
0.004004       0              1              
0.0177         0              1              
7.8e-05        0              1              
0.020053       0              1              
0.022369       0              1              
0.017058       0              1              
0.007224       0              1              
0.025605       0              1              
0.014581       0              2              
0.023276       0              2              
0.026123       0              1              
0.007292       0              1              
0.016886       0              2              
0.007253       0              1              
0.005219       0              1              
0.009386       0              1              
0.020815       0              1              
0.007239       0              1              
0.004856       0              1              
0.019638       0              1              
0.020622       1e-06          1              
0.024018       0              1              
0.019775       0              1              
0.018045       1e-06          1              
0.004023       0              1              
0.004045       0              1              
0.001685       0              1              
0.012042       0              1              
0.006516       0              2              
0.005692       0              1              
6.2e-05        0              1              
0.004629       0              1              
0.01201        0              1              
7.6e-05        0              1              
6.7e-05        0              1              
0.011947       0              1              
0.01201        0              1              
6.9e-05        0              1              
0.000145       0              1              
0.000121       0              1              
0.00012        1e-06          1              
0.000116       0              1              
8e-05          0              1              
6.8e-05        0              1              
6.2e-05        0              1              
7e-05          0              1              
6.6e-05        0              1              
6.3e-05        0              1              
6.4e-05        0              1              
6.7e-05        0              1              
