TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000314       0.000276       2.6e-05        0              0              
1e-05          0              0              6e-06          1              
2.9e-05        0              2.4e-05        0              0              
7e-06          0              0              6e-06          1              
2.1e-05        0              1.8e-05        0              0              
6e-06          0              0              4e-06          1              
2.6e-05        1e-06          2.3e-05        0              0              
2e-06          0              0              1e-06          1              
1.8e-05        0              1.6e-05        0              0              
6.8e-05        6.6e-05        0              1e-06          1              
7.2e-05        5.5e-05        1.6e-05        0              0              
2e-06          0              0              1e-06          1              
1.9e-05        0              1.7e-05        0              0              
2e-06          0              0              1e-06          1              
1.8e-05        0              1.6e-05        0              0              
3e-06          0              0              1e-06          1              
1.6e-05        0              1.3e-05        0              0              
2e-06          0              0              1e-06          1              
1.8e-05        0              1.6e-05        0              0              
5e-05          4.7e-05        0              0              1              
6.4e-05        4.8e-05        1.4e-05        0              0              
2e-06          0              0              1e-06          1              
1.6e-05        0              1.4e-05        0              0              
2e-06          0              0              0              1              
1.8e-05        0              1.6e-05        0              0              
2e-06          0              0              1e-06          1              
1.7e-05        0              1.6e-05        0              0              
2e-06          0              0              1e-06          1              
1.5e-05        0              1.4e-05        0              0              
5e-05          4.8e-05        0              0              1              
0.000122       9.9e-05        1.9e-05        0              0              
1.6e-05        0              1.5e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
2e-06          0              0              1e-06          1              
2e-06          0              0              1e-06          1              
1.6e-05        0              1.4e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
7.1e-05        5.4e-05        1.5e-05        0              0              
3e-06          0              0              1e-06          1              
1.5e-05        0              1.4e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
0.000659       0              0.000657       0              0              
1.9e-05        0              1.6e-05        0              0              
6.2e-05        4.8e-05        1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
2e-06          0              0              1e-06          1              
1.7e-05        0              1.5e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
4e-06          1e-06          0              1e-06          1              
2e-05          0              1.7e-05        0              0              
0.000109       9.1e-05        1.6e-05        0              0              
2.3e-05        0              1.8e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
2e-05          0              1.7e-05        0              0              
1.8e-05        0              1.5e-05        0              0              
0.000112       9.4e-05        1.6e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
1.8e-05        0              1.5e-05        0              0              
1.7e-05        1e-06          1.5e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
0.000119       0.0001         1.5e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
2e-05          0              1.7e-05        0              0              
1.9e-05        0              1.6e-05        0              0              
0.000109       0.0001         0              7e-06          1              
0.000117       9.8e-05        1.6e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
2.1e-05        1e-06          1.9e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
7.7e-05        6.2e-05        1.4e-05        0              0              
1.5e-05        0              1.2e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
2e-06          0              0              1e-06          1              
1.4e-05        0              1.3e-05        0              0              
7e-05          5.5e-05        1.4e-05        0              0              
1.4e-05        0              1.2e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
7.1e-05        5.7e-05        1.3e-05        0              0              
1.4e-05        0              1.2e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.4e-05        0              1.2e-05        0              0              
0.000722       0.000706       1.5e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.6e-05        1e-06          1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
6.9e-05        5.5e-05        1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
6.8e-05        5.5e-05        1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.4e-05        1e-06          1.2e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
0.000815       0.000799       1.5e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
1.5e-05        0              1.2e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
7.2e-05        5.6e-05        1.4e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
