getDevice      getProgram     runProgram     
0.000578       1.2372         0.010418       
0.017122       2.6e-05        0.03321        
0.080051       5.1e-05        0.041678       
0.155884       0.048013       0.06572        
0.275842       3e-05          0.147943       
0.451863       0.039975       0.585767       
1.10146        0.040206       0.085287       
1.24004        0.043968       0.061967       
1.37202        2.3e-05        0.083016       
1.49202        0.039984       0.051405       
1.60003        0.00383        0.136621       
1.76003        2.7e-05        0.082048       
1.85423        0.005525       0.073662       
1.94404        0.032025       0.103293       
