getDevice      getProgram     runProgram     
7e-05          1.30295        0.065752       
0.00016        0.000168       1.10181        
1.1371         0.032238       0.405966       
0.000106       1.15557        0.483423       
1.59704        0.043964       0.519696       
1.66746        0.007018       0.495773       
2.19453        0.000437       0.292239       
2.1769         0.031921       0.348441       
2.49392        0.055948       0.46259        
2.57645        0.035964       0.412698       
3.03163        0.004261       0.404449       
3.07179        0.003768       0.368457       
3.46405        3.3e-05        0.236816       
3.47487        3.3e-05        0.272347       
3.75435        0.000127       0.236186       
3.73205        0.031956       0.300708       
4.02004        3e-05          0.31599        
4.08778        0.0017         0.316016       
4.34063        0.003653       0.364455       
4.40805        0.031958       0.380995       
4.74789        4.7e-05        0.328963       
4.82116        0.034769       0.197027       
5.064          0.007908       0.330027       
5.08404        0.007539       0.326936       
5.41791        0.03597        0.320418       
5.41605        0.035956       0.316449       
5.77549        0.028511       0.182942       
5.79205        3.9e-05        0.252008       
6.00804        0.000137       0.267891       
6.07605        3.6e-05        0.259004       
6.30004        3.4e-05        0.242355       
6.36405        0.03596        0.307566       
6.54791        0.008012       0.203119       
6.7277         0.028347       0.230418       
6.75124        0.003982       0.213053       
6.99604        3.3e-05        0.239999       
6.99205        3.4e-05        0.256935       
7.23225        0.011663       0.149307       
7.272          0.003929       0.140149       
7.40371        3.9e-05        0.148621       
7.41626        3.4e-05        0.129625       
7.55645        3.6e-05        0.122498       
7.55194        0.005469       0.113272       
7.67497        8.8e-05        0.193442       
7.67606        4.4e-05        0.234339       
7.86858        3.8e-05        0.239407       
7.92004        3.7e-05        0.214544       
8.10811        0.031901       0.225167       
8.14404        3.5e-05        0.209137       
8.3493         3.5e-05        0.20427        
8.36136        3.3e-05        0.219187       
8.54993        0.000137       0.151367       
8.58073        0.001869       0.15413        
8.7369         2.7e-05        0.10347        
8.83983        3e-05          0.103275       
8.93986        4.2e-05        0.063758       
9.00374        3.6e-05        0.063607       
9.06747        3.2e-05        0.103584       
9.17116        3.8e-05        0.063178       
9.23046        2.8e-05        0.103096       
9.33366        3.6e-05        0.06345        
