getDevice      getProgram     runProgram     
7.8e-05        1.71877        0.00015        
0.000144       0.000227       0.000218       
0.000209       0.000161       0.00034        
0.000317       4.9e-05        0.000337       
0.000136       0.000182       0.000309       
0.020111       0.002232       0.000722       
0.024058       0.067959       0.029891       
0.145941       0.027971       0.000162       
0.177868       0.031982       0.012843       
0.255881       0.055393       0.694382       
1.01605        0.005536       0.000682       
1.04805        0.03197        0.000164       
1.08407        0.035936       0.000159       
1.17203        0.027011       0.000159       
1.26805        0.00398        0.034585       
1.31205        0.031961       0.026641       
1.43204        0.027986       0.050934       
1.54005        4.1e-05        0.033176       
1.58404        0.03997        0.03359        
1.68804        0.032014       0.040088       
1.79603        0.003971       0.050679       
1.86803        0.003885       0.059273       
1.99565        0.000142       0.058711       
2.07406        3.3e-05        0.026257       
2.10805        0.031959       0.033517       
2.18649        0.032291       0.033827       
2.2545         0.001816       0.049331       
2.30405        0.031961       0.052891       
