TaskQLat.      PRRQLat.       TaskQLen       
0.000376       1.40723e+14    1              
TaskQLat.      PRRQLat.       TaskQLen       
1e-05          -1.54098e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
9e-06          -1.54098e+09   1              
7e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
0.000192       -1.54098e+09   1              
2e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
0.000157       -1.54098e+09   1              
3.7e-05        -1.54098e+09   2              
2e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
1.6e-05        -1.54098e+09   1              
2e-06          -1.54098e+09   1              
2.1e-05        -1.54098e+09   1              
3e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
0.036389       -1.54098e+09   6              
0.032828       -1.54098e+09   10             
0.002202       -1.54098e+09   1              
0.032876       -1.54098e+09   11             
0.000234       -1.54098e+09   2              
0.032911       -1.54098e+09   12             
0.036427       -1.54098e+09   7              
0.032297       -1.54098e+09   18             
0.03267        -1.54098e+09   22             
0.032588       -1.54098e+09   20             
0.028982       -1.54098e+09   24             
0.029061       -1.54098e+09   26             
0.000187       -1.54098e+09   3              
0.029121       -1.54098e+09   28             
0.029342       -1.54098e+09   29             
0.022605       -1.54098e+09   47             
1e-06          -1.54098e+09   1              
0.029383       -1.54098e+09   30             
0.019147       -1.54098e+09   54             
0.02942        -1.54098e+09   31             
0.015563       -1.54098e+09   60             
0.029453       -1.54098e+09   32             
0.011682       -1.54098e+09   63             
0.025783       -1.54098e+09   34             
0.02584        -1.54098e+09   36             
0.022626       -1.54098e+09   48             
5.8e-05        -1.54098e+09   3              
0.000153       -1.54098e+09   1              
0.021753       -1.54098e+09   50             
0.015285       -1.54098e+09   58             
0.008326       -1.54098e+09   64             
3e-05          -1.54098e+09   1              
3e-06          -1.54098e+09   1              
0.00015        -1.54098e+09   1              
2e-06          -1.54098e+09   1              
3e-06          -1.54098e+09   1              
3e-06          -1.54098e+09   1              
4e-06          -1.54098e+09   1              
3e-06          -1.54098e+09   1              
3e-06          -1.54098e+09   1              
3e-06          -1.54098e+09   1              
0.000127       -1.54098e+09   1              
0.036087       -1.54098e+09   3              
3.6e-05        -1.54098e+09   2              
0.036346       -1.54098e+09   5              
0.036767       -1.54098e+09   9              
0.000137       -1.54098e+09   1              
0.037918       -1.54098e+09   2              
0.032954       -1.54098e+09   13             
0.03629        -1.54098e+09   4              
0.036168       -1.54098e+09   15             
0.03647        -1.54098e+09   8              
0.032265       -1.54098e+09   17             
0.036164       -1.54098e+09   14             
0.032547       -1.54098e+09   19             
0.032234       -1.54098e+09   16             
0.032628       -1.54098e+09   21             
0.0259         -1.54098e+09   38             
0.032706       -1.54098e+09   23             
0.022222       -1.54098e+09   40             
0.029022       -1.54098e+09   25             
0.022295       -1.54098e+09   42             
0.029092       -1.54098e+09   27             
0.022512       -1.54098e+09   44             
0.025527       -1.54098e+09   33             
0.022575       -1.54098e+09   46             
0.025809       -1.54098e+09   35             
0.018974       -1.54098e+09   52             
0.025869       -1.54098e+09   37             
0.019208       -1.54098e+09   56             
0.026168       -1.54098e+09   39             
0.015635       -1.54098e+09   62             
0.012284       -1.54098e+09   64             
0.022255       -1.54098e+09   41             
0.008364       -1.54098e+09   65             
0.022332       -1.54098e+09   43             
0.022544       -1.54098e+09   45             
0.02221        -1.54098e+09   49             
0.018936       -1.54098e+09   51             
0.01901        -1.54098e+09   53             
0.019177       -1.54098e+09   55             
0.019233       -1.54098e+09   57             
0.015519       -1.54098e+09   59             
0.015596       -1.54098e+09   61             
