TaskQLat.      PRRQLat.       TaksQlen       
5e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
5e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
6e-06          1e-06          1              
0.000133       0              1              
0.000186       0              3              
0.000122       0              1              
3e-06          0              1              
0.00012        0              1              
2e-06          0              1              
0.002116       0              2              
1.9e-05        1e-06          1              
0.039926       1e-06          1              
0.027932       0              1              
0.024021       0              2              
0.031954       0              1              
3e-06          0              1              
0.032219       0              1              
0.015952       0              1              
3e-06          1e-06          1              
0.019932       0              1              
3e-06          1e-06          1              
0.023935       0              2              
0.020003       0              3              
0.026466       0              1              
0.026968       1e-06          1              
0.003951       0              2              
0.039935       0              1              
0.007923       0              1              
2e-06          0              1              
0.027941       0              1              
0.007962       0              1              
3e-06          0              1              
0.008098       0              1              
0.003801       0              1              
0.006983       0              1              
0.023944       0              1              
0.023988       0              1              
4e-06          0              1              
0.00394        0              1              
0.003753       0              1              
0.005392       0              2              
4e-06          0              1              
0.019949       0              1              
4e-06          0              1              
0.00041        0              3              
0.023913       0              1              
0.019913       0              2              
0.016155       0              1              
0.001786       0              1              
0.015937       0              1              
0.023994       0              1              
0.019934       1e-06          1              
4e-06          0              1              
0.003636       0              1              
4e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.007933       0              1              
6e-06          0              1              
0.001663       0              1              
5e-06          0              1              
0.015928       0              1              
3e-06          0              1              
0.034631       0              1              
0.007773       0              1              
0.007406       0              2              
0.019945       0              1              
0.015967       0              2              
2e-06          0              1              
0.01248        0              1              
3e-06          0              1              
4e-06          0              1              
4e-06          0              1              
0.015929       0              1              
0.007873       0              1              
0.012258       0              1              
0.003903       0              1              
4e-06          0              1              
2e-06          0              1              
0.011527       0              1              
0.003781       0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
5e-06          0              1              
2e-06          0              1              
4e-06          0              1              
5e-06          0              1              
0.01587        0              1              
3e-06          0              1              
3e-06          0              1              
1e-06          0              1              
4e-06          0              1              
0.001735       0              1              
4e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
2e-06          0              1              
3e-06          0              1              
