Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        
-nan           1              -nan           1              -nan           1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              2.18998        2              0              1              
0              1              1.09499        2              0              1              
0              1              2.46372        2              0              1              
0              1              2.46372        2              0              1              
0              1              3.55871        2              0              1              
1.74691        1              4.24308        2              0              1              
3.49382        1              4.79058        2              0.0001252      1              
3.74338        1              6.02244        2              0.0008764      1              
4.99117        1              7.11743        2              0.00564738     1              
5.49028        1              8.34929        2              0.0600158      1              
6.23896        1              8.89678        2              0.110798       1              
0.20162        1              9.99177        2              0.143115       1              
0.241944       1              10.2655        2              0.170814       1              
0.282268       1              10.2655        2              0.212364       1              
0.30243        1              10.2655        2              0.295462       1              
0.30243        1              10.4024        2              0.360095       1              
0.30243        1              11.7711        2              0.369328       1              
0.322592       1              13.4136        2              0.373945       1              
0.352835       1              13.9611        2              0.410877       1              
0.40324        1              14.7823        2              0.420111       1              
0.453645       1              15.3298        2              0.438577       1              
