TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000407       0.000358       3.3e-05        0              0              
1.6e-05        1e-06          0              1.2e-05        1              
4.4e-05        0              3.5e-05        0              0              
1.3e-05        0              0              1.1e-05        1              
4.2e-05        0              3.3e-05        0              0              
1.2e-05        0              0              1e-05          1              
4.4e-05        0              3.7e-05        0              0              
2.4e-05        0              2.2e-05        0              0              
0.000133       0.000131       0              1e-06          1              
0.000122       0.000101       1.9e-05        0              0              
2e-05          0              1.8e-05        0              0              
2e-06          0              0              1e-06          1              
2e-05          0              1.9e-05        0              0              
2e-05          0              1.8e-05        0              0              
2.2e-05        0              1.9e-05        0              0              
0.000123       0.00012        0              1e-06          1              
0.000227       0.00019        3.5e-05        0              0              
4e-06          0              0              1e-06          1              
2.3e-05        0              2e-05          0              0              
2.1e-05        0              1.9e-05        0              0              
3.3e-05        0              0              3.1e-05        1              
3.5e-05        0              3.2e-05        0              0              
2.3e-05        0              2e-05          0              0              
0.000122       0.000118       0              2e-06          1              
0.000171       0.000151       1.8e-05        0              0              
2.2e-05        0              1.8e-05        0              0              
2e-05          0              1.8e-05        0              0              
2.2e-05        0              2e-05          0              0              
2.2e-05        0              2e-05          0              0              
0.000135       0.000116       1.7e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
1.8e-05        0              1.7e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
2e-05          0              1.8e-05        0              0              
0.000142       0.000122       1.9e-05        0              0              
2e-05          0              1.8e-05        0              0              
2.1e-05        0              1.9e-05        0              0              
2.1e-05        0              2e-05          0              0              
2e-05          0              1.8e-05        0              0              
0.000144       0.000125       1.8e-05        0              0              
2.4e-05        0              2e-05          0              0              
2.1e-05        0              1.9e-05        0              0              
2e-06          0              0              1e-06          1              
2.1e-05        0              2e-05          0              0              
0.001849       0              0.001815       0              0              
0.000341       0.000307       3e-05          0              0              
4e-06          0              0              2e-06          1              
3e-05          0              2.7e-05        0              0              
2.1e-05        0              1.9e-05        0              0              
5e-06          0              0              3e-06          1              
3.3e-05        0              3.1e-05        0              0              
2e-05          0              1.8e-05        0              0              
0.000199       0.00017        2.7e-05        0              0              
3e-05          0              2.7e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.7e-05        0              2.6e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
0.000285       0.000257       2.6e-05        0              0              
2.9e-05        0              2.7e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
0.003192       0.003171       2e-05          0              0              
2.1e-05        0              1.9e-05        0              0              
2e-05          0              1.8e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
1.9e-05        0              1.8e-05        0              0              
0.000246       0.000219       2.6e-05        0              0              
2.6e-05        1e-06          2.4e-05        0              0              
2.8e-05        0              2.6e-05        0              0              
2.7e-05        0              2.4e-05        0              0              
2.7e-05        0              2.6e-05        0              0              
0.000246       0.000218       2.6e-05        0              0              
2.9e-05        0              2.7e-05        0              0              
1.8e-05        0              1.7e-05        0              0              
1.9e-05        0              1.8e-05        0              0              
1.9e-05        0              1.8e-05        0              0              
0.000213       0.000187       2.5e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
2.8e-05        0              2.7e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
0.000239       0.00022        1.7e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
1.8e-05        1e-06          1.7e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
0.000263       0.000236       2.5e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
2.7e-05        0              2.5e-05        0              0              
0.00016        0.000141       1.7e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
1.8e-05        0              1.7e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
1.9e-05        0              1.8e-05        0              0              
0.000207       0.000181       2.5e-05        0              0              
2.4e-05        0              2.3e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
0.000122       0.000103       1.6e-05        0              0              
1.8e-05        0              1.7e-05        0              0              
1.8e-05        0              1.7e-05        0              0              
1.8e-05        0              1.7e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
0.000228       0.000201       2.6e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.6e-05        0              2.5e-05        0              0              
2.4e-05        0              2.3e-05        0              0              
0.000339       0              0.000336       0              0              
0.000275       0.000248       2.5e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
0.00766        0              0.007659       0              0              
3e-06          0              0              1e-06          1              
6e-06          1e-06          0              2e-06          1              
2e-06          0              0              1e-06          1              
5e-06          1e-06          0              2e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
5e-06          0              0              2e-06          1              
4e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              0              1              
5e-06          0              0              2e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
2e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
5e-06          0              0              2e-06          1              
5e-06          0              0              2e-06          1              
