getDevice      getProgram     runProgram     
0.000514       0.600154       0.105523       
0.000137       4.3e-05        3.59458        
2.30825        1.57618        25.4608        
3.27604        1.41595        25.5647        
3.42802        1.15605        26.8325        
2.08009        1.53585        26.8113        
3.74693        1.284          31.1384        
2.36401        1.71204        32.9203        
3.49203        1.88194        32.7722        
2.03605        1.61996        34.0541        
2.30802        1.57596        34.0157        
2.50405        2.224          32.9146        
3.7632         1.256          34.1815        
3.70604        1.42802        34.3777        
2.11215        1.14401        34.5491        
3.38398        2.15201        34.4294        
2.44004        1.15204        35.5776        
2.24802        1.61602        34.4748        
3.46402        1.42455        35.314         
2.39202        1.69198        35.6723        
2.21604        1.57595        34.6304        
3.72403        1.284          35.7944        
2.06403        1.59597        35.7625        
2.33621        1.17201        35.7593        
2.34402        1.24398        35.8265        
3.36396        1.392          36.0516        
2.396          1.29607        35.8915        
2.45602        2.1735         34.7279        
2.08807        1.16001        36.0965        
3.40798        1.28684        36.0292        
2.16402        1.45996        36.0413        
3.69754        1.58796        36.0614        
2.19606        1.94085        34.7312        
3.40804        2.78182        34.7722        
3.71603        1.64788        36.0379        
2.34407        1.92401        34.9501        
3.82291        2.22002        34.7982        
2.11599        1.7616         34.8006        
3.68802        2.36572        34.7822        
2.13607        2.29597        34.9866        
2.40802        2.42784        34.8108        
2.42003        1.30018        36.0376        
2.42806        1.52401        35.0231        
3.84           1.91647        34.8181        
2.3123         1.15201        36.2644        
3.368          1.46801        35.9215        
2.03606        1.288          36.2735        
3.49599        2.19788        34.9397        
3.57615        2.70596        34.9421        
3.82553        1.54002        35.121         
3.41594        1.33202        36.2132        
2.18808        2.30461        34.9396        
2.20002        1.94137        35.1216        
2.03208        1.28394        36.4706        
3.72474        1.21949        36.5734        
3.59237        0.728008       36.7544        
3.75603        1.42452        38.0939        
3.48004        2.068          37.1507        
3.48402        2.34425        36.8665        
3.40797        1.26003        38.2828        
3.80767        2.07603        37.1589        
3.7737         1.984          37.007         
3.70689        2.17546        36.8574        
3.32402        1.27602        38.3415        
2.38802        1.212          38.3489        
2.38002        2.20141        37.0784        
3.464          1.97723        37.0814        
2.32804        1.52           38.4333        
2.35205        1.65264        38.7123        
2.19602        1.73998        39.2819        
3.25608        1.65203        40.358         
2.26002        1.47221        40.3636        
3.77772        1.36403        40.2919        
3.45198        1.42475        40.2046        
2.36803        2.83712        39.2046        
2.20004        1.52402        40.1444        
3.68003        2.50403        41.3985        
2.05231        1.62812        42.675         
3.81793        1.94537        41.4803        
3.36802        1.66798        42.7334        
3.68127        0.710743       41.3188        
3.44898        1.97741        41.3723        
3.53607        2.22523        41.4366        
3.51602        2.10801        41.5778        
2.48405        1.57209        41.6565        
3.82983        1.66401        41.4286        
2.30002        2.02802        41.5646        
3.87206        2.11317        41.5059        
2.17202        2.78197        41.5157        
2.4841         2.20801        42.3353        
2.57602        1.74945        42.1991        
3.66803        2.61598        42.3686        
3.31604        1.396          43.4272        
2.14002        1.39265        43.2784        
3.31607        1.62826        42.1669        
3.36001        1.684          43.2057        
3.33212        2.19197        42.4443        
2.49603        2.43705        42.1396        
3.424          1.9451         42.1396        
0.032079       6.73995        42.0642        
3.376          1.52799        43.3803        
2.09602        2.17639        42.1639        
3.43605        2.39607        42.3883        
3.46003        1.57598        43.4885        
2.16403        2.15769        42.2758        
3.388          1.32401        43.5817        
2.35221        1.65193        43.5459        
3.88013        1.89601        42.4858        
2.37604        2.71597        42.4259        
3.86586        1.9701         42.1639        
2.42802        2.08004        42.49          
3.00803        1.67602        42.2324        
2.05603        1.63201        43.2809        
3.24003        2.11203        42.393         
2.52804        1.53611        42.4334        
3.3881         1.99322        42.2803        
0.032052       6.77181        42.0817        
3.25211        2.26006        42.2097        
