TaskQLat.      PRRQLat.       TaskQLen       
0.000351       1.40723e+14    1              
6e-06          -1.5409e+09    1              
7.3e-05        -1.5409e+09    3              
0.000188       -1.5409e+09    4              
0.000124       -1.5409e+09    3              
0.001691       -1.5409e+09    9              
0.000843       -1.5409e+09    4              
0.000979       -1.5409e+09    3              
0.000963       -1.5409e+09    3              
0.001393       -1.5409e+09    7              
0.001148       -1.5409e+09    5              
0.0004         -1.5409e+09    4              
0.001034       -1.5409e+09    4              
0.001232       -1.5409e+09    5              
0.001916       -1.5409e+09    6              
0.002125       -1.5409e+09    8              
0.000731       -1.5409e+09    1              
0.000973       -1.5409e+09    4              
0.000717       -1.5409e+09    3              
6e-06          -1.5409e+09    1              
0.001099       -1.5409e+09    5              
0.001308       -1.5409e+09    6              
0.000969       -1.5409e+09    5              
0.002074       -1.5409e+09    8              
0.002103       -1.5409e+09    7              
0.001936       -1.5409e+09    6              
0.000955       -1.5409e+09    3              
0.001303       -1.5409e+09    6              
0.001211       -1.5409e+09    5              
0.000151       -1.5409e+09    1              
2.7e-05        -1.5409e+09    1              
2e-05          -1.5409e+09    1              
0.000144       -1.5409e+09    2              
0.000802       -1.5409e+09    1              
2.5e-05        -1.5409e+09    1              
0.000935       -1.5409e+09    2              
0.001877       -1.5409e+09    6              
2.7e-05        -1.5409e+09    1              
0.001581       -1.5409e+09    28             
0.002          -1.5409e+09    7              
0.001592       -1.5409e+09    29             
0.005334       -1.5409e+09    30             
0.028703       -1.5409e+09    28             
2e-06          -1.5409e+09    1              
0.008341       -1.5409e+09    29             
0.013193       -1.5409e+09    31             
0.005476       -1.5409e+09    31             
0.013222       -1.5409e+09    32             
4e-06          -1.5409e+09    1              
0.028877       -1.5409e+09    30             
0.012071       -1.5409e+09    1              
0.036594       -1.5409e+09    28             
0.040339       -1.5409e+09    11             
0.027885       -1.5409e+09    26             
0.044208       -1.5409e+09    22             
0.008058       -1.5409e+09    8              
0.000218       -1.5409e+09    5              
0.012165       -1.5409e+09    3              
0.00812        -1.5409e+09    10             
0.032664       -1.5409e+09    27             
0.06417        -1.5409e+09    10             
0.072092       -1.5409e+09    8              
0.008231       -1.5409e+09    5              
0.020964       -1.5409e+09    27             
0.008264       -1.5409e+09    6              
0.013061       -1.5409e+09    30             
0.036526       -1.5409e+09    6              
0.044479       -1.5409e+09    17             
0.060025       -1.5409e+09    2              
0.068128       -1.5409e+09    7              
0.008091       -1.5409e+09    9              
0.072053       -1.5409e+09    5              
0.052032       -1.5409e+09    1              
0.092949       -1.5409e+09    28             
0.085046       -1.5409e+09    18             
0.092489       -1.5409e+09    21             
0.106265       -1.5409e+09    36             
0.093094       -1.5409e+09    12             
0.084899       -1.5409e+09    17             
0.092573       -1.5409e+09    25             
0.031989       -1.5409e+09    1              
0.088641       -1.5409e+09    22             
0.157222       -1.5409e+09    76             
0.128169       -1.5409e+09    65             
0.131158       -1.5409e+09    72             
0.132509       -1.5409e+09    74             
0.132099       -1.5409e+09    68             
0.116242       -1.5409e+09    77             
0.12908        -1.5409e+09    66             
0.157597       -1.5409e+09    79             
0.132292       -1.5409e+09    69             
0.154889       -1.5409e+09    83             
0.126194       -1.5409e+09    49             
0.129204       -1.5409e+09    67             
0.157196       -1.5409e+09    104            
0.117594       -1.5409e+09    65             
0.156337       -1.5409e+09    87             
0.160344       -1.5409e+09    100            
0.157723       -1.5409e+09    80             
0.155015       -1.5409e+09    84             
0.140376       -1.5409e+09    74             
0.154192       -1.5409e+09    95             
0.180368       -1.5409e+09    111            
0.153662       -1.5409e+09    91             
0.168349       -1.5409e+09    107            
0.160236       -1.5409e+09    99             
0.155026       -1.5409e+09    96             
0.161055       -1.5409e+09    103            
0.17656        -1.5409e+09    73             
0.136256       -1.5409e+09    68             
0.128159       -1.5409e+09    40             
0.120012       -1.5409e+09    77             
0.176082       -1.5409e+09    108            
0.156484       -1.5409e+09    88             
0.112082       -1.5409e+09    38             
0.132478       -1.5409e+09    73             
0.153784       -1.5409e+09    92             
0.160813       -1.5409e+09    101            
0.089081       -1.5409e+09    29             
0.130395       -1.5409e+09    61             
0.140086       -1.5409e+09    72             
0.084773       -1.5409e+09    16             
0.184183       -1.5409e+09    71             
0.130549       -1.5409e+09    73             
0.157338       -1.5409e+09    105            
0.128339       -1.5409e+09    69             
0.157937       -1.5409e+09    75             
0.109076       -1.5409e+09    33             
0.15514        -1.5409e+09    85             
0.088894       -1.5409e+09    24             
0.124749       -1.5409e+09    44             
0.129248       -1.5409e+09    58             
0.176226       -1.5409e+09    109            
0.157345       -1.5409e+09    77             
0.153929       -1.5409e+09    93             
0.156622       -1.5409e+09    89             
0.15862        -1.5409e+09    81             
0.12715        -1.5409e+09    50             
0.092345       -1.5409e+09    20             
0.106403       -1.5409e+09    37             
0.126772       -1.5409e+09    64             
0.130272       -1.5409e+09    60             
0.140231       -1.5409e+09    73             
0.092699       -1.5409e+09    26             
0.128194       -1.5409e+09    68             
0.123691       -1.5409e+09    54             
0.108664       -1.5409e+09    30             
0.108946       -1.5409e+09    32             
0.128998       -1.5409e+09    56             
0.12582        -1.5409e+09    46             
0.127755       -1.5409e+09    65             
0.272243       -1.5409e+09    72             
0.125512       -1.5409e+09    52             
0.18411        -1.5409e+09    70             
0.155132       -1.5409e+09    97             
0.132319       -1.5409e+09    70             
0.13263        -1.5409e+09    76             
0.265179       -1.5409e+09    75             
0.132449       -1.5409e+09    72             
0.272243       -1.5409e+09    72             
0.120061       -1.5409e+09    70             
0.125633       -1.5409e+09    53             
0.126526       -1.5409e+09    62             
0.116101       -1.5409e+09    71             
0.127896       -1.5409e+09    66             
0.136176       -1.5409e+09    66             
0.1092         -1.5409e+09    34             
0.125697       -1.5409e+09    45             
0.129123       -1.5409e+09    57             
0.128447       -1.5409e+09    42             
0.128303       -1.5409e+09    41             
0.121465       -1.5409e+09    69             
0.129238       -1.5409e+09    70             
0.341863       -1.5409e+09    62             
0.373434       -1.5409e+09    59             
0.436481       -1.5409e+09    82             
0.448337       -1.5409e+09    85             
0.144677       -1.5409e+09    76             
0.272352       -1.5409e+09    73             
0.436566       -1.5409e+09    83             
0.444389       -1.5409e+09    87             
0.273186       -1.5409e+09    78             
0.126069       -1.5409e+09    48             
0.357625       -1.5409e+09    57             
0.265319       -1.5409e+09    76             
0.460041       -1.5409e+09    79             
0.280037       -1.5409e+09    77             
0.381359       -1.5409e+09    56             
0.424681       -1.5409e+09    87             
0.401139       -1.5409e+09    82             
0.345833       -1.5409e+09    61             
0.412953       -1.5409e+09    78             
0.357649       -1.5409e+09    58             
0.26883        -1.5409e+09    72             
0.369514       -1.5409e+09    58             
0.276124       -1.5409e+09    74             
0.424661       -1.5409e+09    86             
0.397167       -1.5409e+09    83             
0.365573       -1.5409e+09    59             
0.3932         -1.5409e+09    73             
0.432598       -1.5409e+09    84             
0.385327       -1.5409e+09    63             
0.456102       -1.5409e+09    81             
0.430091       -1.5409e+09    132            
0.408984       -1.5409e+09    79             
0.592052       -1.5409e+09    66             
0.492636       -1.5409e+09    99             
0.574273       -1.5409e+09    78             
0.586023       -1.5409e+09    74             
0.45266        -1.5409e+09    123            
0.336762       -1.5409e+09    65             
0.601875       -1.5409e+09    70             
0.420108       -1.5409e+09    148            
0.589987       -1.5409e+09    73             
0.525186       -1.5409e+09    97             
0.409009       -1.5409e+09    80             
0.337895       -1.5409e+09    63             
0.444418       -1.5409e+09    88             
0.525308       -1.5409e+09    98             
0.415315       -1.5409e+09    139            
0.416387       -1.5409e+09    143            
0.467203       -1.5409e+09    116            
0.605724       -1.5409e+09    69             
0.441473       -1.5409e+09    127            
0.426543       -1.5409e+09    133            
0.353771       -1.5409e+09    59             
0.617615       -1.5409e+09    70             
0.566501       -1.5409e+09    81             
0.445367       -1.5409e+09    126            
0.515043       -1.5409e+09    92             
0.377389       -1.5409e+09    57             
0.532495       -1.5409e+09    94             
0.495774       -1.5409e+09    97             
0.536375       -1.5409e+09    93             
0.51642        -1.5409e+09    91             
0.543522       -1.5409e+09    89             
0.45642        -1.5409e+09    121            
0.559011       -1.5409e+09    85             
0.539993       -1.5409e+09    90             
0.555118       -1.5409e+09    86             
0.503303       -1.5409e+09    96             
0.420872       -1.5409e+09    75             
0.415128       -1.5409e+09    138            
0.470965       -1.5409e+09    114            
0.515023       -1.5409e+09    93             
0.566529       -1.5409e+09    82             
0.416525       -1.5409e+09    144            
0.625576       -1.5409e+09    69             
0.481669       -1.5409e+09    108            
0.574243       -1.5409e+09    77             
0.485328       -1.5409e+09    105            
0.478488       -1.5409e+09    110            
0.582169       -1.5409e+09    75             
0.448791       -1.5409e+09    124            
0.424132       -1.5409e+09    141            
0.597913       -1.5409e+09    71             
0.604034       -1.5409e+09    67             
0.524974       -1.5409e+09    171            
0.513386       -1.5409e+09    130            
0.416049       -1.5409e+09    150            
0.521446       -1.5409e+09    99             
0.422746       -1.5409e+09    135            
0.568388       -1.5409e+09    159            
0.584143       -1.5409e+09    153            
0.613651       -1.5409e+09    67             
0.540713       -1.5409e+09    167            
0.416662       -1.5409e+09    145            
0.566557       -1.5409e+09    83             
0.437615       -1.5409e+09    128            
0.552517       -1.5409e+09    163            
0.488841       -1.5409e+09    101            
0.536097       -1.5409e+09    91             
0.463338       -1.5409e+09    117            
0.551261       -1.5409e+09    87             
0.532932       -1.5409e+09    95             
0.503333       -1.5409e+09    95             
0.320508       -1.5409e+09    129            
0.324529       -1.5409e+09    126            
0.324262       -1.5409e+09    127            
0.312604       -1.5409e+09    125            
0.328097       -1.5409e+09    128            
0.416251       -1.5409e+09    149            
0.340273       -1.5409e+09    133            
0.570317       -1.5409e+09    79             
0.503438       -1.5409e+09    97             
0.552608       -1.5409e+09    164            
0.536746       -1.5409e+09    168            
0.328094       -1.5409e+09    128            
0.513354       -1.5409e+09    129            
0.33692        -1.5409e+09    130            
0.580203       -1.5409e+09    155            
0.57229        -1.5409e+09    158            
0.333283       -1.5409e+09    130            
0.528933       -1.5409e+09    170            
0.521013       -1.5409e+09    127            
0.564418       -1.5409e+09    160            
0.544682       -1.5409e+09    166            
0.588092       -1.5409e+09    152            
0.556484       -1.5409e+09    162            
0.398509       -1.5409e+09    172            
0.520322       -1.5409e+09    150            
0.416199       -1.5409e+09    142            
0.520578       -1.5409e+09    154            
0.516899       -1.5409e+09    159            
0.352185       -1.5409e+09    137            
0.51347        -1.5409e+09    168            
0.593241       -1.5409e+09    182            
0.344143       -1.5409e+09    132            
0.348093       -1.5409e+09    136            
0.316565       -1.5409e+09    131            
0.520289       -1.5409e+09    149            
0.348305       -1.5409e+09    138            
0.324454       -1.5409e+09    127            
0.517017       -1.5409e+09    162            
0.513391       -1.5409e+09    166            
0.328345       -1.5409e+09    126            
0.524036       -1.5409e+09    146            
0.516446       -1.5409e+09    174            
0.416101       -1.5409e+09    141            
0.58967        -1.5409e+09    185            
0.34044        -1.5409e+09    134            
0.333116       -1.5409e+09    129            
0.516862       -1.5409e+09    158            
0.513971       -1.5409e+09    170            
0.592438       -1.5409e+09    180            
0.58982        -1.5409e+09    186            
0.513429       -1.5409e+09    167            
0.592189       -1.5409e+09    177            
0.520542       -1.5409e+09    153            
0.412273       -1.5409e+09    144            
0.520506       -1.5409e+09    152            
0.513312       -1.5409e+09    164            
0.524237       -1.5409e+09    148            
0.520175       -1.5409e+09    172            
0.592145       -1.5409e+09    176            
0.516981       -1.5409e+09    161            
0.412304       -1.5409e+09    145            
