TaskQLat.      PRRQLat.       TaksQlen       
4e-06          1e-06          1              
2e-06          0              1              
1.21945        0              537            
1.13576        0              540            
1.39877        0              493            
1.14371        0              538            
1.17956        0              528            
1.42642        0              483            
1.18356        0              526            
1.28318        0              518            
1.24332        0              528            
1.34693        0              500            
1.16761        0              531            
1.23532        0              532            
1.2274         0              534            
1.21148        0              539            
1.2393         0              530            
1.33895        0              501            
1.53415        0              453            
1.09989        0              550            
1.10388        0              549            
1.18753        0              525            
1.0959         0              551            
1.21546        0              538            
1.52231        0              457            
1.37892        0              497            
1.24732        0              527            
1.45441        0              472            
1.20234        0              521            
1.08794        0              554            
1.32693        0              504            
1.42271        0              484            
1.15566        0              534            
1.51836        0              461            
1.45449        1e-06          471            
1.53813        0              452            
1.09193        0              553            
1.15167        0              535            
1.43858        0              478            
1.44657        0              475            
1.44278        0              476            
1.54207        0              451            
1.35084        0              499            
1.33495        0              502            
1.29116        0              515            
1.32301        0              505            
1.19551        0              522            
1.43451        0              482            
1.50225        0              464            
1.51837        0              460            
1.30309        0              511            
1.39486        0              494            
1.40672        0              490            
1.23932        0              529            
1.41061        0              489            
1.44262        0              477            
1.17958        0              527            
1.4144         0              488            
1.15964        0              533            
1.14767        0              537            
1.08396        0              555            
1.12379        0              543            
1.1756         0              529            
1.07996        0              556            
1.10787        0              548            
1.16364        0              532            
1.41465        0              487            
1.4384         0              479            
1.4186         0              486            
1.19152        0              523            
1.23533        0              531            
1.12775        0              542            
1.17161        0              530            
1.29115        0              516            
1.18754        0              524            
1.32299        0              506            
1.29679        0              562            
1.2792         0              519            
1.51032        0              463            
1.25995        0              557            
1.2553         1e-06          525            
1.27521        0              520            
1.30879        0              558            
1.30481        0              559            
1.25131        0              526            
1.29116        0              514            
1.30081        0              560            
1.27124        0              521            
1.29683        0              561            
1.48243        0              467            
1.44658        0              474            
1.77938        0              661            
2.16837        0              574            
1.64061        1e-06          686            
2.18028        1e-06          570            
1.795          0              657            
1.72009        0              671            
1.25072        0              467            
1.48587        0              721            
1.59279        0              698            
2.05328        0              591            
1.90205        0              630            
1.86614        0              637            
2.04531        0              593            
2.02932        0              595            
2.18899        0              566            
1.80696        0              654            
1.66858        0              682            
1.9976         0              604            
2.09313        0              589            
1.51762        0              716            
1.51764        0              715            
1.93779        1e-06          620            
1.7044         0              677            
1.67253        0              681            
1.64857        0              683            
1.62868        0              689            
1.64457        0              685            
1.54928        0              710            
1.81492        0              651            
1.55327        0              709            
1.56124        0              707            
1.82677        0              648            
1.58097        0              702            
1.55726        0              708            
1.92598        0              624            
1.81491        0              652            
1.45784        0              722            
1.44201        0              726            
1.43805        0              727            
1.48983        0              720            
1.45387        0              723            
1.24258        0              455            
1.8228         0              649            
1.8346         0              646            
2.00952        0              601            
1.84258        0              644            
1.43017        0              729            
2.10514        0              587            
2.11293        0              585            
2.16832        0              575            
2.04133        0              594            
1.98563        0              607            
1.94575        0              618            
1.85044        0              642            
1.80297        0              655            
2.00159        0              603            
1.799          0              656            
1.87412        0              635            
1.88208        0              633            
2.18905        0              565            
1.75579        0              666            
1.73991        0              668            
1.70836        0              676            
1.70437        0              678            
1.5097         0              718            
