TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000356       0.00031        3.4e-05        0              0              
1.8e-05        0              0              1.3e-05        1              
4.4e-05        0              3.9e-05        0              0              
4e-06          0              0              1e-06          1              
2.1e-05        1e-06          1.9e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
6.7e-05        4.7e-05        1.8e-05        0              0              
1.9e-05        0              1.8e-05        0              0              
2.1e-05        0              1.9e-05        0              0              
2.1e-05        0              1.9e-05        0              0              
2.1e-05        0              1.9e-05        0              0              
6.2e-05        4.3e-05        1.8e-05        0              0              
2.1e-05        0              1.9e-05        0              0              
2.2e-05        0              1.8e-05        0              0              
2.6e-05        0              1.9e-05        0              0              
2.1e-05        1e-06          1.8e-05        0              0              
7.7e-05        5.6e-05        1.8e-05        0              0              
2e-05          0              1.8e-05        0              0              
2e-05          0              1.9e-05        0              0              
2.1e-05        1e-06          1.9e-05        0              0              
2e-05          0              1.9e-05        0              0              
7.1e-05        5e-05          1.9e-05        0              0              
1.9e-05        0              1.8e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
2e-05          0              1.8e-05        0              0              
2e-05          0              1.8e-05        0              0              
0.000825       0.000722       9.4e-05        0              0              
0.0001         0              9.7e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
0.000725       0.00063        9.2e-05        0              0              
0.0001         0              9.7e-05        0              0              
0.0001         0              9.7e-05        0              0              
9.8e-05        1e-06          9.5e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
0.000732       0.000634       9.5e-05        0              0              
0.0001         0              9.7e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
0.000785       0.000677       0.000105       0              0              
0.0001         0              9.6e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
0.000747       0.000651       9.3e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
0.0001         1e-06          9.6e-05        0              0              
0.000736       0.000639       9.3e-05        0              0              
0.0001         0              9.7e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
0.000117       0              0.000114       0              0              
0.000742       0.000646       9.3e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
9.8e-05        0              9.5e-05        0              0              
0.000101       1e-06          9.8e-05        0              0              
0.000871       0.000775       9.2e-05        0              0              
0.000123       0              0.000118       0              0              
0.000119       0              0.000116       0              0              
0.000119       0              0.000116       0              0              
0.000118       0              0.000115       0              0              
0.000874       0.000777       9.3e-05        0              0              
0.0001         0              9.7e-05        0              0              
9.9e-05        0              9.6e-05        0              0              
0.0001         0              9.7e-05        0              0              
0.0001         0              9.7e-05        0              0              
0.000872       0.000777       9.2e-05        0              0              
0.0001         0              9.7e-05        0              0              
9.9e-05        0              9.5e-05        0              0              
0.012046       0              0.012042       0              0              
0.000117       0              0.000114       0              0              
0.000911       0.000826       0              8.1e-05        1              
0.023726       0.023643       0              8e-05          1              
0.00086        0.000775       0              8.1e-05        1              
0.000913       0.000829       0              8.1e-05        1              
0.005837       0.005739       9.4e-05        0              0              
8.6e-05        0              0              8.3e-05        1              
8.5e-05        0              0              8.2e-05        1              
8.4e-05        0              0              8.1e-05        1              
0.015041       0              0              0.015038       1              
0.000104       0              0              0.000101       1              
0.000118       0              0.000116       0              0              
0.003724       0              0.003721       0              0              
0.000102       0              0              9.9e-05        1              
0.003828       0              0              0.003825       1              
0.000103       0              0              0.0001         1              
0.000103       0              0              0.0001         1              
0.000104       0              0              0.000101       1              
0.000118       0              0.000115       0              0              
0.003431       0              0              0.003428       1              
1.6e-05        0              0              1.2e-05        1              
1e-05          0              0              8e-06          1              
8e-06          0              0              7e-06          1              
2.5e-05        0              2.3e-05        0              0              
0.000116       0.0001         0              1.4e-05        1              
0.000136       0.000111       2.3e-05        0              0              
1.5e-05        0              0              1.3e-05        1              
1.3e-05        0              0              1.2e-05        1              
1.3e-05        0              0              1.1e-05        1              
2.5e-05        0              2.4e-05        0              0              
1.3e-05        0              0              1.2e-05        1              
2.6e-05        0              2.5e-05        0              0              
2.6e-05        0              2.3e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
0.000137       0.000113       2.3e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
1.4e-05        0              0              1.2e-05        1              
2.5e-05        0              2.3e-05        0              0              
0.000135       0.000111       2.3e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
2.4e-05        0              2.2e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.5e-05        0              2.4e-05        0              0              
0.000136       0.000112       2.3e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.5e-05        0              2.3e-05        0              0              
2.6e-05        0              2.4e-05        0              0              
1.6e-05        0              0              1.4e-05        1              
2.7e-05        0              2.5e-05        0              0              
