getDevice      getProgram     runProgram     
0.000522       0.625335       0.011935       
0.000122       0.031945       0.259823       
0.014118       0.005253       0.283614       
0.00032        0.051731       0.2515         
0.000893       0.155829       0.219591       
0.360018       0.036005       0.263124       
0.052082       0.267999       0.725095       
0.588028       0.076006       0.341115       
0.588228       1.9e-05        0.493365       
0.508079       0.139938       0.444866       
0.412207       0.140012       0.432045       
0.372329       1.8e-05        0.610992       
0.772031       0.009163       0.364272       
0.835866       0.005222       0.367391       
0.660008       0.005202       0.374174       
0.598837       2.1e-05        0.635645       
0.584126       0.052943       0.645156       
0.543116       1.8e-05        0.906424       
0.323046       2.1e-05        0.909702       
0.543216       1.9e-05        0.912694       
0.560008       0.002733       0.916365       
0.552081       0.011238       0.918975       
0.367376       2e-05          0.922064       
0.432146       2.3e-05        0.920457       
0.34002        0.067908       0.931857       
0.372084       0.010605       0.932255       
0.755977       0.139802       0.722138       
0.62957        4.4e-05        0.823098       
0.841556       2.2e-05        0.915032       
0.457781       0.156494       1.0754         
0.404023       0.113387       1.11365        
0.600052       0.016151       1.13803        
0.612022       0.012185       1.14117        
0.596143       0.039947       1.14053        
0.599902       0.012072       1.1436         
0.547948       0.028085       1.15077        
0.596035       0.032085       1.15391        
0.604016       0.020129       1.15703        
0.833823       2.2e-05        0.94647        
0.587539       0.044474       1.16661        
0.736066       0.065322       0.959871       
0.755968       0.081309       0.963076       
0.667972       0.167995       0.951699       
0.772158       0.049294       0.966522       
0.800543       0.040624       0.972842       
0.80401        0.017191       0.975971       
0.804008       0.037224       0.979064       
0.644032       0.025138       0.982292       
0.865889       2.1e-05        0.98469        
0.713958       2e-05          0.987766       
0.588051       0.076973       0.989221       
0.764102       0.076015       0.97599        
0.724054       0.108019       0.964006       
0.764081       0.065012       1.02717        
0.732121       0.068025       1.01135        
0.756072       0.052936       1.03362        
0.808029       0.033255       1.04263        
0.768099       0.07602        1.02803        
0.811985       0.029277       1.04587        
0.552051       0.159965       1.03833        
0.528014       0.156021       1.04147        
0.732193       0.111785       1.03264        
0.512013       0.196005       1.04381        
0.58818        0.131878       1.01892        
0.528016       0.204243       0.997882       
0.576105       0.112049       1.01326        
0.70002        0.164178       1.02028        
0.635972       0.247988       1.01208        
0.740192       0.159819       1.00728        
0.524028       0.208213       1.01417        
0.75599        0.124067       1.02649        
0.624621       0.17199        1.07865        
0.484096       0.227957       1.01903        
0.763952       0.087987       1.0758         
0.700044       0.211986       1.03502        
0.848254       0.067794       0.990529       
0.77608        0.060991       1.09768        
0.552152       0.187862       1.02724        
0.288038       0.792023       0.359713       
0.532026       0.788278       0.368317       
0.776034       1.27998        0.567984       
0.904029       1.53204        0.47211        
0.348071       1.35199        0.535343       
0.328084       1.364          0.567431       
0.332059       1.368          0.583938       
0.216026       1.43595        0.73944        
0.932064       0.944058       0.767357       
0.416027       1.50801        0.754949       
0.360076       1.57994        0.754434       
0.952026       0.968015       0.753884       
0.920081       0.971965       0.769347       
0.916067       0.92432        0.824461       
0.924093       0.924048       0.819489       
0.932076       0.955958       0.795074       
0.968074       0.95995        0.770917       
0.423998       1.48002        0.821726       
0.38006        1.55612        0.805041       
0.372073       1.55997        0.808641       
1.15607        0.952023       0.563658       
0.384085       1.48794        0.870115       
1.14806        0.93598        0.594233       
0.344077       1.46397        0.984535       
0.844069       1.01994        0.852003       
1.14003        0.943997       0.610688       
0.364083       1.51199        1.03011        
0.392          1.64399        0.899518       
1.02004        1.00824        0.843444       
1.16407        0.955951       0.703237       
1.00808        1.0123         0.850348       
1.00806        1.00799        0.842031       
1.03607        1.0152         0.793614       
1.03203        0.916018       0.829097       
1.22806        0.791988       0.824391       
1.22007        0.799944       0.831903       
0.956062       1.10397        0.82735        
1.03604        0.936015       0.839088       
1.02002        0.976048       0.814516       
1.0319         0.964015       0.810034       
1.15207        0.916009       0.809467       
1.15202        0.912229       0.817917       
0.956065       1.11597        0.836925       
1.25206        0.803946       0.832141       
1.04006        1.00402        0.848542       
1.03602        0.99616        0.859731       
0.952076       0.951991       1.11988        
2.22808        0.148          0.703448       
2.22803        0.152035       0.695568       
2.03204        0.164033       0.691013       
2.20409        0.159935       0.694504       
2.20807        0.156011       0.693593       
2.24004        0.168023       0.685055       
2.10804        0.164027       0.705121       
2.05608        0.151952       0.701272       
1.32802        0.723999       1.06185        
1.16407        0.915955       1.06528        
1.26806        0.799954       1.07302        
1.14806        0.931977       1.06844        
0.960095       1.15596        1.09488        
2.26007        0.155996       0.759206       
1.99605        0.168026       0.925556       
2.45604        0.167978       0.718661       
2.32007        0.324014       0.714795       
2.27606        0.155962       1.01202        
2.372          0.396024       0.644064       
2.33608        0.151939       0.976137       
2.22807        0.13596        1.02015        
2.07603        0.156041       0.940194       
2.14802        0.319998       0.743998       
2.05608        0.21201        0.888186       
2.35603        0.391828       0.735983       
2.09207        0.151955       0.956443       
2.28802        0.308043       0.73248        
2.13204        0.312038       0.713597       
2.36807        0.308032       0.852368       
2.34803        0.339986       0.838575       
2.26006        0.163985       1.11608        
2.31204        0.176001       0.967964       
2.08806        0.151995       1.03194        
2.27604        0.172048       1.01992        
2.03607        0.14801        0.948229       
2.30003        0.300192       0.919804       
2.06403        0.204049       1.10811        
2.30807        0.324092       0.960725       
2.2961         0.15593        0.928001       
2.33604        0.344084       0.775881       
2.32803        0.327998       0.776002       
2.28007        0.148252       1.22263        
2.1481         0.155971       0.9377         
2.02807        0.159994       1.22974        
2.18807        0.568011       0.772178       
2.26407        0.156125       1.14384        
2.28408        0.327962       1.20514        
