getDevice      getProgram     runProgram     
4.1e-05        0.874064       0.10537        
0.000129       9.9e-05        4.23725        
3.30009        0.032011       1.18939        
3.25626        0.016875       1.18672        
3.29623        0.001613       1.19807        
3.14007        0.02622        1.20421        
3.37313        0.458925       0.870812       
4.36013        0.025642       1.37714        
4.19611        0.529233       0.909402       
3.46047        0.40215        0.902738       
3.23697        0.381787       1.8788         
4.44065        0.396062       1.86932        
4.40829        0.026012       16.5975        
3.23228        0.271962       40.8668        
3.31834        0.494185       40.5109        
4.31202        0.059982       47.2038        
4.33843        0.446431       46.8029        
4.36416        0.001581       50.9791        
4.30801        0.284161       53.4259        
4.44401        0.407404       52.9228        
4.69267        0.334294       52.9393        
3.46401        0.475023       52.9233        
4.3319         0.441325       53.245         
3.56801        0.353887       52.9886        
3.38177        0.386263       53.2545        
3.34407        0.39754        52.9891        
4.14004        0.29056        53.3522        
4.53586        0.372161       53.1029        
4.14805        0.364016       53.3308        
4.55478        0.415987       53.0909        
3.18803        0.437602       53.2372        
3.20406        0.464441       53.2266        
4.34405        0.322582       53.3525        
4.72825        0.36645        52.9245        
4.80079        0.373017       52.8901        
3.14403        0.010162       53.629         
3.28405        0.087982       53.6232        
4.38392        0.006177       53.629         
4.30407        0.292001       53.3871        
3.22806        0.076097       53.6232        
3.17607        0.231968       53.4751        
4.76108        0.268868       52.9894        
4.76804        0.381149       52.8903        
4.56008        0.412631       53.0187        
4.33215        0.36801        53.3434        
4.28834        0.367662       53.1196        
4.76798        0.26201        52.9896        
3.63608        0.348079       52.9075        
3.56801        0.486745       52.9249        
3.15605        0.08199        53.6298        
3.28401        0.356031       53.0919        
4.09206        0.272099       53.4238        
4.09605        0.414261       53.2456        
4.48456        0.604119       52.9159        
4.444          0.48291        52.9252        
4.532          0.370446       52.9417        
3.53203        0.429537       52.9906        
3.25605        0.069897       53.6306        
4.14804        0.069906       53.6321        
4.39604        0.022117       53.6322        
3.24806        0.324049       53.3502        
4.34802        0.404147       53.2503        
4.41764        0.310404       53.1226        
3.18815        0.529151       53.1293        
3.70806        0.366992       52.9437        
4.37204        0.384119       53.2787        
4.36505        0.235967       53.4669        
4.33204        0.532165       53.1628        
3.96004        0.077863       53.6332        
3.26805        0.360366       53.3587        
4.52004        0.334006       52.9932        
3.48638        0.42621        53.0992        
4.34401        0.528996       53.1303        
3.34007        0.412109       53.2511        
4.33607        0.079105       53.6322        
4.31596        0.073972       53.6334        
3.20406        0.419969       53.2794        
2.88402        0.443996       52.9514        
3.27207        0.424059       53.2354        
2.90424        0.3279         53.1115        
3.22803        0.357038       53.2946        
4.30803        0.042066       53.6336        
4.34794        0.042091       53.6335        
3.32803        0.001655       53.634         
3.288          0.203986       53.4477        
4.63219        0.425601       52.994         
4.588          0.503073       52.9127        
3.22829        0.267764       53.3919        
4.14001        0.077849       53.6341        
4.38417        0.392712       52.9954        
4.29602        0.073849       53.6344        
3.46432        0.432082       53.0078        
4.56399        0.356041       53.1043        
3.27605        0.45156        53.2368        
3.09137        0.461407       53.2317        
4.06005        0.06207        53.6345        
3.56405        0.451345       52.9133        
4.24407        0.268103       53.4285        
3.33228        0.227935       53.4325        
4.32082        0.654563       52.8661        
3.54963        0.387995       53.0471        
4.73199        0.379317       52.9134        
3.16408        0.24212        53.4746        
