getDevice      getProgram     runProgram     
5.4e-05        0.910004       0.000161       
0.000182       5.9e-05        0.000157       
9.8e-05        7.4e-05        0.001415       
0.000191       0.000112       0.001462       
0.000133       3.3e-05        0.00017        
0.001848       8e-05          0.001015       
0.000431       0.001047       0.005618       
0.001481       0.000183       0.154562       
0.001272       2.1e-05        0.164185       
0.076066       0.24798        0.000163       
0.100082       0.223999       0.000131       
0.104243       0.243826       0.000126       
0.100063       0.24817        0.000122       
0.08014        0.283926       0.004044       
0.096135       0.283935       0.000124       
0.168055       0.267966       0.060089       
0.177035       0.255024       0.064258       
0.192133       0.255891       0.044472       
0.166561       0.253539       0.06457        
0.148038       0.320009       0.036082       
0.160202       0.363856       0.000126       
0.176052       0.300041       0.184022       
0.192103       0.303923       0.209898       
0.384082       0.203938       0.12443        
0.588021       3.8e-05        0.11686        
0.384016       0.207999       0.118609       
0.572401       1.9e-05        0.118321       
0.360023       0.23197        0.114827       
0.348028       0.256          0.115025       
0.364009       0.239996       0.103149       
0.360013       0.212022       0.103419       
0.35605        0.251951       0.10037        
0.412203       0.124026       0.10046        
0.320133       0.303892       0.085044       
0.324011       0.303978       0.081152       
0.360015       0.287994       0.077345       
0.368011       0.288019       0.073467       
0.436143       0.096073       0.095963       
0.524154       0.038709       0.121873       
0.524263       0.026858       0.122009       
0.524249       0.030804       0.12197        
0.412366       0.022876       0.122081       
0.400254       0.03473        0.121949       
0.484007       0.103904       0.11852        
0.503998       0.054927       0.123511       
0.356016       0.232037       0.104119       
0.476181       0.042538       0.12377        
0.467971       0.103995       0.114929       
0.476106       0.100048       0.08097        
0.328017       0.319961       0.180084       
0.468162       0.13739        0.178831       
0.320018       0.288003       0.176389       
0.331997       0.320004       0.176491       
0.364013       0.208009       0.252586       
0.360012       0.204035       0.252669       
0.467989       0.144005       0.080891       
0.491984       0.140009       0.081113       
0.409821       0.098177       0.086777       
0.476021       0.111991       0.103259       
0.368018       0.108017       0.10333        
0.50798        0.124008       0.080791       
0.483974       0.100054       0.104194       
0.47998        0.104034       0.104          
0.416071       0.191955       0.088661       
0.488138       0.114172       0.086707       
0.372049       0.259999       0.088734       
0.368082       0.136018       0.081181       
0.376084       0.251926       0.229213       
0.320073       0.329309       0.226676       
0.548107       0.116062       0.163846       
0.584013       0.11597        0.128399       
0.544045       0.135969       0.128595       
0.686214       0.000109       0.162481       
0.572011       0.104026       0.128948       
0.600054       0.064688       0.164558       
0.464032       0.080901       0.164498       
0.653263       4e-05          0.164036       
0.66494        0.000273       0.16457        
0.771888       0.069216       0.168133       
0.669307       4.4e-05        0.167874       
0.598172       2.1e-05        0.174403       
0.452651       0.089195       0.174958       
0.751922       0.069838       0.175121       
0.755898       0.065868       0.185194       
0.712021       0.076498       0.186767       
0.736014       0.060001       0.179461       
0.763987       0.064013       0.179656       
0.635984       0.040009       0.181129       
0.508004       0.060031       0.186583       
0.716046       0.115956       0.190423       
0.615992       0.060006       0.190618       
0.636016       0.056006       0.211616       
0.700657       0.103379       0.211791       
0.600003       0.088032       0.217645       
0.63604        0.095977       0.21387        
0.604012       0.108023       0.210011       
0.779861       0.080077       0.210141       
0.512023       0.069623       0.235612       
0.540037       0.13599        0.19744        
0.524008       0.065657       0.23599        
0.592009       0.061676       0.236142       
0.665288       3e-05          0.23626        
0.669335       2.8e-05        0.236403       
0.665363       2.6e-05        0.23654        
0.803898       0.055999       0.228235       
0.65195        0.235948       0.200424       
0.572007       0.112021       0.200609       
0.712034       0.123997       0.197243       
0.728005       0.096098       0.193509       
0.52003        0.255995       0.189856       
0.496024       0.140002       0.190062       
0.747903       0.132036       0.190227       
0.588002       0.136038       0.190392       
0.752067       0.095947       0.190596       
0.552011       0.116366       0.190463       
0.752439       0.151679       0.297932       
0.732524       0.151593       0.298006       
0.755997       0.127998       0.304777       
0.595254       0.147908       0.303913       
0.764012       0.124062       0.304028       
0.8319         0.056107       0.304111       
0.520074       0.268193       0.310378       
0.716587       0.02038        0.309789       
0.707968       0.180013       0.310857       
0.52002        0.128025       0.311487       
0.692139       0.044067       0.299516       
0.755952       0.168091       0.295901       
0.51214        0.123889       0.295838       
0.468018       0.100056       0.624176       
0.703991       0.076001       0.705522       
0.600018       0.120006       0.839602       
0.292025       1.508          0.249621       
0.204026       1.63203        0.747927       
1.14407        0.947938       0.383298       
1.15206        0.920105       0.397617       
0.960072       1.15199        0.425296       
1.10803        0.984077       0.439908       
1.15603        0.940032       0.445031       
1.16003        0.959988       0.463043       
1.16803        0.916026       0.463299       
1.55204        0.527977       0.483656       
1.26407        0.823958       0.483807       
1.06808        1.02397        0.484005       
1.30007        0.799995       0.484183       
1.06004        1.03207        0.48587        
0.403904       1.47239        0.887211       
0.392032       1.48399        0.883778       
0.356033       1.53199        0.883921       
0.944074       0.908594       0.886827       
0.916077       0.928636       0.886935       
0.364043       1.50398        0.883772       
0.3641         1.55193        0.875904       
0.34408        1.548          0.876166       
0.404025       1.48399        0.872449       
1.48005        0.607967       0.584571       
1.22407        0.903944       0.584675       
0.415998       1.48399        0.865079       
0.932025       0.931985       0.86523        
0.928118       0.951917       0.865351       
0.932028       0.939989       0.850211       
0.936032       0.959982       0.850363       
0.948029       0.936049       0.850445       
0.36403        1.56798        0.843334       
0.376087       1.54797        0.843446       
0.960078       0.955937       0.835637       
0.928032       0.971984       0.829089       
1.52003        0.53599        0.588491       
1.17607        0.927995       0.589361       
1.09206        1.03196        0.599416       
1.15606        0.952081       0.615213       
1.17207        0.94014        0.615394       
1.16006        0.944198       0.615517       
1.01608        1.16399        0.634254       
0.948039       0.976025       0.892797       
0.416085       1.60794        0.85737        
0.379274       1.64399        0.857501       
0.384033       1.64799        0.84176        
0.404083       1.61599        0.841878       
0.384029       1.65205        0.838022       
0.404068       1.61599        0.83419        
0.392034       1.64398        0.830386       
0.388077       1.65597        0.822506       
1.02007        1.00039        0.805965       
1.12011        0.904687       0.811309       
1.09602        0.900879       0.811357       
1.01603        1.01603        0.804352       
1.02806        1.00409        0.800403       
1.22408        0.788124       0.800493       
1.02407        0.996195       0.800582       
1.22008        0.799976       0.792928       
1.02407        1.00804        0.793017       
1.48006        0.468014       0.789288       
1.03603        1.01195        0.777577       
1.22003        0.796054       0.77769        
1.20807        0.795943       0.773917       
1.20807        0.799958       0.77405        
1.22806        0.788078       0.774082       
1.21603        0.795991       0.770349       
1.21202        0.799989       0.77048        
1.22406        0.783955       0.766703       
1.63203        0.372003       0.766786       
1.62808        0.379939       0.762966       
1.30403        0.707978       0.763111       
1.62807        0.375969       0.763241       
1.62807        0.371988       0.763368       
1.62765        0.368005       0.763491       
1.63207        0.367943       0.759696       
1.23599        0.815991       0.759831       
