TaskQLat.      PRRQLat.       TaskQLen       
0.000351       1.40735e+14    1              
TaskQLat.      PRRQLat.       TaskQLen       
5e-06          -1.54083e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
4e-06          -1.54083e+09   1              
4e-06          -1.54083e+09   1              
3e-06          -1.54083e+09   1              
2e-06          -1.54083e+09   1              
3e-06          -1.54083e+09   1              
5e-05          -1.54083e+09   1              
2e-06          -1.54083e+09   1              
3e-06          -1.54083e+09   1              
6.6e-05        -1.54083e+09   1              
0.000639       -1.54083e+09   5              
0.000263       -1.54083e+09   9              
3.6e-05        -1.54083e+09   1              
0.001288       -1.54083e+09   15             
0.001202       -1.54083e+09   17             
0.004022       -1.54083e+09   3              
0.004051       -1.54083e+09   4              
0.004651       -1.54083e+09   15             
0.008148       -1.54083e+09   9              
0.00829        -1.54083e+09   11             
0.004787       -1.54083e+09   17             
0.004719       -1.54083e+09   16             
0.082539       -1.54083e+09   80             
0.091688       -1.54083e+09   29             
0.093585       -1.54083e+09   19             
0.093862       -1.54083e+09   22             
0.08701        -1.54083e+09   53             
0.088822       -1.54083e+09   42             
0.000571       -1.54083e+09   7              
0.092049       -1.54083e+09   33             
0.082893       -1.54083e+09   84             
0.088618       -1.54083e+09   40             
0.080868       -1.54083e+09   75             
0.080732       -1.54083e+09   73             
0.083872       -1.54083e+09   63             
0.096467       -1.54083e+09   6              
0.09688        -1.54083e+09   11             
0.000507       -1.54083e+09   6              
0.085043       -1.54083e+09   45             
0.0808         -1.54083e+09   74             
7.6e-05        -1.54083e+09   2              
0.096749       -1.54083e+09   9              
0.083589       -1.54083e+09   60             
0.21858        -1.54083e+09   154            
0.085538       -1.54083e+09   51             
0.082609       -1.54083e+09   81             
0.095992       -1.54083e+09   95             
0.093451       -1.54083e+09   17             
0.091757       -1.54083e+09   30             
0.229411       -1.54083e+09   129            
0.082326       -1.54083e+09   77             
0.207334       -1.54083e+09   171            
0.09633        -1.54083e+09   4              
0.083938       -1.54083e+09   64             
0.199432       -1.54083e+09   174            
0.195523       -1.54083e+09   176            
0.137377       -1.54083e+09   124            
0.229233       -1.54083e+09   124            
0.144736       -1.54083e+09   112            
0.168375       -1.54083e+09   104            
0.191618       -1.54083e+09   180            
0.079678       -1.54083e+09   93             
0.137287       -1.54083e+09   122            
0.137404       -1.54083e+09   125            
0.17232        -1.54083e+09   131            
0.093245       -1.54083e+09   15             
0.156531       -1.54083e+09   107            
0.23649        -1.54083e+09   110            
0.241049       -1.54083e+09   199            
0.141089       -1.54083e+09   117            
0.215183       -1.54083e+09   166            
0.176173       -1.54083e+09   159            
0.21513        -1.54083e+09   164            
0.225505       -1.54083e+09   132            
0.141232       -1.54083e+09   121            
0.244076       -1.54083e+09   98             
0.240334       -1.54083e+09   106            
0.152555       -1.54083e+09   107            
0.276478       -1.54083e+09   133            
0.21478        -1.54083e+09   225            
0.214696       -1.54083e+09   158            
0.195499       -1.54083e+09   175            
0.000215       -1.54083e+09   3              
0.168872       -1.54083e+09   283            
0.222246       -1.54083e+09   146            
0.22218        -1.54083e+09   143            
0.200417       -1.54083e+09   247            
0.092119       -1.54083e+09   34             
0.254994       -1.54083e+09   164            
0.222202       -1.54083e+09   144            
0.254026       -1.54083e+09   160            
0.200337       -1.54083e+09   244            
0.244036       -1.54083e+09   97             
0.222486       -1.54083e+09   217            
0.083656       -1.54083e+09   61             
0.196512       -1.54083e+09   249            
0.088421       -1.54083e+09   37             
0.085335       -1.54083e+09   48             
0.090096       -1.54083e+09   24             
0.164727       -1.54083e+09   178            
0.080941       -1.54083e+09   76             
0.087078       -1.54083e+09   54             
0.253912       -1.54083e+09   157            
0.145          -1.54083e+09   114            
0.141178       -1.54083e+09   119            
0.225569       -1.54083e+09   133            
0.141062       -1.54083e+09   116            
0.261638       -1.54083e+09   148            
0.215258       -1.54083e+09   157            
3e-06          -1.54083e+09   1              
0.148651       -1.54083e+09   109            
0.269333       -1.54083e+09   140            
0.244695       -1.54083e+09   188            
0.233194       -1.54083e+09   123            
0.175386       -1.54083e+09   182            
0.168614       -1.54083e+09   174            
0.211313       -1.54083e+09   169            
0.203404       -1.54083e+09   173            
0.164789       -1.54083e+09   179            
0.172449       -1.54083e+09   170            
0.17648        -1.54083e+09   271            
0.280691       -1.54083e+09   190            
0.276362       -1.54083e+09   130            
0.269381       -1.54083e+09   142            
0.255022       -1.54083e+09   165            
0.243669       -1.54083e+09   184            
0.284615       -1.54083e+09   189            
0.175706       -1.54083e+09   274            
0.176168       -1.54083e+09   200            
0.272898       -1.54083e+09   193            
0.240965       -1.54083e+09   197            
0.255051       -1.54083e+09   166            
0.257818       -1.54083e+09   154            
0.176503       -1.54083e+09   272            
0.207156       -1.54083e+09   236            
0.225485       -1.54083e+09   212            
0.276498       -1.54083e+09   134            
0.251335       -1.54083e+09   174            
0.292261       -1.54083e+09   185            
0.236173       -1.54083e+09   204            
0.168791       -1.54083e+09   280            
0.176232       -1.54083e+09   201            
0.226416       -1.54083e+09   214            
0.21866        -1.54083e+09   222            
0.214833       -1.54083e+09   227            
0.211009       -1.54083e+09   232            
0.247494       -1.54083e+09   179            
0.082471       -1.54083e+09   79             
0.164408       -1.54083e+09   105            
0.092003       -1.54083e+09   36             
0.079401       -1.54083e+09   90             
0.244666       -1.54083e+09   187            
0.276808       -1.54083e+09   192            
0.210982       -1.54083e+09   231            
0.225434       -1.54083e+09   210            
0.243756       -1.54083e+09   186            
0.096263       -1.54083e+09   3              
0.254077       -1.54083e+09   162            
0.229312       -1.54083e+09   127            
0.254051       -1.54083e+09   161            
0.236463       -1.54083e+09   109            
0.183974       -1.54083e+09   185            
0.218582       -1.54083e+09   219            
0.093311       -1.54083e+09   16             
0.001427       -1.54083e+09   17             
0.233285       -1.54083e+09   206            
0.093177       -1.54083e+09   14             
0.236516       -1.54083e+09   111            
0.24113        -1.54083e+09   202            
0.000362       -1.54083e+09   4              
0.225595       -1.54083e+09   134            
0.246709       -1.54083e+09   182            
0.192241       -1.54083e+09   264            
0.236605       -1.54083e+09   113            
0.222463       -1.54083e+09   216            
0.225461       -1.54083e+09   211            
0.265521       -1.54083e+09   145            
0.229315       -1.54083e+09   207            
0.261576       -1.54083e+09   147            
0.168844       -1.54083e+09   282            
0.214856       -1.54083e+09   228            
0.210931       -1.54083e+09   229            
0.247574       -1.54083e+09   181            
0.284475       -1.54083e+09   188            
0.083523       -1.54083e+09   59             
0.244807       -1.54083e+09   191            
0.240933       -1.54083e+09   196            
0.183947       -1.54083e+09   184            
0.192102       -1.54083e+09   260            
0.088485       -1.54083e+09   38             
0.176146       -1.54083e+09   158            
0.241103       -1.54083e+09   201            
0.215207       -1.54083e+09   167            
0.177853       -1.54083e+09   238            
0.241076       -1.54083e+09   200            
0.176188       -1.54083e+09   200            
0.179491       -1.54083e+09   267            
