TaskQLat.      PRRQLat.       TaksQlen       
4e-06          2e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
1.8e-05        1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
9e-06          2e-06          1              
7.1e-05        0              1              
2.5e-05        0              1              
4.6e-05        0              1              
8.2e-05        0              2              
3e-06          0              1              
4.5e-05        0              1              
8.2e-05        0              2              
0.005224       1e-06          5              
1e-06          0              1              
3.7e-05        0              2              
0.003964       0              3              
0.007858       0              3              
0.007837       0              3              
0.244053       0              100            
0.222278       0              148            
0.191596       0              181            
0.183765       0              186            
0.187862       0              183            
0.207246       0              172            
0.195439       0              178            
0.24386        0              194            
0.242346       0              195            
0.251366       0              176            
0.226306       0              215            
0.261588       0              149            
0.176306       0              204            
0.172559       0              173            
0.25497        0              169            
0.207367       0              217            
0.203425       0              218            
0.067885       1e-06          56             
0.199456       0              220            
0.042514       0              65             
0.038598       0              66             
0.010583       0              71             
0.034617       0              67             
0.03063        0              68             
0.002716       0              17             
0.026644       0              69             
2e-06          0              1              
0.022656       0              70             
0.052442       0              60             
3e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.010595       0              72             
2e-06          1e-06          1              
0.092097       0              43             
0.19557        0              221            
3e-06          0              1              
1.9e-05        0              2              
1e-06          0              1              
1e-06          0              1              
2e-06          0              1              
0.088318       0              44             
0.21508        0              212            
0.238831       0              207            
0.219026       0              211            
0.211266       0              215            
0.084574       0              46             
0.183775       0              223            
0.081843       0              48             
0.078099       0              50             
0.203471       1e-06          219            
0.074358       0              52             
0.092066       0              42             
0.215145       0              214            
0.147841       0              92             
0.21513        0              213            
0.070492       0              53             
0.05568        0              58             
0.254369       0              201            
0.004451       0              1              
0.250584       0              203            
0.028057       0              4              
0.032013       0              3              
0.020092       0              6              
0.016077       0              7              
0.012113       0              8              
0.070613       0              54             
0.035928       0              1              
0.088437       0              45             
0.048582       0              61             
0.085642       0              47             
0.046162       0              62             
0.008137       0              9              
0.081907       0              49             
0.226878       0              208            
0.078169       0              51             
0.223018       0              210            
0.024063       0              5              
0.246697       0              205            
0.067764       0              55             
0.046274       0              63             
0.254332       0              200            
0.211315       0              216            
0.242789       0              206            
0.064063       0              57             
0.031995       0              2              
0.052325       0              59             
0.116038       1e-06          14             
0.076459       0              39             
0.064662       0              52             
0.052904       1e-06          68             
0.052917       0              69             
0.080372       0              33             
0.076447       0              35             
0.060766       0              58             
0.064648       0              50             
0.025117       0              86             
0.040497       0              79             
0.009142       0              88             
0.017149       0              87             
0.005176       0              89             
0.005188       0              90             
0.000248       0              20             
0.068598       0              48             
0.037053       0              81             
0.033095       0              84             
0.048983       0              73             
0.045015       0              75             
0.064687       0              54             
0.029076       0              85             
3e-06          0              1              
1.1e-05        0              1              
0.068589       0              47             
0.064651       0              51             
3e-06          0              1              
0.060789       1e-06          60             
1.7e-05        0              2              
2e-06          0              1              
3e-06          0              1              
4e-06          0              1              
0.087694       0              27             
2e-06          0              1              
0.068608       0              49             
0.064692       0              55             
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.168045       0              6              
0.052937       0              71             
0.056833       0              63             
0.0331         1e-06          83             
0.052927       0              70             
0.076459       0              38             
0.148081       0              10             
0.048983       0              74             
0.104163       0              18             
0.14413        0              11             
0.180051       0              5              
0.152097       0              9              
0.060778       0              59             
0.041012       0              77             
0.07254        0              42             
0.087687       0              28             
0.083594       0              30             
0.076476       0              40             
0.056816       0              62             
0.03705        0              80             
0.048968       0              72             
0.056862       0              66             
0.088064       0              23             
0.076459       0              36             
0.100198       0              19             
0.080364       0              32             
0.07253        0              41             
0.068581       0              46             
0.096222       0              20             
0.088093       0              21             
0.187969       0              3              
0.064675       0              53             
0.072533       0              44             
0.088066       0              24             
0.112167       0              15             
0.041018       0              76             
0.156053       0              8              
0.056846       0              64             
0.068583       0              45             
0.195995       0              2              
0.080377       0              31             
0.037011       0              82             
0.072549       0              43             
0.076453       0              37             
0.056874       0              67             
0.16399        0              7              
0.064703       0              56             
0.184019       0              4              
0.087884       0              25             
0.087726       0              26             
0.060792       0              61             
0.112164       0              16             
0.080284       0              34             
0.05685        0              65             
0.056087       0              2              
0.136151       0              13             
0.199924       0              1              
0.140088       0              12             
0.019577       0              7              
0.088092       0              22             
0.112037       1e-06          17             
0.031995       0              4              
0.040909       0              78             
0.084346       0              29             
0.031906       1e-06          5              
0.028153       0              6              
0.060064       0              1              
0.787361       0              164            
0.785797       0              175            
1.27587        0              365            
1.39262        0              317            
1.31603        0              340            
1.29892        0              357            
1.31009        0              348            
1.41981        1e-06          307            
1.42754        0              304            
1.31371        0              344            
1.45763        0              305            
1.30634        0              351            
1.43973        0              423            
1.44762        0              421            
1.48881        0              371            
1.45137        0              419            
0.914803       0              373            
0.899178       0              380            
0.912072       0              371            
1.46262        0              409            
1.49249        0              368            
1.49642        0              367            
0.903005       0              377            
1.43184        0              425            
1.42396        6e-06          427            
0.899124       0              378            
1.4201         0              429            
0.912081       0              372            
0.976019       0              370            
0.891381       0              383            
0.910911       0              374            
0.906973       0              376            
0.887529       0              386            
0.895289       0              382            
1.47566        0              392            
1.47202        0              396            
1.47904        0              385            
1.46262        0              410            
0.910916       0              375            
0.891431       0              385            
1.41764        0              431            
0.887534       0              387            
1.47905        0              386            
0.895275       0              381            
0.899171       0              379            
0.88359        0              388            
0.891418       0              384            
1.48881        0              372            
1.48523        0              377            
1.4551         0              416            
1.44763        0              422            
1.47557        0              391            
1.47544        0              390            
1.43974        0              424            
1.46257        0              408            
1.46619        0              404            
1.01219        0              394            
1.00822        0              396            
1.00023        0              397            
0.90465        0              300            
0.900851       0              302            
1.00825        0              395            
0.996263       0              398            
0.992273       0              399            
0.778324       0              328            
0.984297       0              401            
0.782259       0              327            
0.988275       0              400            
0.447469       0              264            
0.885205       0              308            
0.766442       0              330            
0.900829       0              301            
0.976354       0              402            
0.762535       0              331            
0.758695       0              335            
0.762593       0              333            
0.754807       0              337            
0.750911       0              339            
0.754792       0              336            
0.758678       0              334            
1.05993        0              389            
0.738962       0              340            
0.327709       0              186            
0.331613       0              185            
0.659284       0              346            
0.327731       0              187            
0.323838       0              189            
0.319997       0              192            
0.841467       0              311            
0.316095       0              194            
0.762581       0              332            
0.323821       0              188            
0.316123       0              193            
0.319958       0              190            
0.312137       0              195            
0.951669       0              321            
0.916533       0              298            
0.9126         0              299            
0.292201       0              196            
0.471395       0              263            
1.04805        0              391            
0.845317       0              308            
0.89305        0              305            
0.750888       0              338            
0.841483       0              312            
0.319979       0              191            
0.908656       1e-06          300            
0.727          0              341            
0.83369        0              315            
0.71506        0              342            
0.699156       0              344            
0.84527        0              307            
0.825845       0              319            
0.635356       0              261            
0.837591       0              314            
1.05596        0              390            
0.881257       0              309            
0.84532        0              309            
0.833701       0              316            
0.8179         0              320            
1.04409        0              392            
0.896999       0              304            
0.837588       0              313            
0.889098       0              306            
0.829783       1e-06          317            
0.798158       0              324            
0.841424       0              310            
0.829791       0              318            
0.407542       0              183            
0.703102       0              343            
0.900861       0              303            
0.679206       0              345            
0.904706       0              301            
0.479385       0              262            
0.774387       0              329            
0.790222       0              326            
0.399608       1e-06          184            
0.813944       0              321            
0.889083       0              307            
0.810017       0              322            
0.798174       0              325            
0.802077       0              323            
1.01613        0              393            
0.124006       0              2              
0.12011        0              3              
0.123963       0              1              
0.120156       0              5              
0.120154       0              4              
0.108278       0              7              
0.104325       0              8              
0.10826        0              6              
0.092383       0              9              
0.080432       0              10             
0.072529       0              12             
0.064634       0              14             
0.068585       0              13             
0.072508       0              11             
0.040844       0              18             
0.056707       0              16             
0.048797       0              17             
0.056714       0              15             
0.036891       0              19             
0.025088       0              23             
0.025082       0              22             
0.021113       0              24             
0.01724        0              26             
0.013267       0              27             
0.028972       0              20             
0.02898        0              21             
0.017239       0              25             
0.181105       0              22             
0.165215       0              24             
0.145469       0              29             
0.149305       0              27             
0.16126        0              25             
0.145485       0              30             
0.145423       0              28             
0.125461       0              33             
0.121735       0              35             
0.303967       0              1              
0.304063       0              3              
0.28439        0              9              
0.30018        0              5              
0.280539       0              11             
0.272586       0              12             
0.117839       0              36             
0.117886       0              37             
0.292356       0              7              
0.125635       0              32             
0.121732       0              34             
0.117887       0              38             
0.110055       0              41             
0.300171       0              4              
0.304051       0              2              
0.264617       0              13             
0.129583       0              31             
0.098188       0              43             
0.094231       1e-06          45             
0.098197       0              44             
0.110043       0              40             
0.070452       0              49             
0.248687       0              14             
0.082286       0              46             
0.074336       0              47             
0.066505       0              50             
0.070447       0              48             
0.192835       0              18             
0.026601       1e-06          52             
0.173118       0              23             
0.185008       0              21             
0.157292       0              26             
0.296095       0              6              
0.196746       1e-06          16             
0.042554       0              51             
0.280505       0              10             
0.192832       0              17             
0.188955       0              19             
0.196704       0              15             
0.188999       0              20             
0.106103       0              42             
0.292337       0              8              
0.115902       0              39             
0.048253       0              86             
0.009202       0              97             
0.001589       0              118            
0.001533       0              119            
0.001545       0              120            
0.001556       0              121            
0.001571       0              122            
0.001583       0              123            
0.001595       0              124            
0.001609       0              125            
0.001606       0              125            
0.001624       0              126            
0.001635       0              127            
0.001649       0              128            
0.001666       0              129            
0.00168        0              130            
0.000199       0              12             
0.000227       0              13             
0.067639       0              6              
0.067461       0              10             
0.000245       0              14             
0.065203       0              26             
0.064793       0              16             
0.061866       0              38             
0.058357       0              47             
0.058263       0              45             
0.055114       0              62             
0.055268       0              69             
0.051423       0              71             
0.067801       0              3              
0.051667       0              76             
0.048548       0              92             
0.065083       0              22             
0.048499       0              91             
0.067236       0              14             
0.044967       0              100            
0.058121       1e-06          42             
0.038387       0              128            
0.06475        0              15             
0.041959       0              120            
0.054924       0              58             
0.058675       0              55             
0.03881        0              137            
0.067638       1e-06          8              
0.051572       1e-06          74             
0.061591       0              32             
0.035195       0              144            
0.058217       0              44             
0.055127       0              63             
0.024269       0              241            
0.032026       1e-06          192            
0.032131       0              210            
0.051714       0              77             
0.048446       0              90             
0.038721       0              135            
0.028641       0              171            
0.03206        0              197            
0.048299       0              87             
0.035479       0              150            
0.035152       0              143            
0.045205       0              105            
0.03599        0              195            
0.024331       0              229            
0.028834       0              175            
0.032128       0              211            
0.02069        0              247            
0.032133       0              205            
0.013015       0              114            
0.016863       0              180            
0.024323       0              228            
0.024337       0              230            
0.009244       0              101            
0.009227       0              99             
0.005432       0              115            
0.005423       0              114            
0.009174       0              92             
0.064839       0              17             
0.061545       0              31             
0.058683       0              54             
0.028689       0              172            
0.032075       0              199            
0.016871       0              181            
0.028092       1e-06          227            
0.009235       0              100            
0.048348       0              88             
0.03853        0              131            
0.020686       0              246            
0.061772       0              36             
0.009161       0              91             
0.067367       0              12             
0.065129       0              23             
0.06135        0              27             
0.058171       0              43             
0.065218       0              25             
0.061638       0              33             
0.051893       0              81             
0.005356       0              106            
0.061911       0              39             
0.065035       0              21             
0.051761       0              78             
0.058586       0              52             
0.061452       0              29             
0.005403       0              111            
0.020685       0              244            
0.061499       0              30             
0.045441       0              110            
0.028253       0              213            
0.032113       0              203            
0.031956       0              159            
0.054973       0              59             
0.028288       0              217            
0.013          0              111            
0.009214       0              96             
0.02434        0              240            
0.024345       0              231            
0.032086       0              200            
0.055217       0              68             
0.013061       0              119            
0.016893       0              183            
0.048685       0              95             
0.055155       0              66             
0.032143       0              206            
0.035912       0              196            
0.016903       0              184            
0.02431        0              236            
0.06769        0              5              
0.013074       0              121            
0.005385       0              109            
0.028258       0              214            
0.00544        0              116            
0.009261       0              103            
0.04218        0              126            
0.028357       0              225            
0.052053       0              83             
0.016922       0              186            
0.009217       0              98             
0.000218       0              13             
0.013032       0              116            
0.024271       0              233            
0.064934       0              19             
0.058539       0              51             
0.054875       0              57             
0.016846       0              178            
0.028309       0              226            
0.061818       0              37             
0.051797       0              79             
0.005346       0              117            
0.058636       0              53             
0.005344       0              105            
0.038765       0              136            
0.032096       0              201            
0.013041       0              117            
0.016881       0              182            
0.063875       0              1              
0.032163       0              209            
0.013006       0              113            
0.061401       0              28             
0.067294       1e-06          13             
0.024298       0              235            
0.05147        0              72             
0.02534        0              184            
0.024319       0              237            
0.005414       0              113            
0.061683       0              34             
0.028929       0              177            
0.032398       0              167            
0.028297       0              219            
0.067722       0              4              
0.04864        0              94             
0.045487       0              111            
0.045485       0              112            
0.005414       0              112            
0.009181       0              93             
0.067627       0              9              
0.038628       0              133            
0.055067       0              61             
0.032253       0              164            
0.035977       0              194            
0.032065       0              198            
0.051845       0              80             
0.035619       0              153            
0.024332       0              238            
0.035665       0              154            
0.055146       0              65             
0.024287       0              234            
0.032065       0              160            
0.032205       0              163            
0.035524       0              151            
0.024265       0              232            
0.005451       0              117            
0.061727       0              35             
0.064987       0              20             
0.013051       0              118            
0.04821        0              85             
0.032158       0              162            
0.025591       0              190            
0.02888        0              176            
0.02913        0              181            
0.020695       0              245            
0.028976       0              178            
0.032159       0              208            
0.029071       0              180            
0.020722       0              250            
0.061893       0              40             
0.028297       0              218            
0.065176       0              24             
0.016852       0              179            
0.048731       0              96             
0.055257       1e-06          70             
0.045015       0              101            
0.048774       0              97             
0.03886        0              138            
0.05502        0              60             
0.052001       0              82             
0.045393       0              109            
0.020739       0              252            
0.013023       0              115            
0.058309       0              46             
0.051516       0              73             
0.059906       0              41             
0.058495       0              50             
0.020677       0              243            
0.020729       0              251            
0.03245        0              168            
0.042098       0              123            
0.012985       0              109            
0.038338       0              127            
0.028318       0              221            
0.036563       0              141            
0.058402       0              48             
0.009253       0              102            
0.024338       0              239            
0.038482       0              130            
0.042191       1e-06          125            
0.031906       0              158            
0.025359       0              185            
0.016912       0              185            
0.029023       0              179            
0.041817       0              117            
0.000236       0              14             
0.055162       0              67             
0.02833        0              222            
0.067928       0              2              
0.054825       0              56             
0.029178       0              182            
0.048595       1e-06          93             
0.035432       0              149            
0.048397       0              89             
0.00927        0              104            
0.03186        1e-06          157            
0.032123       0              204            
0.064887       0              18             
0.030353       0              170            
0.009204       0              95             
0.01137        1e-06          90             
0.016845       0              176            
0.032426       0              169            
0.035571       0              152            
0.028347       0              224            
0.020748       0              253            
0.020669       0              242            
0.005373       0              108            
0.025637       0              191            
0.041727       0              115            
0.028244       0              212            
0.025448       0              187            
0.04191        0              119            
0.032351       0              166            
0.032111       0              161            
0.048761       0              98             
0.028279       0              216            
