Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        
-nan           1              -nan           1              -nan           1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0.147518       1              0              1              
0              1              0.147518       1              0              1              
0              1              0.147518       1              0              1              
0              1              0.42148        1              0              1              
0              1              0.695442       1              0              1              
0              1              0.695442       1              0              1              
0              1              0.695442       1              0              1              
0              1              1.11692        2              0              1              
0              1              1.34874        2              0              1              
0              1              1.72807        2              0              1              
0              1              2.21277        2              0              1              
0              1              2.57103        2              0              1              
0              1              2.86606        2              0              1              
0              1              3.14003        2              0              1              
0.0095464      1              3.45614        2              0              1              
0.023866       1              3.7301         2              0              1              
0.047732       1              3.89869        2              0.005617       1              
0.0572784      1              4.15158        2              0.0157276      1              
0.059665       1              4.44661        2              0.0269616      1              
0.0739846      1              4.72058        2              0.033702       1              
0.095464       1              4.88917        2              0.0426892      1              
0.102624       1              5.20528        2              0.050553       1              
0.107397       1              5.58461        2              0.05617        1              
0.116943       1              5.8375         2              0.0662806      1              
0.152742       1              5.98502        2              0.0696508      1              
0.155129       1              6.28005        2              0.0808848      1              
0.164675       1              6.63831        2              0.0853784      1              
0.174222       1              6.91227        2              0.0943656      1              
0.188541       1              7.24946        2              0.0977358      1              
0.202861       1              7.43912        2              0.10897        1              
0.214794       1              7.79738        2              0.11234        1              
0.217181       1              8.11349        2              0.122451       1              
0.233887       1              8.19779        2              0.138178       1              
0.23866        1              8.47175        2              0.149412       1              
0.243433       1              8.9143         2              0.151659       1              
0.250593       1              9.25149        2              0.158399       1              
0.250593       1              9.50437        2              0.27821        1              
0.250593       1              9.968          2              0.370946       1              
0.264913       1              10.242         2              0.55642        1              
0.286392       1              10.537         2              0.618244       1              
0.307871       1              10.8742        2              0.618244       1              
0.324578       1              11.1692        2              0.741893       1              
0.334124       1              11.4853        2              0.927366       1              
0.34367        1              11.7171        2              1.23649        1              
0.346057       1              12.2229        2              1.23649        1              
0.362763       1              12.518         2              1.36014        1              
0.362763       1              12.518         2              1.36014        1              
0.369923       1              12.9605        2              1.39105        1              
0.377083       1              13.3188        2              1.54561        1              
0.393789       1              13.6981        2              1.54561        1              
0.398562       1              14.0142        2              1.79291        1              
0.424815       1              14.2039        2              1.94747        1              
0.453454       1              14.3303        2              2.16385        1              
0.453454       1              14.3303        2              2.16385        1              
0.47016        1              14.6043        2              2.31841        1              
0.486866       1              14.9204        2              2.41115        1              
0.49164        1              15.2365        2              2.65845        1              
0.501186       1              15.4894        2              2.93666        1              
0.513119       1              15.7634        2              3.15304        1              
0.520279       1              16.0162        2              3.46217        1              
0.529825       1              16.2059        2              3.83311        1              
0.546531       1              16.3956        2              0.0128913      1              
0.548918       1              16.796         2              7.32e-05       1              
0.560851       1              17.091         2              0.0002196      1              
0.568011       1              17.5125        2              0.0002684      1              
0.572784       1              17.7443        2              0.0005612      1              
0.584717       1              18.0183        2              0.000732       1              
0.58949        1              18.3976        2              0.000854       1              
0.606196       1              18.6716        2              0.000976       1              
0.620516       1              18.8191        2              0.0012688      1              
0.620516       1              18.8191        2              0.0012688      1              
0.620516       1              19.2616        2              0.0013664      1              
0.625289       1              19.662         2              0.001464       1              
0.632449       1              19.8939        2              0.0017324      1              
0.651542       1              20.0835        2              0.0019276      1              
0.656315       1              20.3786        2              0.0021472      1              
0.673021       1              20.5472        2              0.0023912      1              
0.696887       1              20.7157        2              0.002562       1              
0.704047       1              20.8633        2              0.002928       1              
0.70882        1              20.9897        2              0.0033428      1              
0.71598        1              21.2426        2              0.0035868      1              
0.725526       1              21.5587        2              0.0037332      1              
0.727913       1              21.7062        2              0.004148       1              
0.727913       1              22.0645        2              0.0043432      1              
0.735073       1              22.4649        2              0.0044164      1              
0.756552       1              22.7178        2              0.004514       1              
0.775645       1              23.076         2              0.004514       1              
0.775645       1              23.6029        2              0.004514       1              
0.167213       1              24.0454        2              0.0046116      1              
0              1              24.4037        2              0.0048068      1              
0              1              24.762         2              0.005002       1              
0              1              25.0781        2              0.005246       1              
0              1              25.4574        2              0.0053924      1              
0.0358314      1              25.5206        2              0.0056364      1              
0.059719       1              25.8367        2              0.0058316      1              
0.119438       1              26.1739        2              0.0059292      1              
0.119438       1              26.1739        2              0.0059292      1              
0.191101       1              26.49          2              0.0060268      1              
0.238876       1              26.7008        2              0.0061732      1              
0              1              26.9747        2              0.006466       1              
0              1              27.1433        2              0.0068808      1              
0.0119438      1              27.4805        2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.0716628      1              27.902         2              0.007076       1              
0.179157       1              28.1127        2              0.00690395     1              
0.130032       1              28.4288        2              0.0064784      1              
0.165845       1              28.7239        2              0.008098       1              
0.207306       1              29.1664        2              0.00995835     1              
0.207306       1              29.5879        2              0.147384       1              
0.248767       1              29.8619        2              0.36846        1              
0.34551        1              30.1147        2              0.515844       1              
0.414612       1              30.4519        2              0.6141         1              
0.414612       1              30.8945        2              0.712356       1              
0.414612       1              31.2106        2              0.957996       1              
0.469894       1              31.5689        2              1.05625        1              
0.483714       1              31.9693        2              1.17907        1              
0.525175       1              32.3907        2              1.2282         1              
0.621918       1              32.6015        2              1.42471        1              
0.69102        1              32.8754        2              1.59666        1              
0.69102        1              33.2969        2              1.71948        1              
0.69102        1              33.7184        2              1.8423         1              
0.70484        1              34.1188        2              1.96512        1              
0.856865       1              34.3295        2              2.06338        1              
0.898326       1              34.7721        2              2.08794        1              
0.898326       1              35.299         2              2.08794        1              
0.898326       1              35.7626        2              2.16163        1              
0.054891       1              36.1841        2              0.100795       1              
0.274455       1              36.458         2              0.503974       1              
0.329346       1              36.8584        2              0.755961       1              
0.713583       1              37.0481        2              1.20954        1              
0.823365       1              37.301         2              1.76391        1              
0.823365       1              37.7225        2              2.0159         1              
1.2076         1              37.9964        2              2.26788        1              
1.59184        1              38.2704        2              2.51987        1              
1.75651        1              38.734         2              2.51987        1              
2.19564        1              38.9448        2              2.87265        1              
2.19564        1              39.2609        2              3.37663        1              
2.36031        1              39.4927        2              3.931          1              
2.36031        1              39.4927        2              3.931          1              
2.74455        1              39.6402        2              4.48537        1              
3.29346        1              39.8509        2              4.73736        1              
3.29346        1              39.8509        2              4.73736        1              
3.78748        1              39.9774        2              5.24133        1              
1.71527        1              40.1881        2              5.27399        1              
0              1              40.4832        2              1.51129        1              
0              1              40.8203        2              3.02257        1              
0              1              41.0522        2              5.37346        1              
0              1              41.4315        2              6.5489         1              
0.0196024      1              41.8319        2              7.22059        1              
0.098012       1              42.148         2              7.55643        1              
0.147018       1              42.5273        2              7.89227        1              
0.235229       1              42.8013        2              8.39603        1              
0.352843       1              42.991         2              9.06771        1              
0.480259       1              43.0331        2              10.7469        1              
0.56847        1              43.3492        2              10.9148        1              
0.588072       1              43.7285        2              11.7544        1              
0.637078       1              44.0447        2              12.594         1              
0.73509        1              44.3608        2              12.594         1              
0.73509        1              44.8876        2              12.594         1              
0.764494       1              45.288         2              13.0978        1              
0.233194       1              45.3091        2              16.7921        1              
0.0165952      1              45.3512        2              19.4788        1              
0              1              45.5409        2              21.6618        1              
0              1              45.836         2              23.5089        1              
0              1              46.1942        2              24.3485        1              
0.0589139      1              46.4049        2              2.68673        1              
0.147327       1              46.5525        2              2.35089        1              
0.883961       1              46.7211        2              3.52633        1              
1.10495        1              47.0582        2              4.53386        1              
1.69426        1              47.3322        2              5.20554        1              
2.06258        1              47.6483        2              6.04514        1              
2.28357        1              47.9434        2              7.38851        1              
2.79921        1              48.3016        2              7.55643        1              
3.31485        1              48.5756        2              8.39603        1              
3.68317        1              48.9338        2              8.89979        1              
4.34614        1              49.2289        2              9.23563        1              
4.78812        1              49.6082        2              9.40355        1              
4.78812        1              50.0508        2              10.0752        1              
5.67208        1              50.2826        2              10.4111        1              
5.96674        1              50.6619        2              10.9148        1              
6.55604        1              51.0202        2              10.9148        1              
6.62971        1              51.3152        2              12.594         1              
6.99802        1              51.6102        2              13.6016        1              
6.99802        1              51.7999        2              1.17544        1              
7.73466        1              51.9685        2              2.35089        1              
7.88198        1              52.411         2              2.68673        1              
8.17664        1              52.7271        2              3.69425        1              
8.98694        1              52.8957        2              4.70178        1              
9.57624        1              53.2119        2              5.03762        1              
9.79723        1              53.528         2              6.21306        1              
9.79723        1              53.528         2              6.21306        1              
9.94456        1              53.8651        2              7.38851        1              
9.94456        1              54.3709        2              7.55643        1              
10.4602        1              54.687         2              8.06019        1              
11.1232        1              54.8767        2              9.23563        1              
11.4178        1              55.1717        2              10.4111        1              
11.4178        1              55.1717        2              10.4111        1              
11.7125        1              55.4457        2              11.7544        1              
11.7125        1              55.4457        2              11.7544        1              
12.0808        1              55.6564        2              13.4336        1              
12.0808        1              55.6564        2              13.4336        1              
12.1545        1              56.0568        2              13.9374        1              
12.1545        1              56.4783        2              14.2733        1              
12.6701        1              56.8577        2              14.2733        1              
12.6701        1              56.8577        2              14.2733        1              
12.8911        1              57.1527        2              15.6166        1              
13.3331        1              57.2159        2              18.3033        1              
13.3331        1              57.2159        2              18.3033        1              
13.3331        1              57.2159        2              18.3033        1              
13.3331        1              57.2159        2              18.3033        1              
14.2907        1              57.3634        2              19.1429        1              
14.3644        1              57.6374        2              20.9901        1              
14.3644        1              57.6374        2              20.9901        1              
14.659         1              57.9114        2              22.3334        1              
14.9537        1              58.2907        2              22.8372        1              
14.9537        1              58.2907        2              22.8372        1              
15.101         1              58.4382        2              25.5239        1              
15.101         1              58.8386        2              26.5315        1              
15.101         1              59.1126        2              28.5465        1              
15.101         1              59.4919        2              29.7219        1              
