TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000348       0.000303       2.7e-05        0              0              
1.1e-05        1e-06          0              7e-06          1              
3.1e-05        0              2.6e-05        0              0              
7e-06          0              0              5e-06          1              
2.6e-05        0              2.2e-05        0              0              
7e-06          1e-06          0              4e-06          1              
2.6e-05        0              2.2e-05        0              0              
1.8e-05        1e-06          1.6e-05        0              0              
4.7e-05        4.4e-05        0              1e-06          1              
4.9e-05        3.3e-05        1.5e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
3e-06          0              0              1e-06          1              
2e-05          0              1.8e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
4.6e-05        4.3e-05        0              1e-06          1              
3.7e-05        3.4e-05        0              1e-06          1              
6.4e-05        4.8e-05        1.4e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.6e-05        0              1.3e-05        0              0              
5.2e-05        3.4e-05        1.6e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
3e-06          1e-06          0              1e-06          1              
1.5e-05        0              1.4e-05        0              0              
4.6e-05        4.2e-05        0              1e-06          1              
4.2e-05        4e-05          0              1e-06          1              
0.000901       0.000885       1.4e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
2.2e-05        0              1.8e-05        0              0              
1.9e-05        0              1.6e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
0.003912       0.003896       1.4e-05        0              0              
1.6e-05        0              1.5e-05        0              0              
2e-06          0              0              1e-06          1              
1.5e-05        1e-06          1.4e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
4.9e-05        3.4e-05        1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.5e-05        0              1.2e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
0.007751       0.00772        3e-05          0              0              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
2e-05          0              1.8e-05        0              0              
4e-06          0              0              1e-06          1              
1.8e-05        0              1.6e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
0.003423       0              0.003421       0              0              
9.9e-05        8e-05          1.6e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
1.8e-05        1e-06          1.6e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
9.3e-05        7.5e-05        1.6e-05        0              0              
1.8e-05        0              1.5e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
1.9e-05        0              1.5e-05        0              0              
9.8e-05        8e-05          1.5e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
1.7e-05        1e-06          1.5e-05        0              0              
