getDevice      getProgram     runProgram     
0.00056        0.857485       0.01036        
0.000146       7.1e-05        0.052946       
0.085903       0.007866       0.31139        
0.041571       0.000424       0.313779       
0.07625        0.018982       0.310332       
0.028655       0.000131       0.320007       
0.080316       0.000383       0.323167       
0.108532       0.007299       0.302435       
0.068088       0.007482       0.294215       
0.036095       2.4e-05        0.337254       
0.041305       0.000538       0.344224       
0.137079       0.0012         0.303574       
0.063665       0.001406       0.306499       
0.036122       0.00322        0.347621       
0.123699       0.012604       0.313178       
0.060095       0.001508       0.316172       
0.060684       0.013006       0.31948        
0.077941       0.008699       0.364568       
0.087223       0.004173       0.365085       
0.060581       0.01264        0.323046       
0.05265        0.001352       0.325463       
0.064698       0.001412       0.329416       
0.052633       0.000534       0.331868       
0.068033       0.011152       0.334836       
0.044028       0.011502       0.337626       
0.081317       0.007592       0.340663       
0.067704       0.00048        0.344644       
0.314544       8.7e-05        0.104469       
