getDevice      getProgram     runProgram     
5.5e-05        0.875807       0.065959       
0.000225       0.000155       0.624937       
0.623886       5.5e-05        1.12196        
0.623189       2e-05          1.1218         
0.574358       7.3e-05        1.12207        
0.623747       2.6e-05        1.12234        
0.61502        7.8e-05        1.12227        
0.569107       0.00013        1.12222        
0.574318       0.000105       1.13759        
0.624345       2.5e-05        1.13759        
0.558698       2.6e-05        1.13621        
0.561087       8.8e-05        1.13782        
0.565105       0.000116       1.13781        
0.573096       0.000108       1.13787        
