getDevice      getProgram     runProgram     
5.8e-05        0.874925       0.000136       
0.000152       7.5e-05        0.000157       
8.7e-05        2.8e-05        0.00291        
0.000263       3.6e-05        0.00306        
0.000276       4.4e-05        0.003289       
0.015182       0.001486       0.033182       
0.015149       0.001553       0.033228       
0.023996       0.001466       0.021489       
0.037572       0.002026       0.012986       
0.036812       0.001944       0.013191       
0.03814        7.7e-05        0.013059       
0.039961       0.000206       0.013033       
0.030102       0.000278       0.013072       
0.026219       0.000392       0.013047       
0.037663       0.000112       0.013639       
0.039613       0.000144       0.014071       
0.038031       7.4e-05        0.013381       
0.039539       0.000328       0.014049       
0.037998       0.001673       0.01192        
0.025674       0.000505       0.01061        
0.040085       0.00405        0.000136       
0.032189       0.004226       0.070682       
0.032024       0.00061        0.070629       
0.016802       1.9e-05        0.070541       
0.020436       0.000332       0.070747       
0.032037       2.8e-05        0.067596       
0.016096       0.003153       0.064561       
0.037447       0.004059       0.095902       
0.037464       0.004088       0.09601        
0.052016       0.001456       0.087168       
0.03749        0.00568        0.081915       
0.094361       0.004685       0.224059       
0.084769       2.9e-05        0.234248       
0.056837       6.8e-05        0.234331       
0.052526       0.002637       0.263775       
0.056611       0.010329       0.259764       
0.072733       0.010583       0.259572       
0.072603       0.010448       0.259951       
0.076519       0.008149       0.259803       
0.068006       0.003624       0.259693       
0.078001       0.00444        0.25908        
0.081323       0.004503       0.259162       
0.072008       0.001138       0.258721       
0.059661       0.00152        0.258837       
0.096038       0.006659       0.20539        
0.085303       0.001481       0.258789       
0.076488       0.001175       0.258773       
0.077521       0.000771       0.258306       
0.048613       0.000866       0.258259       
0.070314       0.000673       0.257985       
0.048635       0.014528       0.257977       
0.07397        0.014107       0.258529       
0.080017       0.007239       0.258212       
0.087002       0.000392       0.258244       
0.088724       7.2e-05        0.258283       
0.056659       0.014858       0.258451       
0.096041       0.00146        0.252449       
0.123203       0.002881       0.257489       
0.060016       0.004298       0.348668       
0.074026       0.011615       0.348799       
0.108535       8.1e-05        0.297851       
