TaskQLat.      PRRQLat.       TaskQLen       
0.00036        1.40725e+14    1              
TaskQLat.      PRRQLat.       TaskQLen       
6e-06          -1.54087e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
6e-06          -1.54087e+09   1              
5e-06          -1.54087e+09   1              
9e-06          -1.54087e+09   1              
2e-06          -1.54087e+09   1              
5e-05          -1.54087e+09   2              
7.6e-05        -1.54087e+09   2              
4e-05          -1.54087e+09   1              
3.3e-05        -1.54087e+09   2              
8.5e-05        -1.54087e+09   2              
3e-06          -1.54087e+09   1              
3e-06          -1.54087e+09   1              
2e-06          -1.54087e+09   1              
3e-06          -1.54087e+09   1              
1e-06          -1.54087e+09   1              
2e-06          -1.54087e+09   1              
2e-06          -1.54087e+09   1              
2e-06          -1.54087e+09   1              
2e-06          -1.54087e+09   1              
5.9e-05        -1.54087e+09   2              
0.000151       -1.54087e+09   5              
0.000141       -1.54087e+09   4              
6e-06          -1.54087e+09   1              
3.7e-05        -1.54087e+09   1              
1e-06          -1.54087e+09   1              
2e-06          -1.54087e+09   1              
4e-06          -1.54087e+09   1              
0.031377       -1.54087e+09   6              
0.025519       -1.54087e+09   21             
0.000122       -1.54087e+09   3              
0.029424       -1.54087e+09   19             
0.031077       -1.54087e+09   2              
0.025726       -1.54087e+09   28             
0.018051       -1.54087e+09   37             
0.001189       -1.54087e+09   1              
0.015641       -1.54087e+09   48             
0.021956       -1.54087e+09   35             
0.01187        -1.54087e+09   55             
0.025618       -1.54087e+09   25             
0.02193        -1.54087e+09   34             
0.007965       -1.54087e+09   57             
0.025701       -1.54087e+09   27             
0.02825        -1.54087e+09   17             
0.015614       -1.54087e+09   47             
0.000137       -1.54087e+09   4              
8e-06          -1.54087e+09   1              
0.001723       -1.54087e+09   1              
0.025752       -1.54087e+09   29             
0.015724       -1.54087e+09   51             
0.021846       -1.54087e+09   31             
0.018076       -1.54087e+09   38             
4e-06          -1.54087e+09   1              
0.028228       -1.54087e+09   16             
0.011843       -1.54087e+09   54             
0.018209       -1.54087e+09   42             
0.015525       -1.54087e+09   45             
0.011817       -1.54087e+09   53             
0.014268       -1.54087e+09   44             
0.018101       -1.54087e+09   39             
0.031215       -1.54087e+09   4              
0.021872       -1.54087e+09   32             
0.03184        -1.54087e+09   12             
0.030559       -1.54087e+09   11             
0.031152       -1.54087e+09   3              
0.004189       -1.54087e+09   51             
0.025542       -1.54087e+09   22             
0.025568       -1.54087e+09   23             
0.02201        -1.54087e+09   36             
0.030357       -1.54087e+09   9              
0.015695       -1.54087e+09   50             
0.031435       -1.54087e+09   14             
0.03013        -1.54087e+09   15             
0.02546        -1.54087e+09   20             
3.8e-05        -1.54087e+09   1              
0.011931       -1.54087e+09   56             
0.01567        -1.54087e+09   49             
0.029572       -1.54087e+09   2              
0.011792       -1.54087e+09   52             
0.025777       -1.54087e+09   30             
0.014235       -1.54087e+09   43             
0.025593       -1.54087e+09   24             
0.018127       -1.54087e+09   40             
0.030289       -1.54087e+09   8              
0.030547       -1.54087e+09   7              
0.015589       -1.54087e+09   46             
0.008          -1.54087e+09   58             
0.004015       -1.54087e+09   7              
0.007844       -1.54087e+09   60             
0.008036       -1.54087e+09   59             
0.003672       -1.54087e+09   9              
2e-06          -1.54087e+09   1              
6.5e-05        -1.54087e+09   2              
0.031683       -1.54087e+09   13             
2e-06          -1.54087e+09   1              
0.031244       -1.54087e+09   5              
0.021904       -1.54087e+09   33             
0.030424       -1.54087e+09   10             
0.025675       -1.54087e+09   26             
0.029395       -1.54087e+09   18             
0.000137       -1.54087e+09   3              
2e-06          -1.54087e+09   1              
0.018184       -1.54087e+09   41             
