TaskQLat.      PRRQLat.       TaksQlen       
5e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
1.7e-05        0              1              
TaskQLat.      PRRQLat.       TaksQlen       
1.4e-05        1e-06          1              
4.4e-05        0              1              
4.1e-05        0              1              
2e-06          0              1              
7e-06          0              1              
1e-05          0              1              
2e-06          0              1              
0.001461       0              1              
0.001525       0              2              
0.001446       0              1              
0.00192        0              1              
0.002          0              2              
5.7e-05        0              1              
0.000124       0              2              
0.000182       0              3              
0.000253       0              4              
0.000304       0              5              
0.000368       0              6              
9.1e-05        0              2              
5.6e-05        0              1              
0.001649       0              2              
0.000486       0              1              
0.007841       0              52             
0.004028       0              6              
0.004038       0              6              
0.004066       0              7              
0.004152       0              8              
0.004191       0              8              
0.000517       0              8              
0.000586       0              9              
0.000406       0              6              
0.000368       0              6              
0.007887       0              52             
0.000311       0              6              
0.000112       0              4              
2e-06          0              1              
2e-06          0              1              
2e-06          0              1              
0.003127       0              2              
0.007808       0              60             
0.003191       1e-06          2              
0.001437       0              1              
0.005661       0              1              
0.004664       0              3              
1.2e-05        0              1              
0.007131       0              2              
4.8e-05        0              1              
0.002617       0              1              
0.010303       0              5              
0.010414       0              7              
0.010561       0              11             
0.008133       0              11             
0.007465       0              14             
0.003601       0              15             
0.004275       0              17             
0.010538       0              10             
0.004419       0              19             
0.004484       0              20             
0.001182       0              10             
0.001386       0              8              
0.001119       0              8              
0.001326       0              7              
0.010244       0              3              
0.008789       0              2              
0.00146        0              9              
0.001486       0              10             
0.001156       0              8              
0.010504       0              9              
0.001333       0              7              
0.001396       0              8              
0.000755       0              5              
0.000844       0              4              
0.010469       0              8              
0.000656       0              2              
0.000512       0              2              
0.010255       0              4              
0.007469       0              13             
0.003967       0              16             
0.000376       0              2              
5.5e-05        0              1              
0.010364       0              6              
0.007423       0              12             
0.00437        0              18             
0.000442       0              1              
0.001435       0              1              
0.001404       0              1              
6e-06          0              1              
5e-06          0              1              
8e-06          0              1              
5e-06          0              1              
3.2e-05        0              1              
4.8e-05        0              2              
5.5e-05        0              3              
6.5e-05        0              4              
8.1e-05        0              5              
8.5e-05        0              5              
9.4e-05        0              6              
0.000108       0              7              
3e-06          1e-06          1              
2e-06          0              1              
2e-06          0              1              
