Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        
-nan           1              -nan           1              -nan           1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              0              1              2.94784e-05    1              
0.010359       1              0              1              0.000314       1              
0.0165744      1              0              1              0.000652941    1              
0.0331488      1              0              1              0              1              
0.041436       1              0.118724       1              0              1              
0.0600822      1              0.224257       1              0              1              
0.0691316      1              0.263832       1              0.0019728      1              
0.0423568      1              0.277024       1              0.017132       1              
0.052946       1              0.342982       1              0.0496828      1              
0.0741244      1              0.435323       1              0.0162027      1              
0.105892       1              0.501281       1              0              1              
0.190606       1              0.527664       1              0              1              
0.307087       1              0.593622       1              0              1              
0.370622       1              0.633197       1              0              1              
0.497692       1              0.65958        1              0              1              
0.592995       1              0.725538       2              0              1              
0.762422       2              0.725538       1              0              1              
0.836547       2              0.725538       1              0              1              
0.434157       1              0.725538       2              0.012732       1              
0.434157       1              0.725538       2              0.012732       1              
