TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000308       0.000269       2.7e-05        0              0              
1.1e-05        0              0              6e-06          1              
2.9e-05        0              2.4e-05        0              0              
7e-06          0              0              5e-06          1              
3.6e-05        0              3.1e-05        0              0              
6e-06          0              0              5e-06          1              
3.4e-05        0              3e-05          0              0              
1.8e-05        0              1.5e-05        0              0              
4.6e-05        4.2e-05        0              2e-06          1              
4.2e-05        3.9e-05        0              0              1              
5.1e-05        3.4e-05        1.5e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
2.2e-05        0              2e-05          0              0              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
2e-06          0              0              1e-06          1              
1.6e-05        0              1.4e-05        0              0              
1.7e-05        0              1.3e-05        0              0              
5.1e-05        3.6e-05        1.3e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
5.4e-05        3.8e-05        1.3e-05        0              0              
3e-06          0              0              1e-06          1              
1.6e-05        1e-06          1.4e-05        0              0              
1.7e-05        0              1.4e-05        0              0              
1.6e-05        0              1.3e-05        0              0              
1.7e-05        0              1.4e-05        0              0              
5.8e-05        4.1e-05        1.5e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.6e-05        0              1.5e-05        0              0              
4.9e-05        3.3e-05        1.4e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
1.6e-05        1e-06          1.4e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
5e-05          3.5e-05        1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
0.001208       0.001186       2e-05          0              0              
2.6e-05        0              2.1e-05        0              0              
5e-06          1e-06          0              2e-06          1              
4e-06          0              0              2e-06          1              
2.2e-05        0              2e-05          0              0              
6e-06          1e-06          0              2e-06          1              
2.3e-05        0              2e-05          0              0              
5e-06          0              0              2e-06          1              
4e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
4e-06          0              0              2e-06          1              
4e-06          0              0              2e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
4e-06          0              0              2e-06          1              
4e-06          0              0              1e-06          1              
5e-06          0              0              2e-06          1              
7e-06          0              0              2e-06          1              
2.6e-05        0              2.2e-05        0              0              
0.002894       0.002871       2e-05          0              0              
2.1e-05        0              1.8e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
9.5e-05        7.7e-05        1.6e-05        0              0              
1.7e-05        1e-06          1.5e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
1.8e-05        0              1.5e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
9.1e-05        7.4e-05        1.5e-05        0              0              
2.3e-05        1e-06          2e-05          0              0              
1.6e-05        0              1.4e-05        0              0              
1.6e-05        0              1.3e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
5e-05          3.5e-05        1.3e-05        0              0              
0.001112       0              0.00111        0              0              
2.1e-05        0              1.8e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
4.9e-05        3.4e-05        1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
4.7e-05        3.2e-05        1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
4.6e-05        3.1e-05        1.4e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.6e-05        1e-06          1.4e-05        0              0              
4.7e-05        3.1e-05        1.4e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.6e-05        1e-06          1.4e-05        0              0              
1.6e-05        0              1.3e-05        0              0              
4.6e-05        3.1e-05        1.3e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
0.001225       0              0.001224       0              0              
2e-05          0              1.7e-05        0              0              
4.9e-05        3.5e-05        1.3e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
5e-05          3.4e-05        1.4e-05        0              0              
1.4e-05        0              1.3e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
1.6e-05        1e-06          1.4e-05        0              0              
5e-05          3.5e-05        1.4e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.5e-05        0              1.3e-05        0              0              
3.7e-05        3.5e-05        0              1e-06          1              
0.003654       4e-05          0.003613       0              0              
5e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
4.4e-05        0              1.9e-05        0              0              
4e-06          0              0              2e-06          1              
3e-06          1e-06          0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
1.9e-05        0              1.7e-05        0              0              
3e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              0              1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
2e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              0              1              
5e-06          0              0              2e-06          1              
4e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
5e-06          0              0              2e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
8e-06          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
4e-06          0              0              2e-06          1              
3e-06          0              0              1e-06          1              
3e-06          1e-06          0              1e-06          1              
4e-06          0              0              2e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
4e-06          0              0              2e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
4e-06          0              0              1e-06          1              
1.2e-05        0              0              8e-06          1              
5e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
4e-06          0              0              2e-06          1              
3e-06          0              0              1e-06          1              
6e-06          0              0              2e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
6e-06          0              0              2e-06          1              
4e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
5e-06          0              0              1e-06          1              
7e-05          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
6e-06          0              0              2e-06          1              
6e-06          0              0              2e-06          1              
3e-06          0              0              1e-06          1              
6e-06          0              0              2e-06          1              
3e-06          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
8e-06          0              0              1e-06          1              
7e-06          0              0              2e-06          1              
7e-06          0              0              1e-06          1              
7e-06          1e-06          0              2e-06          1              
9e-06          0              0              1e-06          1              
6e-06          0              0              1e-06          1              
3e-06          0              0              1e-06          1              
