getDevice      getProgram     runProgram     
0.000637       0.907936       0.010354       
0.00113        0.000353       0.073876       
0.073777       0.00186        0.12606        
0.264509       0.001843       0.08372        
0.368045       2.9e-05        0.055291       
0.4241         0.055514       0.034254       
0.572039       0.05598        0.059376       
0.715678       4e-05          0.07287        
0.804039       0.027979       0.071321       
0.904081       3.2e-05        0.05524        
0.987666       0.005457       0.046237       
1.08005        0.027973       0.077762       
1.22361        0.043981       0.040718       
1.30394        0.051685       0.047729       
