getDevice      getProgram     runProgram     
5.8e-05        0.876387       0.065904       
0.000158       8.1e-05        0.559826       
0.582225       2.1e-05        0.517293       
1.10338        0.045956       0.546178       
1.74128        0.033979       0.18435        
1.98266        0.003763       0.455729       
2.45012        0.024291       0.406606       
2.88246        0.031943       0.367356       
3.30779        3.9e-05        0.251183       
3.56173        0.007784       0.275521       
3.85517        0.003664       0.237947       
4.10769        0.005451       0.1738         
4.31204        0.035967       0.33621        
4.71119        0.005447       0.182007       
4.92066        3.8e-05        0.360294       
5.308          0.032017       0.186924       
5.53468        0.049334       0.190935       
5.80003        0.036035       0.312157       
6.15603        2.5e-05        0.302545       
6.47601        0.036003       0.295356       
6.81706        2.8e-05        0.202572       
7.03205        0.003965       0.195194       
7.26004        0.035971       0.175144       
7.48788        0.003669       0.279832       
7.78805        0.035969       0.167144       
8.00633        0.029675       0.160451       
8.20745        0.03597        0.306246       
8.54808        0.003946       0.230573       
8.80907        0.006209       0.192876       
9.0072         3.2e-05        0.201759       
9.21604        0.019984       0.160747       
9.40005        0.031967       0.19702        
9.64005        3e-05          0.308149       
9.95604        0.019959       0.130933       
10.14          0.027996       0.137513       
10.3182        0.029812       0.198592       
10.5387        0.029358       0.202589       
10.7707        3.5e-05        0.120828       
10.896         0.019976       0.12413        
11.0402        2.9e-05        0.19277        
11.2331        9.4e-05        0.147084       
11.3803        0.00374        0.207342       
11.5997        0.003653       0.103283       
11.7027        3e-05          0.141465       
11.8442        9.7e-05        0.063941       
11.9083        2.8e-05        0.17408        
12.0785        3.4e-05        0.063888       
12.156         2.8e-05        0.118871       
12.275         8.5e-05        0.064062       
12.3392        2.4e-05        0.104011       
12.4393        0.000103       0.063608       
12.5031        2.7e-05        0.06513        
12.5684        3.3e-05        0.104087       
12.6726        2.4e-05        0.103431       
12.7721        2.7e-05        0.103458       
12.8757        2.7e-05        0.103369       
12.9792        3.1e-05        0.063655       
13.0429        3.1e-05        0.063664       
13.1027        3.1e-05        0.063461       
13.1622        2.8e-05        0.063377       
13.2217        2.9e-05        0.063397       
