getDevice      getProgram     runProgram     
5.9e-05        0.877763       0.000132       
0.000148       7.2e-05        0.00018        
0.000214       7e-05          0.000183       
0.000438       9.6e-05        0.000157       
0.00021        0.000108       0.000192       
0.000121       6.8e-05        0.000147       
0.000938       0.00048        0.000134       
6.3e-05        0.000536       0.047673       
0.084049       0.001822       0.115953       
0.203431       0.001819       0.007099       
0.240047       0.001814       0.000133       
0.26005        0.031972       0.03769        
0.352035       0.043981       0.027674       
0.424056       0.055977       0.022655       
0.532055       0.027965       0.000134       
0.584037       0.031986       0.029742       
0.676054       0.043963       0.018539       
0.764041       0.075978       0.002568       
0.905582       0.044219       0.000136       
0.976117       0.039702       0.000137       
1.03211        0.047941       0.000164       
1.09606        0.048023       0.029781       
1.17604        0.027975       0.000132       
1.23204        0.055974       0.000152       
1.29604        0.047984       0.040179       
1.39604        0.03998        0.000134       
1.45206        0.027962       0.000135       
1.50804        0.001825       0.000159       
