TaskQLat.      PRRQLat.       TaskQLen       
0.000433       1.40719e+14    1              
TaskQLat.      PRRQLat.       TaskQLen       
6e-06          -1.54098e+09   1              
TaskQLat.      PRRQLat.       TaskQLen       
6e-06          -1.54098e+09   1              
5e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
3e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
3.6e-05        -1.54098e+09   1              
0.00017        -1.54098e+09   2              
0.001054       -1.54098e+09   3              
4e-06          -1.54098e+09   1              
0.000299       -1.54098e+09   1              
0.000406       -1.54098e+09   4              
3.8e-05        -1.54098e+09   1              
6e-06          -1.54098e+09   1              
0.000385       -1.54098e+09   2              
0.000398       -1.54098e+09   4              
3e-06          -1.54098e+09   1              
0.000329       -1.54098e+09   3              
0.000167       -1.54098e+09   2              
8e-06          -1.54098e+09   1              
8.2e-05        -1.54098e+09   2              
5.6e-05        -1.54098e+09   2              
0.00025        -1.54098e+09   2              
0.000325       -1.54098e+09   4              
0.000645       -1.54098e+09   7              
0.000153       -1.54098e+09   2              
0.000398       -1.54098e+09   4              
0.000309       -1.54098e+09   3              
9e-06          -1.54098e+09   1              
0.000471       -1.54098e+09   5              
7.8e-05        -1.54098e+09   1              
0.003903       -1.54098e+09   4              
0.004146       -1.54098e+09   6              
1.3e-05        -1.54098e+09   1              
0.000256       -1.54098e+09   3              
0.000307       -1.54098e+09   3              
0.000606       -1.54098e+09   6              
9e-06          -1.54098e+09   1              
0.004337       -1.54098e+09   5              
0.003829       -1.54098e+09   4              
0.003713       -1.54098e+09   2              
8.2e-05        -1.54098e+09   2              
0.000242       -1.54098e+09   3              
3e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
4.6e-05        -1.54098e+09   1              
3e-06          -1.54098e+09   1              
1.3e-05        -1.54098e+09   1              
2e-06          -1.54098e+09   1              
4.4e-05        -1.54098e+09   1              
3e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
6.6e-05        -1.54098e+09   2              
4.6e-05        -1.54098e+09   1              
3e-06          -1.54098e+09   1              
7e-06          -1.54098e+09   1              
9.2e-05        -1.54098e+09   1              
0.001155       -1.54098e+09   4              
0.001232       -1.54098e+09   5              
0.001308       -1.54098e+09   6              
0.000486       -1.54098e+09   1              
9.3e-05        -1.54098e+09   2              
0.000168       -1.54098e+09   3              
0.000494       -1.54098e+09   5              
0.000325       -1.54098e+09   3              
0.000467       -1.54098e+09   5              
9.8e-05        -1.54098e+09   1              
0.000356       -1.54098e+09   4              
3e-06          -1.54098e+09   1              
0.001548       -1.54098e+09   2              
0.001632       -1.54098e+09   3              
0.001709       -1.54098e+09   4              
0.001782       -1.54098e+09   5              
0.001853       -1.54098e+09   6              
0.0001         -1.54098e+09   1              
0.000181       -1.54098e+09   2              
0.000399       -1.54098e+09   5              
0.000565       -1.54098e+09   6              
9.2e-05        -1.54098e+09   2              
0.000165       -1.54098e+09   2              
0.000323       -1.54098e+09   3              
0.000543       -1.54098e+09   6              
8e-06          -1.54098e+09   1              
0.003665       -1.54098e+09   2              
0.003751       -1.54098e+09   3              
0.003976       -1.54098e+09   5              
0.000233       -1.54098e+09   2              
0.000378       -1.54098e+09   4              
0.000451       -1.54098e+09   5              
0.00068        -1.54098e+09   7              
0.002106       -1.54098e+09   1              
0.004007       -1.54098e+09   2              
0.004095       -1.54098e+09   3              
0.004261       -1.54098e+09   4              
0.000418       -1.54098e+09   5              
0.000488       -1.54098e+09   6              
0.000561       -1.54098e+09   7              
0.00073        -1.54098e+09   8              
3e-06          -1.54098e+09   1              
2e-06          -1.54098e+09   1              
0.00371        -1.54098e+09   2              
