TaskQLat.      PRRQLat.       TaksQlen       
5e-06          1e-06          1              
TaskQLat.      PRRQLat.       TaksQlen       
1.5e-05        0              1              
TaskQLat.      PRRQLat.       TaksQlen       
1.6e-05        1e-06          1              
4.6e-05        0              1              
4.2e-05        0              2              
4.1e-05        0              1              
3e-06          1e-06          1              
3e-06          0              1              
4e-05          0              1              
0.000455       0              5              
0.000326       0              5              
0.000514       0              6              
0.001835       0              1              
0.001796       0              1              
0.001799       0              1              
0.001793       0              1              
0.001822       0              1              
0.008026       0              2              
2e-06          0              1              
0.011961       0              1              
0.035895       0              1              
0.031965       0              2              
3e-06          0              1              
0.019941       0              1              
0.031957       0              1              
0.007985       0              2              
2e-06          1e-06          1              
0.027942       0              1              
0.019967       0              1              
0.015956       0              1              
4e-06          0              1              
0.014413       0              1              
4e-06          0              1              
0.027878       0              1              
0.023882       0              1              
0.01197        0              2              
0.019905       0              1              
0.011934       0              1              
0.015958       0              1              
0.024363       0              1              
0.039955       0              1              
0.024057       0              1              
0.015989       0              2              
0.019962       0              1              
0.023939       0              1              
0.001803       0              1              
0.025954       0              1              
0.000118       0              1              
0.004281       0              1              
0.011914       0              1              
4e-06          0              1              
0.003914       0              1              
5e-06          0              1              
4e-06          0              1              
0.011947       0              1              
3e-06          0              1              
3e-06          0              1              
0.019987       0              1              
0.013318       0              1              
0.023962       0              1              
5e-06          0              1              
0.019978       0              1              
4e-06          0              1              
0.003939       0              1              
0.02395        0              1              
5e-06          0              1              
0.023948       0              1              
0.013652       0              1              
0.023949       0              1              
0.003913       0              1              
0.006183       0              1              
3e-06          0              1              
0.019953       0              1              
0.019945       0              1              
4e-06          0              1              
0.011938       0              1              
0.027958       0              1              
0.021792       0              1              
0.013337       0              1              
4e-06          0              1              
0.01196        0              1              
4e-06          0              1              
3e-06          0              1              
0.003712       0              1              
4e-06          0              1              
6e-06          0              1              
5e-06          0              1              
3e-06          0              1              
4e-06          0              1              
2e-06          0              1              
5e-06          0              1              
2e-06          0              1              
5e-06          0              1              
3e-06          0              1              
3e-06          0              1              
3e-06          0              1              
4e-06          0              1              
2e-06          0              1              
3e-06          0              1              
3e-06          0              1              
4e-06          0              1              
3e-06          0              1              
3e-06          0              1              
