Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        Avg.WorkLoad   NumPRRs        
-nan           1              -nan           1              -nan           1              
0              1              0              1              0              1              
0              1              0              1              0              1              
0              1              1.31925        2              0              1              
0              1              1.31925        2              0              1              
0              1              4.33468        2              0              1              
0              1              8.10396        2              0              1              
0              1              8.10396        2              0              1              
0              1              12.0617        2              0              1              
0              1              14.8887        2              0              1              
0.734777       1              17.5272        2              0              1              
1.83694        1              19.4118        2              0.0004032      1              
3.49019        1              20.5426        2              0.0016128      1              
3.85758        1              22.6157        2              0.0032256      1              
6.06191        1              23.935         2              0.004032       1              
7.34777        1              27.3273        2              0.004032       1              
7.89885        1              31.0966        2              0.0043008      1              
8.81732        1              33.5466        2              0.0052416      1              
9.18471        1              36.3736        2              0.0063168      1              
9.73579        1              39.5775        2              0.0069888      1              
10.1032        1              41.8391        2              0.0084672      1              
10.1032        1              45.2314        2              0.009408       1              
10.1032        1              49.1892        2              0.0099456      1              
10.1032        1              52.9584        2              0.0106176      1              
