TotQLat.       ScalerLat      getDevLat      getPrgLat      Req.Type       
0.000344       0.000299       2.8e-05        0              0              
1.1e-05        0              0              7e-06          1              
2.9e-05        0              2.4e-05        0              0              
8e-06          0              0              6e-06          1              
3.4e-05        0              2.9e-05        0              0              
7e-06          0              0              5e-06          1              
3.4e-05        1e-06          2.9e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
4.7e-05        4.3e-05        0              1e-06          1              
5.2e-05        3.5e-05        1.5e-05        0              0              
4e-06          0              0              2e-06          1              
1.7e-05        0              1.5e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
1.9e-05        1e-06          1.6e-05        0              0              
3.9e-05        3.5e-05        0              1e-06          1              
5.9e-05        4.3e-05        1.4e-05        0              0              
4e-06          0              0              2e-06          1              
1.8e-05        0              1.5e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.7e-05        0              1.5e-05        0              0              
4e-06          0              0              2e-06          1              
1.7e-05        0              1.6e-05        0              0              
5.7e-05        4e-05          1.4e-05        0              0              
1.7e-05        1e-06          1.5e-05        0              0              
1.8e-05        0              1.5e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
1.5e-05        0              1.4e-05        0              0              
4.1e-05        3.8e-05        0              1e-06          1              
6e-05          4.2e-05        1.4e-05        0              0              
1.6e-05        0              1.4e-05        0              0              
2.1e-05        0              1.4e-05        0              0              
2e-05          0              1.8e-05        0              0              
0.000711       0              0.000709       0              0              
0.000108       8.8e-05        1.7e-05        0              0              
2e-05          0              1.7e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
4e-06          0              0              2e-06          1              
3e-06          0              0              1e-06          1              
2.6e-05        0              2.1e-05        0              0              
0.00042        0.000394       2.1e-05        0              0              
2.1e-05        0              1.8e-05        0              0              
2.3e-05        0              1.9e-05        0              0              
2e-05          0              1.8e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
0.000106       8.7e-05        1.7e-05        0              0              
3.2e-05        0              3e-05          0              0              
1.9e-05        0              1.6e-05        0              0              
4e-06          0              0              2e-06          1              
1.9e-05        0              1.7e-05        0              0              
2.3e-05        0              1.7e-05        0              0              
0.000104       8.5e-05        1.6e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
1.8e-05        1e-06          1.6e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
0.000114       9.4e-05        1.7e-05        0              0              
1.9e-05        0              1.6e-05        0              0              
2.5e-05        0              1.7e-05        0              0              
1.9e-05        0              1.7e-05        0              0              
1.8e-05        0              1.6e-05        0              0              
0.000101       8.3e-05        1.6e-05        0              0              
2e-05          0              1.6e-05        0              0              
