getDevice      getProgram     runProgram     
0.000472       0.60977        0.105334       
0.000193       6.3e-05        5.3489         
0.000145       0.000276       5.34922        
0.0002         0.00023        5.37714        
5.77709        0.728386       9.52195        
6.03853        0.004393       10.18          
5.84803        0.19599        11.4367        
5.54017        0.000104       11.9495        
5.77745        1.0976         10.8705        
5.79375        0.75703        11.1964        
5.57158        0.000238       13.1838        
5.98855        2.9e-05        15.4227        
5.77728        0.754526       26.1295        
5.75606        0.760355       29.7224        
5.86874        0.184106       30.2428        
5.6899         0.74803        29.6069        
5.81603        0.737508       29.6934        
5.76127        0.192034       30.2631        
5.80406        0.208073       30.3148        
5.96412        0.472012       32.3049        
5.83299        0.574027       33.6646        
5.81729        0.666573       33.3115        
5.83312        0.668087       33.5733        
5.83209        0.164354       34.3529        
5.77695        0.786943       33.7864        
5.93991        0.103853       34.3214        
5.94008        0.492855       33.6847        
5.70571        0.69427        33.8226        
5.95607        0.406606       33.7062        
5.82905        0.592006       33.6862        
6.67446        0.574565       33.1616        
5.91209        0.123873       34.3706        
5.76158        1.19741        32.9373        
5.85267        0.310458       33.7265        
5.71365        0.702802       33.8465        
5.84948        0.868018       33.3957        
5.83256        0.310464       33.7469        
5.86547        0.836004       33.4456        
5.83259        0.682679       33.3695        
5.85644        0.682933       33.3725        
5.83304        0.310408       33.7579        
5.76552        1.04756        33.2223        
5.77275        0.310428       33.7663        
5.94003        0.310301       35.6701        
5.76879        0.593805       35.6718        
5.93216        0.724004       35.4297        
5.77699        1.41107        35.1506        
5.8131         0.634827       35.605         
5.83254        0.716095       35.5756        
5.94029        0.677188       35.4791        
5.79367        0.702712       35.8047        
6.54011        1.09591        34.754         
5.85341        0.706473       35.3021        
5.79738        0.310362       35.7034        
5.75818        1.45849        34.9104        
5.84845        0.688064       35.6203        
5.73247        0.736003       35.6205        
5.85608        0.179979       36.3764        
5.90418        0.310299       35.728         
5.95619        0.512859       35.6739        
5.91614        0.3103         35.7399        
5.8331         0.310387       35.7402        
5.76004        1.26461        35.3983        
5.9082         0.310297       35.7401        
5.81075        0.724671       35.4224        
5.70969        0.880373       35.6748        
5.83324        0.310371       35.7403        
5.83994        0.708242       37.5713        
5.87203        0.17984        38.0758        
5.83257        0.682855       37.0558        
5.83307        0.682715       37.056         
5.83654        0.666394       37.072         
5.72525        0.310379       37.4332        
5.98647        0.878934       36.86          
5.92021        0.751834       37.1761        
5.77211        1.16529        36.6041        
5.90814        0.3103         37.4585        
5.86525        0.310398       37.4588        
5.77772        0.677119       37.5702        
5.78942        1.51207        36.7993        
5.73639        0.740035       37.3553        
5.80122        0.751753       37.0237        
5.77726        1.17633        37.6222        
5.8215         0.310345       39.1426        
5.88408        0.131923       39.7937        
5.9322         0.310302       39.1428        
5.83334        0.682689       38.7658        
5.77785        1.02292        38.895         
5.86408        0.179951       39.7899        
5.68118        1.14002        38.8902        
5.76616        1.09812        38.4521        
5.83341        0.872036       38.7983        
5.69781        0.791168       39.1433        
5.86           0.934408       38.7279        
5.82944        0.310351       39.1437        
6.54845        0.891436       38.3906        
5.94015        0.311059       39.1435        
5.77607        1.28796        38.5187        
5.80173        1.52421        38.4267        
5.8133         0.652152       39.0386        
5.76094        0.846747       38.6031        
5.91604        0.060096       39.7869        
5.83214        0.202582       39.7949        
5.84012        0.700002       38.9313        
5.77746        1.34352        38.6441        
5.89602        0.139811       39.7957        
5.77992        1.09644        38.7074        
5.83647        0.597821       39.1462        
5.70009        1.15563        38.8964        
5.99602        0.072021       39.788         
5.93601        0.107837       39.7882        
6.54005        0.591904       38.7041        
5.78996        1.3008         38.1498        
5.86289        0.080929       39.7843        
5.70177        1.29947        38.645         
6.54817        1.07165        38.2124        
5.79787        0.672616       39.2575        
5.83291        0.684125       39.042         
5.872          0.171928       39.8003        
5.7176         0.828899       39.1596        
5.82552        0.848025       38.8285        
5.77739        0.906624       38.756         
