TaskQLat.      PRRQLat.       TaskQLen       
0.000295       1.4073e+14     1              
5e-06          -1.54089e+09   1              
3e-06          -1.54089e+09   1              
1e-06          -1.54089e+09   1              
3e-06          -1.54089e+09   1              
0.241367       -1.54089e+09   84             
0.348232       -1.54089e+09   138            
0.304425       -1.54089e+09   111            
0.308345       -1.54089e+09   114            
0.308236       -1.54089e+09   113            
0.00818        -1.54089e+09   3              
0.096287       -1.54089e+09   39             
0.220889       -1.54089e+09   85             
0.048953       -1.54089e+09   27             
0.156817       -1.54089e+09   55             
0.176406       -1.54089e+09   69             
0.232494       -1.54089e+09   82             
0.344332       -1.54089e+09   136            
0.360339       -1.54089e+09   141            
0.352058       -1.54089e+09   140            
0.352806       -1.54089e+09   144            
0.264779       -1.54089e+09   97             
0.008145       -1.54089e+09   2              
0.364172       -1.54089e+09   144            
0.352448       -1.54089e+09   141            
0.096672       -1.54089e+09   32             
0.360709       -1.54089e+09   142            
0.232837       -1.54089e+09   81             
0.218052       -1.54089e+09   82             
0.408097       -1.54089e+09   152            
0.154497       -1.54089e+09   59             
0.033608       -1.54089e+09   18             
0.320442       -1.54089e+09   118            
0.096544       -1.54089e+09   40             
0.17414        -1.54089e+09   73             
0.174501       -1.54089e+09   75             
0.132736       -1.54089e+09   51             
0.328118       -1.54089e+09   126            
0.241116       -1.54089e+09   82             
0.168135       -1.54089e+09   66             
0.252176       -1.54089e+09   87             
0.057087       -1.54089e+09   31             
0.252725       -1.54089e+09   91             
0.036239       -1.54089e+09   20             
0.264632       -1.54089e+09   96             
0.280311       -1.54089e+09   107            
0.008217       -1.54089e+09   4              
0.044093       -1.54089e+09   20             
0.320236       -1.54089e+09   116            
0.114048       -1.54089e+09   41             
0.324089       -1.54089e+09   123            
0.269255       -1.54089e+09   101            
0.133174       -1.54089e+09   44             
0.016265       -1.54089e+09   14             
0.332348       -1.54089e+09   131            
0.221105       -1.54089e+09   87             
0.007997       -1.54089e+09   1              
0.033343       -1.54089e+09   16             
0.348094       -1.54089e+09   137            
0.012035       -1.54089e+09   12             
0.11379        -1.54089e+09   40             
0.174698       -1.54089e+09   76             
0.161321       -1.54089e+09   65             
0.204112       -1.54089e+09   82             
0.095636       -1.54089e+09   37             
0.000323       -1.54089e+09   3              
0.133023       -1.54089e+09   52             
0.000181       -1.54089e+09   3              
0.198748       -1.54089e+09   81             
0.360449       -1.54089e+09   142            
0.008299       -1.54089e+09   6              
0.404201       -1.54089e+09   151            
0.037057       -1.54089e+09   21             
0.093147       -1.54089e+09   33             
0.332357       -1.54089e+09   134            
0.2375         -1.54089e+09   85             
0.376121       -1.54089e+09   146            
0.048691       -1.54089e+09   25             
0.156415       -1.54089e+09   53             
0.221012       -1.54089e+09   86             
0.240995       -1.54089e+09   81             
0.02107        -1.54089e+09   17             
0.176603       -1.54089e+09   70             
0.156615       -1.54089e+09   54             
0.168336       -1.54089e+09   67             
0.014858       -1.54089e+09   15             
0.232958       -1.54089e+09   82             
0.238524       -1.54089e+09   79             
0.220253       -1.54089e+09   81             
0.040957       -1.54089e+09   18             
0.320401       -1.54089e+09   122            
0.27209        -1.54089e+09   104            
0.408382       -1.54089e+09   154            
0.236229       -1.54089e+09   84             
0.160964       -1.54089e+09   63             
0.020095       -1.54089e+09   15             
0.352948       -1.54089e+09   145            
3e-06          -1.54089e+09   1              
0.348377       -1.54089e+09   139            
0.324344       -1.54089e+09   125            
0.008253       -1.54089e+09   5              
0.368099       -1.54089e+09   145            
0.240094       -1.54089e+09   80             
3e-06          -1.54089e+09   1              
0.056082       -1.54089e+09   29             
0.036085       -1.54089e+09   19             
0.158297       -1.54089e+09   58             
0.040858       -1.54089e+09   19             
0.220762       -1.54089e+09   84             
0.176069       -1.54089e+09   72             
0.008105       -1.54089e+09   11             
0.324237       -1.54089e+09   127            
0.292873       -1.54089e+09   109            
0.316749       -1.54089e+09   120            
0.236084       -1.54089e+09   83             
0.312085       -1.54089e+09   115            
0.054461       -1.54089e+09   30             
0.056898       -1.54089e+09   30             
0.157188       -1.54089e+09   57             
0.256182       -1.54089e+09   93             
0.016116       -1.54089e+09   13             
0.020938       -1.54089e+09   16             
0.252165       -1.54089e+09   88             
0.269172       -1.54089e+09   102            
0.284086       -1.54089e+09   108            
0.036703       -1.54089e+09   15             
0.116254       -1.54089e+09   39             
0.221382       -1.54089e+09   81             
0.280164       -1.54089e+09   106            
0.352554       -1.54089e+09   142            
0.130112       -1.54089e+09   47             
0.096805       -1.54089e+09   41             
0.154677       -1.54089e+09   60             
0.198369       -1.54089e+09   79             
3e-06          -1.54089e+09   1              
0.26839        -1.54089e+09   100            
4e-06          -1.54089e+09   1              
0.176809       -1.54089e+09   71             
0.229105       -1.54089e+09   83             
0.044977       -1.54089e+09   21             
0.174319       -1.54089e+09   74             
0.093411       -1.54089e+09   34             
0.408493       -1.54089e+09   155            
0.364357       -1.54089e+09   144            
0.161144       -1.54089e+09   64             
0.198558       -1.54089e+09   80             
0.228096       -1.54089e+09   83             
0.420023       -1.54089e+09   156            
0.11723        -1.54089e+09   42             
0.408239       -1.54089e+09   153            
0.228239       -1.54089e+09   84             
3e-06          -1.54089e+09   1              
0.008075       -1.54089e+09   10             
0.133752       -1.54089e+09   46             
0.095923       -1.54089e+09   38             
0.22409        -1.54089e+09   83             
0.04524        -1.54089e+09   23             
0.021202       -1.54089e+09   18             
0.15701        -1.54089e+09   56             
0.132911       -1.54089e+09   43             
0.155037       -1.54089e+09   62             
0.033476       -1.54089e+09   17             
0.320295       -1.54089e+09   121            
2e-06          -1.54089e+09   1              
0.364079       -1.54089e+09   146            
0.216381       -1.54089e+09   81             
0.324234       -1.54089e+09   124            
0.176207       -1.54089e+09   68             
0.124282       -1.54089e+09   42             
0.05696        -1.54089e+09   30             
0.045321       -1.54089e+09   23             
0.224524       -1.54089e+09   80             
0.229244       -1.54089e+09   84             
0.000109       -1.54089e+09   1              
0.012005       -1.54089e+09   9              
0.39209        -1.54089e+09   149            
0.04511        -1.54089e+09   22             
0.040911       -1.54089e+09   18             
0.00847        -1.54089e+09   8              
0.196023       -1.54089e+09   78             
0.038114       -1.54089e+09   19             
0.336096       -1.54089e+09   132            
0.093758       -1.54089e+09   35             
0.048824       -1.54089e+09   26             
0.049085       -1.54089e+09   28             
0.364499       -1.54089e+09   145            
0.337298       -1.54089e+09   135            
0.392235       -1.54089e+09   150            
0.364246       -1.54089e+09   143            
0.296091       -1.54089e+09   110            
0.154857       -1.54089e+09   61             
0.248472       -1.54089e+09   89             
0.324205       -1.54089e+09   129            
0.332215       -1.54089e+09   133            
0.265529       -1.54089e+09   103            
0.224385       -1.54089e+09   79             
